dataset_name,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,SMOTE_testing_loss,layer_normalisation_testing_loss,batch_normalisation_testing_loss,weight_decay_testing_loss,baseline_testing_loss,dropout_testing_loss,prune_testing_loss,weight_normalisation_testing_loss,weight_perturbation_testing_loss
Agaricus Lepiota,15.0,0.6,8124.0,2.0,541.6,0.1333333333333333,4062.0,0.9306083650190116,0.3333333333333333,0.1757520580089901,0.0098184487013197,0.6278091604031953,1.192142439833925,-0.7373189238862561,-1,1,2,3,4,4,4,5,5
Agaricus Lepiota,17.0,0.5294117647058824,8124.0,2.0,477.88235294117646,0.1176470588235294,4062.0,0.9306083650190116,0.2941176470588235,0.1520531701212683,0.0052102297135727,0.6295543313187866,1.164222136618665,-0.732097932912777,-1,2,1,3,3,4,4,4,4
Agaricus Lepiota,12.0,0.5833333333333334,8124.0,2.0,677.0,0.1666666666666666,4062.0,0.9306083650190116,0.25,0.1984480629039358,0.0052102297135727,0.6284296992166347,1.2195086880295525,-0.709201370805551,-1,1,2,5,4,3,5,4,3
Agaricus Lepiota,13.0,0.6153846153846154,8124.0,2.0,624.9230769230769,0.1538461538461538,4062.0,0.9306083650190116,0.2307692307692307,0.1375801695435236,0.0052102297135727,0.6277127904646411,1.1474936963304414,-0.6128125496111468,-1,1,2,4,3,3,3,4,3
Agaricus Lepiota,11.0,0.6363636363636364,8124.0,2.0,738.5454545454545,0.1818181818181818,4062.0,0.9306083650190116,0.1818181818181818,0.1913332633469291,0.0098184487013197,0.6288599774832568,1.2108629210766018,-0.6709686335714075,-1,1,1,3,4,2,3,2,4
Agaricus Lepiota,17.0,0.6470588235294118,8124.0,2.0,477.88235294117646,0.1176470588235294,4062.0,0.9306083650190116,0.2941176470588235,0.1544432477493616,0.0098184487013197,0.6276405543939957,1.167008045844984,-0.7362438359962465,-1,1,2,5,5,4,3,5,6
Agaricus Lepiota,18.0,0.6111111111111112,8124.0,2.0,451.3333333333333,0.1111111111111111,4062.0,0.9306083650190116,0.3333333333333333,0.1561423386081336,0.0098184487013197,0.6272669844801653,1.1689925840257016,-0.7536076156615551,-1,1,1,4,2,2,2,3,2
Agaricus Lepiota,21.0,0.5714285714285714,156.0,2.0,7.428571428571429,0.0952380952380952,78.0,0.925925925925926,0.2857142857142857,0.1474617785143763,0.0,0.6384126090256192,1.1588889895243877,-0.7764045771566269,-1,1,1,2,2,2,3,2,1
Agaricus Lepiota,21.0,0.5714285714285714,1476.0,2.0,70.28571428571429,0.0952380952380952,738.0,0.9294117647058824,0.2857142857142857,0.1388283204678026,0.0042038635206676,0.6213051203035567,1.1489268358492732,-0.7624754618636478,-1,1,2,4,4,3,5,4,4
Agaricus Lepiota,21.0,0.5714285714285714,2288.0,2.0,108.95238095238096,0.0952380952380952,1144.0,0.9308016877637132,0.2857142857142857,0.1435081863427647,0.0022090343832651,0.6298680767043071,1.1543162603969952,-0.7702122725276304,-1,1,2,3,5,7,3,6,4
