number_of_attributes,percentage_of_numeric_features,number_of_instances,number_of_class,proportion_of_attributes_per_instances,number_of_classes_per_attributes,number_of_instances_per_class,proportion_of_min_to_max_instance_per_class,proportion_of_attributes_with_outliers,minimum_continuous_mutual_information,maximum_continuous_mutual_information,minimum_discrete_mutual_information,maximum_discrete_mutual_information,equivalent_number_of_continuous_attributes,equivalent_number_of_discrete_attributes,noise_signal_ratio_of_continuous_attributes,noise_signal_ratio_of_discrete_attributes,layer_normalisation_testing_loss,batch_normalisation_testing_loss,weight_normalisation_testing_loss,normal_testing_loss,dropout_testing_loss,prune_testing_loss,weight_perturbation_testing_loss,weight_decay_testing_loss,SMOTE_testing_loss
8.0,1.0,1453.0,10.0,0.0055058499655884,1.25,145.3,0.0114155251141552,1.0,0.0249251029757147,0.2969784794398942,0.0,0.0,1.1368049749934817,1.0,1.4407254392922426,inf,1,1,2,2,3,4,5,6,7
16.0,1.0,13543.0,7.0,0.0011814221368972,0.4375,1934.7142857142856,0.1472081218274111,1.0,0.1972719930612383,1.0550779163431423,0.0,0.0,2.2315049855940816,1.0,-0.7940002465352396,inf,1,1,2,2,4,3,5,6,7
7.0,1.0,336.0,10.0,0.0208333333333333,1.4285714285714286,33.6,0.7435897435897436,0.0,0.0156570072579276,0.1303343657714646,0.0,0.0,1.0518805940603733,1.0,8.36432789773666,inf,5,4,4,4,4,3,5,2,1
10.0,1.0,1024.0,2.0,0.009765625,0.2,512.0,0.2929292929292929,0.0,0.0,0.0501562400477997,0.0,0.0,1.025928499201863,1.0,2.015739503984872,inf,6,1,2,3,4,5,6,7,8
16.0,0.5,2087.0,7.0,0.0076665069477719,0.4375,298.1428571428572,0.7606837606837606,0.25,0.2552437844744872,1.2482517544184173,0.0075279236642195,0.208978253966837,1.5900705423997503,1.10450314585166,-0.2449511009874828,2.523047139331004,2,3,1,3,1,2,6,4,5
17.0,0.8235294117647058,12205.0,2.0,0.0013928717738631,0.1176470588235294,6102.5,0.1852966883558318,0.8235294117647058,0.0,0.1616581241041457,0.000376546880949,0.0152425495604893,1.0275392606716491,1.0068322889613053,0.6444802373871542,29.618811530713703,3,1,4,2,5,6,3,7,8
20.0,1.0,7400.0,2.0,0.0027027027027027,0.1,3700.0,0.9983796921415068,1.0,0.0758880805474877,0.1053855832238355,0.0,0.0,1.0948936430057414,1.0,-0.4484722629542269,inf,5,3,1,1,2,2,5,4,6
12.0,1.0,990.0,11.0,0.0121212121212121,0.9166666666666666,90.0,1.0,0.4166666666666667,0.0,0.7802646691619026,0.0,0.0,1.3194416480013431,1.0,0.0399602065817948,inf,1,2,4,3,5,8,9,7,6
21.0,1.0,5000.0,3.0,0.0042,0.1428571428571428,1666.6666666666667,0.9711084905660378,1.0,0.009264345478174,0.2652009663400756,0.0,0.0,1.176950913722658,1.0,-0.536793562402706,inf,2,4,2,1,3,3,6,5,7
12.0,1.0,340.0,3.0,0.0352941176470588,0.25,113.33333333333331,0.31,0.0,0.0,0.1191674048649193,0.0,0.0,1.0406698235722875,1.0,1.8958350386115144,inf,1,5,4,4,2,3,3,6,7
