dataset_name,seed,number_of_attributes,percentage_of_numeric_features,number_of_instances,number_of_class,proportion_of_attributes_per_instances,number_of_classes_per_attributes,number_of_instances_per_class,proportion_of_min_to_max_instance_per_class,proportion_of_attributes_with_outliers,minimum_continuous_mutual_information,maximum_continuous_mutual_information,minimum_discrete_mutual_information,maximum_discrete_mutual_information,equivalent_number_of_continuous_attributes,equivalent_number_of_discrete_attributes,noise_signal_ratio_of_continuous_attributes,noise_signal_ratio_of_discrete_attributes,normal_training_loss,normal_testing_loss,batch_normalisation_training_loss,batch_normalisation_testing_loss,dropout_training_loss,dropout_testing_loss,layer_normalisation_training_loss,layer_normalisation_testing_loss,SMOTE_training_loss,SMOTE_testing_loss,prune_training_loss,prune_testing_loss,weight_decay_training_loss,weight_decay_testing_loss,weight_normalisation_training_loss,weight_normalisation_testing_loss,weight_perturbation_training_loss,weight_perturbation_testing_loss,best_training_technique,best_testing_technique
Yeast,74156,8,1.0,1453,10,0.0055058499655884,1.25,145.3,0.0114155251141552,1.0,0.0249251029757147,0.2969784794398942,0.0,0.0,1.1368049749934817,1.0,1.4407254392922426,inf,"[1.9579522609710693, 1.8412353992462158, 1.9618773460388184, 1.8670496940612793, 1.931321144104004]","[1.9535549879074097, 1.87026047706604, 2.000803232192993, 1.9168457984924316, 1.973083734512329]","[1.8675185441970825, 1.8257818222045898, 1.8297598361968994, 1.8127179145812988, 1.8899739980697632]","[1.9110032320022583, 1.9118459224700928, 1.892172932624817, 1.9238046407699585, 1.9993606805801392]","[2.0195305347442627, 2.007863759994507, 2.019151449203491, 2.0232620239257812, 1.9512050151824951]","[2.032176971435547, 2.0360310077667236, 2.009981632232666, 2.016404390335083, 1.957067608833313]","[1.901439905166626, 2.018725872039795, 1.8733739852905273, 1.8808314800262451, 1.9268178939819336]","[1.9023975133895874, 2.0011610984802246, 1.9006727933883667, 1.8861465454101562, 1.8597743511199951]","[-0.0, -0.0, -0.0, -0.0, -0.0]","[2.3020451068878174, 2.3032867908477783, 2.3016357421875, 2.3022072315216064, 2.3016366958618164]","[2.0352680683135986, 2.027939796447754, 2.0496230125427246, 2.0410819053649902, 2.0138468742370605]","[2.0574586391448975, 2.0456204414367676, 2.0146162509918213, 2.045992851257324, 2.0438380241394043]","[2.2955849170684814, 2.2952098846435547, 2.2959537506103516, 2.2954530715942383, 2.295562982559204]","[2.294496536254883, 2.2944631576538086, 2.294431209564209, 2.2942330837249756, 2.2943780422210693]","[1.8538281917572021, 2.0332260131835938, 1.8438130617141724, 1.933211326599121, 1.9339083433151245]","[1.8936495780944824, 2.0249547958374023, 1.8886544704437256, 1.9769736528396606, 1.9607864618301392]","[2.1522157192230225, 2.1425278186798096, 2.1654512882232666, 2.1568491458892822, 2.1568491458892822]","[2.179363250732422, 2.179363250732422, 2.179363250732422, 2.179363250732422, 2.179363250732422]",SMOTE,layer_normalisation
Dry Bean,99722,16,1.0,13543,7,0.0011814221368972,0.4375,1934.7142857142856,0.1472081218274111,1.0,0.1972719930612383,1.0550779163431423,0.0,0.0,2.2315049855940816,1.0,-0.7940002465352396,inf,"[1.2681081295013428, 1.2661608457565308, 1.2199405431747437, 1.253204107284546, 1.2182409763336182]","[1.2744661569595337, 1.278532862663269, 1.2351359128952026, 1.265676736831665, 1.232823371887207]","[1.2190405130386353, 1.2145841121673584, 1.2210495471954346, 1.2200120687484741, 1.258889079093933]","[1.2346227169036865, 1.2361847162246704, 1.2368135452270508, 1.2341880798339844, 1.2721730470657349]","[1.279322624206543, 1.2763336896896362, 1.2788423299789429, 1.2828794717788696, 1.246813178062439]","[1.2822812795639038, 1.27863347530365, 1.2756179571151733, 1.2851810455322266, 1.2517341375350952]","[1.2227880954742432, 1.2349516153335571, 1.2299202680587769, 1.2332358360290527, 1.2292940616607666]","[1.2337825298309326, 1.2459168434143066, 1.2407212257385254, 1.2357529401779175, 1.2389553785324097]","[-0.0, -0.0, -0.0, -0.0, -0.0]","[1.9469174146652222, 1.9463216066360474, 1.9442826509475708, 1.946177363395691, 1.9463083744049072]","[1.2223044633865356, 1.2545018196105957, 1.257530689239502, 1.2550570964813232, 1.258396029472351]","[1.243302822113037, 1.2708942890167236, 1.2716093063354492, 1.2695574760437012, 1.2689554691314697]","[1.942599892616272, 1.9426977634429932, 1.9425904750823975, 1.9425668716430664, 1.9427757263183594]","[1.9419898986816406, 1.941999912261963, 1.9419934749603271, 1.9419819116592407, 1.9420251846313477]","[1.2617255449295044, 1.2140884399414062, 1.2174264192581177, 1.2164607048034668, 1.257033109664917]","[1.2756415605545044, 1.2368743419647217, 1.2347840070724487, 1.2319775819778442, 1.2692177295684814]","[1.9057015180587769, 1.9701348543167114, 2.015428066253662, 1.7663129568099976, 1.9109227657318115]","[1.8904130458831787, 1.969925045967102, 2.020719528198242, 1.761436939239502, 1.8904130458831787]",SMOTE,layer_normalisation
Led7,12944,7,1.0,336,10,0.0208333333333333,1.4285714285714286,33.6,0.7435897435897436,0.0,0.0156570072579276,0.1303343657714646,0.0,0.0,1.0518805940603733,1.0,8.36432789773666,inf,"[2.296384334564209, 2.297246217727661, 2.2994515895843506, 2.2950005531311035, 2.2992618083953857]","[2.3157923221588135, 2.308910846710205, 2.305710792541504, 2.315549373626709, 2.3069398403167725]","[2.2955338954925537, 2.296966314315796, 2.299192190170288, 2.2941200733184814, 2.298649787902832]","[2.3172972202301025, 2.309098958969116, 2.305739164352417, 2.316323757171631, 2.3064544200897217]","[2.2969584465026855, 2.2972679138183594, 2.2993345260620117, 2.295422315597534, 2.2994930744171143]","[2.315439462661743, 2.309537172317505, 2.3063995838165283, 2.316328525543213, 2.3062803745269775]","[1.9728657007217407, 1.9816408157348633, 1.9734200239181519, 1.9757840633392334, 1.966426134109497]","[2.3770744800567627, 2.399968385696411, 2.388680934906006, 2.414552927017212, 2.3739004135131836]","[-0.0, -0.0, -0.0, -0.0, -0.0]","[2.302159547805786, 2.303154706954956, 2.3025267124176025, 2.3031256198883057, 2.3030529022216797]","[2.2978873252868652, 2.2986574172973633, 2.2999236583709717, 2.297309160232544, 2.3002374172210693]","[2.312324047088623, 2.306959390640259, 2.305169105529785, 2.3110272884368896, 2.305443286895752]","[2.3024027347564697, 2.302450656890869, 2.3024890422821045, 2.302421808242798, 2.3024983406066895]","[2.303377151489258, 2.3030240535736084, 2.3028297424316406, 2.303131103515625, 2.302896499633789]","[2.2964231967926025, 2.2974438667297363, 2.299326181411743, 2.2948505878448486, 2.2996251583099365]","[2.3152382373809814, 2.308757781982422, 2.3056907653808594, 2.3162214756011963, 2.3068628311157227]","[2.3396546840667725, 2.334981918334961, 2.3630189895629883, 2.3448710441589355, 2.363475799560547]","[2.3876209259033203, 2.3876209259033203, 2.372915029525757, 2.372915029525757, 2.4317383766174316]",SMOTE,SMOTE
Mofn_3_7_10,30938,10,1.0,1024,2,0.009765625,0.2,512.0,0.2929292929292929,0.0,0.0,0.0501562400477997,0.0,0.0,1.025928499201863,1.0,2.015739503984872,inf,"[0.31328636407852173, 0.3132922351360321, 0.31328338384628296, 0.3132908344268799, 0.31328558921813965]","[0.31330305337905884, 0.31330814957618713, 0.3132913112640381, 0.31333476305007935, 0.3132976293563843]","[0.3132704794406891, 0.3132687211036682, 0.31326931715011597, 0.31326931715011597, 0.31327003240585327]","[0.3132796585559845, 0.31328660249710083, 0.3132784366607666, 0.31327176094055176, 0.31327950954437256]","[0.31647422909736633, 0.3139881491661072, 0.31503063440322876, 0.3146173059940338, 0.3134808838367462]","[0.313483864068985, 0.3138667345046997, 0.3151305317878723, 0.3135816752910614, 0.3200051784515381]","[0.5422694087028503, 0.5437961220741272, 0.5407426953315735, 0.5376892685890198, 0.5434446930885315]","[0.5327739715576172, 0.5327739715576172, 0.5327739715576172, 0.5327739715576172, 0.5327739715576172]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.5434991121292114, 0.5450237989425659, 0.3166920840740204, 0.5389386415481567, 0.5446096658706665]","[0.5342769622802734, 0.5343291759490967, 0.316886305809021, 0.5341536998748779, 0.5342385172843933]","[0.6162151098251343, 0.6170048117637634, 0.6154227256774902, 0.6138288974761963, 0.6168231964111328]","[0.6112943887710571, 0.6113256216049194, 0.6112822890281677, 0.6112549304962158, 0.6113036274909973]","[0.3132825791835785, 0.31328171491622925, 0.3132804036140442, 0.3132862448692322, 0.3132825493812561]","[0.3132878243923187, 0.3132876455783844, 0.31329256296157837, 0.31329575181007385, 0.3132917881011963]","[0.5422694087028503, 0.5437961220741272, 0.5407426953315735, 0.5376892685890198, 0.5434446930885315]","[0.5327739715576172, 0.5327739715576172, 0.5327739715576172, 0.5327739715576172, 0.5327739715576172]",batch_normalisation,batch_normalisation
Obesity Levels,44211,16,0.5,2087,7,0.0076665069477719,0.4375,298.1428571428572,0.7606837606837606,0.25,0.2552437844744872,1.2482517544184173,0.0075279236642195,0.208978253966837,1.5900705423997503,1.10450314585166,-0.2449511009874828,2.523047139331004,"[1.3212567567825317, 2.025477409362793, 1.941249966621399, 2.020103931427002, 1.329512357711792]","[1.3745373487472534, 2.0497286319732666, 1.9641153812408447, 2.050574779510498, 1.387123465538025]","[1.454546570777893, 1.7524923086166382, 1.787255883216858, 1.6331716775894165, 1.5966830253601074]","[1.4499520063400269, 1.7490408420562744, 1.7943981885910034, 1.6401143074035645, 1.6268107891082764]","[1.3094685077667236, 1.5933177471160889, 1.562955379486084, 1.4747906923294067, 1.3201583623886108]","[1.361572504043579, 1.6147667169570923, 1.5793920755386353, 1.551472544670105, 1.33620285987854]","[2.0380799770355225, 1.6186777353286743, 1.4706794023513794, 1.278261661529541, 2.0067291259765625]","[2.0481956005096436, 1.6403099298477173, 1.4929566383361816, 1.2765600681304932, 1.9812028408050537]","[-0.0, -0.0, -0.0, -0.0, -0.0]","[1.9462047815322876, 1.9461485147476196, 1.9456207752227783, 1.9458551406860352, 1.9462860822677612]","[1.5573216676712036, 1.6191673278808594, 1.727243185043335, 1.4825549125671387, 1.5099108219146729]","[1.555988073348999, 1.6164332628250122, 1.7348878383636475, 1.5037076473236084, 1.5273468494415283]","[1.9457541704177856, 1.9458240270614624, 1.9458438158035278, 1.94579017162323, 1.945858120918274]","[1.9457703828811646, 1.9456713199615479, 1.9458129405975342, 1.9457143545150757, 1.9457024335861206]","[1.2943195104599, 1.4433552026748657, 1.6174819469451904, 1.4613285064697266, 1.3190081119537354]","[1.3035786151885986, 1.480891227722168, 1.6648255586624146, 1.4801539182662964, 1.3746141195297241]","[1.9976319074630737, 2.0260963439941406, 2.0006282329559326, 2.0328378677368164, 2.006739616394043]","[1.9812116622924805, 2.0505895614624023, 1.9812116622924805, 2.0338432788848877, 1.9812116622924805]",SMOTE,weight_normalisation
Online shopper,95057,17,0.8235294117647058,12205,2,0.0013928717738631,0.1176470588235294,6102.5,0.1852966883558318,0.8235294117647058,0.0,0.1616581241041457,0.000376546880949,0.0152425495604893,1.0275392606716491,1.0068322889613053,0.6444802373871542,29.618811530713703,"[0.4691956043243408, 0.46765679121017456, 0.46727538108825684, 0.4723939299583435, 0.4681362807750702]","[0.4722130298614502, 0.4722105860710144, 0.4722132086753845, 0.4722113311290741, 0.4721962809562683]","[0.37568753957748413, 0.4008195102214813, 0.3742482364177704, 0.37076321244239807, 0.35927557945251465]","[0.42764630913734436, 0.42911219596862793, 0.42177116870880127, 0.42587965726852417, 0.42804792523384094]","[0.4691964089870453, 0.4676598906517029, 0.4672747552394867, 0.47239747643470764, 0.4681526720523834]","[0.47221386432647705, 0.472214013338089, 0.4722139835357666, 0.4722130596637726, 0.4722139835357666]","[0.469195693731308, 0.4676594138145447, 0.46727532148361206, 0.4723963141441345, 0.46815165877342224]","[0.4722129702568054, 0.4722129702568054, 0.4722129702568054, 0.4722129702568054, 0.4722129702568054]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.4692568778991699, 0.4677089750766754, 0.46732595562934875, 0.47244012355804443, 0.46820300817489624]","[0.4722699820995331, 0.4722602665424347, 0.47226017713546753, 0.47225522994995117, 0.4722597897052765]","[0.5752670764923096, 0.5743281245231628, 0.5740988254547119, 0.5771631002426147, 0.5746263861656189]","[0.5770574808120728, 0.5770617723464966, 0.5770748257637024, 0.5770540237426758, 0.5770544409751892]","[0.4691964387893677, 0.4676600992679596, 0.46727532148361206, 0.4723965525627136, 0.4681522846221924]","[0.4722135663032532, 0.4722137749195099, 0.4722132682800293, 0.4722135663032532, 0.47221362590789795]","[0.469195693731308, 0.4676594138145447, 0.46727532148361206, 0.4723963141441345, 0.46815165877342224]","[0.4722129702568054, 0.4722129702568054, 0.4722129702568054, 0.4722129702568054, 0.4722129702568054]",batch_normalisation,batch_normalisation
Twonorm,95387,20,1.0,7400,2,0.0027027027027027,0.1,3700.0,0.9983796921415068,1.0,0.0758880805474877,0.1053855832238355,0.0,0.0,1.0948936430057414,1.0,-0.4484722629542269,inf,"[0.3221324682235718, 0.3214992880821228, 0.32044345140457153, 0.3219214379787445, 0.32255494594573975]","[0.3305453062057495, 0.33031201362609863, 0.33055540919303894, 0.33334583044052124, 0.33163708448410034]","[0.31685659289360046, 0.31643006205558777, 0.31664183735847473, 0.31891581416130066, 0.31685271859169006]","[0.3353591859340668, 0.3349265456199646, 0.33536311984062195, 0.34223052859306335, 0.3374408185482025]","[0.3203282356262207, 0.3189682960510254, 0.3198867440223694, 0.32041484117507935, 0.3204295337200165]","[0.33328914642333984, 0.3328525722026825, 0.3336222171783447, 0.33391329646110535, 0.3337981104850769]","[0.8122056722640991, 0.8096722960472107, 0.8126283884048462, 0.8122060894966125, 0.8141064047813416]","[0.8071802854537964, 0.8193429112434387, 0.8193429112434387, 0.8193429112434387, 0.8071807026863098]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.3217126429080963, 0.3195466697216034, 0.32044437527656555, 0.3203054666519165, 0.3207658529281616]","[0.3312571346759796, 0.3345318138599396, 0.33462467789649963, 0.3334610164165497, 0.3359891474246979]","[0.6931485533714294, 0.693157970905304, 0.6931559443473816, 0.6931484937667847, 0.6931523680686951]","[0.6931536197662354, 0.6933429837226868, 0.6932093501091003, 0.6931903958320618, 0.693129301071167]","[0.3229769766330719, 0.3217101991176605, 0.3206544518470764, 0.3223437964916229, 0.3231889307498932]","[0.33290088176727295, 0.3326060175895691, 0.33139270544052124, 0.33105748891830444, 0.3290223181247711]","[0.814317524433136, 0.8168513774871826, 0.8126283884048462, 0.8122060894966125, 0.812417209148407]","[0.8193429112434387, 0.8071807026863098, 0.8193429112434387, 0.8193429112434387, 0.8193429112434387]",batch_normalisation,normal
Vowel,80424,12,1.0,990,11,0.0121212121212121,0.9166666666666666,90.0,1.0,0.4166666666666667,0.0,0.7802646691619026,0.0,0.0,1.3194416480013431,1.0,0.0399602065817948,inf,"[1.9224863052368164, 2.0332565307617188, 2.2010722160339355, 2.1041958332061768, 1.9802042245864868]","[1.9545398950576782, 2.0912692546844482, 2.24121356010437, 2.104966878890991, 1.9909050464630127]","[1.926047921180725, 1.7929590940475464, 1.8840813636779785, 1.9011573791503906, 1.841727614402771]","[1.9116615056991577, 1.9078015089035034, 1.98100745677948, 1.9523041248321533, 1.8598995208740234]","[2.3945200443267822, 2.3932530879974365, 2.3392930030822754, 2.3069822788238525, 2.2363412380218506]","[2.4040443897247314, 2.40541934967041, 2.363670587539673, 2.3260905742645264, 2.2775514125823975]","[1.546144723892212, 1.543104887008667, 1.5494228601455688, 1.5446842908859253, 1.554150938987732]","[1.6020288467407227, 1.6055811643600464, 1.576320767402649, 1.5854499340057373, 1.613720417022705]","[-0.0, -0.0, -0.0, -0.0, -0.0]","[2.3976216316223145, 2.3981568813323975, 2.397913694381714, 2.3981683254241943, 2.397733211517334]","[2.396353244781494, 2.395580291748047, 2.3960394859313965, 2.3973281383514404, 2.396120071411133]","[2.403313636779785, 2.4036147594451904, 2.403373956680298, 2.3997325897216797, 2.403003215789795]","[2.397871732711792, 2.3978612422943115, 2.3978631496429443, 2.3978872299194336, 2.397871732711792]","[2.398050308227539, 2.3980579376220703, 2.398077964782715, 2.3979525566101074, 2.398028612136841]","[2.2897441387176514, 2.113452196121216, 2.19645619392395, 2.0098469257354736, 2.1391022205352783]","[2.304304599761963, 2.1874208450317383, 2.231292963027954, 2.051018714904785, 2.1478888988494873]","[2.449833631515503, 2.445094347000122, 2.4657533168792725, 2.356849193572998, 2.4373621940612793]","[2.452131509780884, 2.452131509780884, 2.4117274284362793, 2.3611810207366943, 2.4723334312438965]",SMOTE,layer_normalisation
Waveform_21,26022,21,1.0,5000,3,0.0042,0.1428571428571428,1666.6666666666667,0.9711084905660378,1.0,0.009264345478174,0.2652009663400756,0.0,0.0,1.176950913722658,1.0,-0.536793562402706,inf,"[0.5951999425888062, 0.6161366105079651, 0.614262580871582, 0.604574978351593, 0.6111370325088501]","[0.6999084949493408, 0.6974199414253235, 0.6918797492980957, 0.7053171992301941, 0.7040460705757141]","[0.5751977562904358, 0.5783243179321289, 0.574191153049469, 0.5736356377601624, 0.5730106234550476]","[0.7207035422325134, 0.739372730255127, 0.723919153213501, 0.7190722823143005, 0.7268735766410828]","[0.6224920153617859, 0.626097559928894, 0.6257585287094116, 0.6223336458206177, 0.6370769143104553]","[0.7189109921455383, 0.7086965441703796, 0.7103448510169983, 0.709794819355011, 0.7173203825950623]","[0.6809234619140625, 0.6451011300086975, 0.6952259540557861, 0.6466947793960571, 0.679198145866394]","[0.695306122303009, 0.6956526637077332, 0.7189203500747681, 0.713819146156311, 0.6955714225769043]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.6832942962646484, 0.6384595036506653, 0.6005138754844666, 0.6334889531135559, 0.6108348965644836]","[0.7470071315765381, 0.7096242308616638, 0.7038261890411377, 0.7121109962463379, 0.7120339870452881]","[1.098527193069458, 1.0984643697738647, 1.0985312461853027, 1.0985538959503174, 1.0985289812088013]","[1.0989489555358887, 1.0991026163101196, 1.0990357398986816, 1.098899483680725, 1.0989439487457275]","[0.6014518737792969, 0.6086390018463135, 0.5992650985717773, 0.604260265827179, 0.6148866415023804]","[0.7042177319526672, 0.7017188668251038, 0.7010067701339722, 0.7034310698509216, 0.7055345773696899]","[1.2248821258544922, 1.2030072212219238, 1.225819706916809, 1.2095696926116943, 1.2208197116851807]","[1.1964448690414429, 1.2344448566436768, 1.1964448690414429, 1.2344448566436768, 1.223444938659668]",batch_normalisation,normal
Schizo,28606,12,1.0,340,3,0.03529411764705882,0.25,113.33333333333333,0.31,0.0,0.0,0.11916740486491939,0.0,0.0,1.0406698235722875,1.0,1.8958350386115144,inf,"[0.9672595858573914, 0.9155257940292358, 0.9520140290260315, 0.9367241859436035, 0.9430707693099976]","[0.9647732973098755, 1.0011202096939087, 0.9644391536712646, 0.9632826447486877, 0.9807233214378357]","[0.8161858916282654, 0.7827762961387634, 0.7989189624786377, 0.8907288312911987, 0.7504160404205322]","[1.009412169456482, 1.0286219120025635, 1.082072377204895, 0.988422155380249, 1.0751060247421265]","[0.9706832766532898, 0.9674893617630005, 0.9549858570098877, 0.937046229839325, 0.9804120063781738]","[0.9640482664108276, 0.9622443914413452, 0.9635300636291504, 0.9630647301673889, 0.9658457636833191]","[0.9707974791526794, 0.9707998633384705, 0.955114483833313, 0.9367680549621582, 0.9826352596282959]","[0.9632068872451782, 0.9632112979888916, 0.9632096290588379, 0.9632072448730469, 0.9632130861282349]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.9727907180786133, 0.9728879928588867, 0.9577811360359192, 0.9398345351219177, 0.9838424324989319]","[0.9658425450325012, 0.9659539461135864, 0.9653953313827515, 0.9642396569252014, 0.9669137597084045]","[1.0543321371078491, 1.0542601346969604, 1.0487030744552612, 1.0413275957107544, 1.0584207773208618]","[1.0512956380844116, 1.0512319803237915, 1.0520707368850708, 1.051693081855774, 1.0514534711837769]","[0.9675660729408264, 0.9266692399978638, 0.9400693774223328, 0.9365830421447754, 0.9493435621261597]","[0.9644030332565308, 0.9927701354026794, 0.9712573885917664, 0.9633896946907043, 0.9802369475364685]","[0.9707996249198914, 0.9707996249198914, 0.9590948820114136, 0.9367657899856567, 0.982637345790863]","[0.9632095098495483, 0.9632095098495483, 0.9823741912841797, 0.9632095098495483, 0.9632095098495483]",batch_normalisation,layer_normalisation
