dataset_name,seed,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,baseline_training_loss,baseline_testing_loss,batch_normalisation_training_loss,batch_normalisation_testing_loss,dropout_training_loss,dropout_testing_loss,layer_normalisation_training_loss,layer_normalisation_testing_loss,SMOTE_training_loss,SMOTE_testing_loss,prune_training_loss,prune_testing_loss,weight_decay_training_loss,weight_decay_testing_loss,weight_normalisation_training_loss,weight_normalisation_testing_loss,weight_perturbation_training_loss,weight_perturbation_testing_loss,best_training_technique,best_testing_technique,subset_type
Dry Bean,62734,16.0,1.0,6340.0,4.0,396.25,0.25,1585.0,0.1980273141122913,1.0,0.5674645270701613,0.0953254150030864,0.8071364386198829,1.7637893371525677,-0.8615396231857798,"[0.8364267945289612, 0.7576894164085388, 0.7581980228424072, 0.7569000720977783, 0.7578564286231995]","[0.8425036072731018, 0.765428364276886, 0.7639133334159851, 0.7657804489135742, 0.7670660018920898]","[0.7563672661781311, 0.755370020866394, 0.8418470025062561, 0.7577998638153076, 0.7560093998908997]","[0.7670171856880188, 0.76941978931427, 0.8499262928962708, 0.7643536925315857, 0.7667778730392456]","[0.7617499232292175, 0.7633236050605774, 0.7634141445159912, 0.7616286873817444, 0.7610602974891663]","[0.7677437663078308, 0.7658005952835083, 0.7658444046974182, 0.7677659392356873, 0.7689743638038635]","[0.8508926033973694, 0.860506534576416, 1.4479563236236572, 0.7636325359344482, 0.8479087352752686]","[0.8517090678215027, 0.8511344790458679, 1.450292944908142, 0.7673704624176025, 0.8498090505599976]","[-0.0, -0.0, -0.0, -0.0, -0.0]","[1.3867095708847046, 1.3855204582214355, 1.3869678974151611, 1.3832056522369385, 1.3865994215011597]","[0.7647514939308167, 0.7669556736946106, 0.7618608474731445, 0.7595505118370056, 0.7590402960777283]","[0.7659617066383362, 0.768364667892456, 0.7654893398284912, 0.7671486139297485, 0.7658118009567261]","[1.3694682121276855, 1.3689671754837036, 1.369415044784546, 1.3690625429153442, 1.3688011169433594]","[1.369167447090149, 1.3691673278808594, 1.3691635131835938, 1.3691643476486206, 1.369178056716919]","[0.7590938210487366, 0.7572117447853088, 0.7596914768218994, 0.757229745388031, 0.7578142881393433]","[0.7688332200050354, 0.7677327990531921, 0.7652682662010193, 0.7665107250213623, 0.7674282193183899]","[1.4496086835861206, 1.538837194442749, 1.5354375839233398, 1.326714277267456, 1.3262213468551636]","[1.450292944908142, 1.5346778631210327, 1.5346778631210327, 1.3280532360076904, 1.3280532360076904]",SMOTE,prune,classes
Dry Bean,96249,16.0,1.0,2382.0,2.0,148.875,0.125,1191.0,0.2806451612903226,0.9375,0.375443288661918,0.0060874384516902,0.5260318550833337,1.4556365387930417,-0.912466494244947,"[0.3132675290107727, 0.31326761841773987, 0.3132665753364563, 0.31326809525489807, 0.3132682144641876]","[0.31327226758003235, 0.31327342987060547, 0.31327879428863525, 0.31327006220817566, 0.31327080726623535]","[0.3132666051387787, 0.31326496601104736, 0.31326550245285034, 0.31326571106910706, 0.31326529383659363]","[0.31326696276664734, 0.31326478719711304, 0.31326475739479065, 0.3132651150226593, 0.31326577067375183]","[0.31327584385871887, 0.3132721185684204, 0.3132762610912323, 0.3132752478122711, 0.31327903270721436]","[0.31328028440475464, 0.31350916624069214, 0.31328141689300537, 0.31328314542770386, 0.3132811486721039]","[0.5363588333129883, 0.5363588333129883, 0.5258601903915405, 0.5258601903915405, 0.5363588333129883]","[0.5333874821662903, 0.5333874821662903, 0.5333874821662903, 0.5333874821662903, 0.5333874821662903]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.31366458535194397, 0.31366655230522156, 0.31362950801849365, 0.3136511445045471, 0.3136659860610962]","[0.3136657476425171, 0.31366023421287537, 0.31363460421562195, 0.313652366399765, 0.3136742413043976]","[0.6131309270858765, 0.6131308674812317, 0.6075459122657776, 0.6075451970100403, 0.6131337881088257]","[0.6115670800209045, 0.6115677952766418, 0.6115887761116028, 0.6115972995758057, 0.6115805506706238]","[0.3132682144641876, 0.3132669925689697, 0.31326594948768616, 0.3132685422897339, 0.3132673501968384]","[0.31327104568481445, 0.3132758140563965, 0.31329652667045593, 0.3132747411727905, 0.31327152252197266]","[0.5363588333129883, 0.5363588333129883, 0.5258601903915405, 0.5258601903915405, 0.5363588333129883]","[0.5333874821662903, 0.5333874821662903, 0.5333874821662903, 0.5333874821662903, 0.5333874821662903]",batch_normalisation,batch_normalisation,classes
Dry Bean,73681,16.0,1.0,6895.0,3.0,430.9375,0.1875,2298.333333333333,0.3728144388042865,1.0,0.5199240867639796,0.1151744568993198,0.8083773023861218,1.68189996638341,-0.8775581617857359,"[0.5623335242271423, 0.5609731078147888, 1.2584468126296997, 0.5616517066955566, 0.5600652694702148]","[0.5699992179870605, 0.5711849927902222, 1.257028579711914, 0.5717452168464661, 0.5708178281784058]","[0.5634994506835938, 0.5613492131233215, 0.562372624874115, 0.5608144998550415, 0.559588611125946]","[0.570548951625824, 0.5667204856872559, 0.5715473294258118, 0.5731892585754395, 0.571284294128418]","[0.5647547245025635, 0.5669177770614624, 0.565077543258667, 0.5662304759025574, 0.5635883212089539]","[0.5691033005714417, 0.5717577934265137, 0.5694045424461365, 0.5701753497123718, 0.5719583630561829]","[1.037165641784668, 1.2593531608581543, 1.037282109260559, 0.5670834183692932, 0.7587874531745911]","[1.0373040437698364, 1.2570284605026245, 1.0373040437698364, 0.5724824070930481, 0.7544910311698914]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.5651126503944397, 0.568213164806366, 0.5642210245132446, 0.5657408237457275, 0.5619016885757446]","[0.570772647857666, 0.572013258934021, 0.5672614574432373, 0.5726052522659302, 0.5710011720657349]","[1.0740928649902344, 1.0722289085388184, 1.0740575790405273, 1.074436068534851, 1.0750441551208496]","[1.0740290880203247, 1.0739953517913818, 1.0739970207214355, 1.0740033388137817, 1.0740175247192383]","[0.5616536736488342, 0.5809804797172546, 0.5610044002532959, 0.5621021389961243, 0.560516893863678]","[0.5697500109672546, 0.5967069268226624, 0.5698847770690918, 0.5728779435157776, 0.5701096057891846]","[1.037165641784668, 1.0307105779647827, 1.3586055040359497, 1.0393214225769043, 1.0411343574523926]","[1.0373040437698364, 1.0373040437698364, 1.3600016832351685, 1.0373040437698364, 1.0373040437698364]",batch_normalisation,dropout,classes
Dry Bean,87828,16.0,1.0,3657.0,2.0,228.5625,0.125,1828.5,0.8041440552540701,0.5,0.5626218144301229,0.1232834255278718,0.677978556113892,1.7552684609651128,-0.923656196127088,"[0.3145478069782257, 0.31540602445602417, 0.3141236901283264, 0.3145511746406555, 0.3145512044429779]","[0.3160184323787689, 0.3161892294883728, 0.3161819875240326, 0.3169398009777069, 0.3161076307296753]","[0.3136952519416809, 0.31413036584854126, 0.314118355512619, 0.31427210569381714, 0.3142983019351959]","[0.317617803812027, 0.3174946904182434, 0.3171120584011078, 0.31766003370285034, 0.3173939287662506]","[0.3141273856163025, 0.31508868932724, 0.3141363561153412, 0.3142656981945038, 0.31455573439598083]","[0.3165976107120514, 0.3194851875305176, 0.317201167345047, 0.31796708703041077, 0.3172985911369324]","[0.8632617592811584, 0.7555695176124573, 0.8739455342292786, 0.314117968082428, 0.3162541091442108]","[0.8679065704345703, 0.7586169242858887, 0.8679065704345703, 0.3174382150173187, 0.3172781467437744]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.31455767154693604, 0.3156784176826477, 0.31471145153045654, 0.31468936800956726, 0.31520581245422363]","[0.3166402578353882, 0.316615492105484, 0.3167141079902649, 0.31680384278297424, 0.31659260392189026]","[0.6902787089347839, 0.6893306374549866, 0.6889265179634094, 0.6898726224899292, 0.6903798580169678]","[0.6897605657577515, 0.6897271275520325, 0.6897714138031006, 0.6897220015525818, 0.6897898316383362]","[0.3141230642795563, 0.31497812271118164, 0.31412363052368164, 0.3145509958267212, 0.3145509958267212]","[0.316006064414978, 0.31610772013664246, 0.3160581886768341, 0.31634876132011414, 0.3160766065120697]","[0.7632617950439453, 0.8709540367126465, 0.8739455342292786, 0.8666805624961853, 0.8624070286750793]","[0.7586169242858887, 0.8679065704345703, 0.8679065704345703, 0.8679065704345703, 0.8679065704345703]",batch_normalisation,weight_normalisation,classes
Dry Bean,68487,16.0,1.0,4409.0,3.0,275.5625,0.1875,1469.6666666666667,0.2575234336457819,0.75,0.6904423737140701,0.2296074562173136,0.9262527583172222,1.9945976956966769,-0.911833523946103,"[0.552520751953125, 0.552521824836731, 0.5521597266197205, 0.5518147945404053, 0.5525155067443848]","[0.5548496246337891, 0.5550938844680786, 0.5559540390968323, 0.5549342036247253, 0.5550225377082825]","[0.5521601438522339, 0.5521652102470398, 0.5521549582481384, 0.5514919757843018, 0.55218905210495]","[0.5558732748031616, 0.5559576153755188, 0.5548627376556396, 0.555672287940979, 0.5559044480323792]","[0.5528709292411804, 0.5525718927383423, 0.5521625876426697, 0.5519644618034363, 0.5525144934654236]","[0.5548407435417175, 0.5559592843055725, 0.5559499859809875, 0.5559899806976318, 0.5548519492149353]","[1.1257091760635376, 1.1292532682418823, 1.0911328792572021, 1.135427713394165, 1.1269232034683228]","[1.129676103591919, 1.129675269126892, 1.0911272764205933, 1.1296759843826294, 1.129676103591919]","[inf, inf, inf, inf, inf]","[inf, inf, inf, inf, inf]","[0.5537921786308289, 0.5532626509666443, 0.5527027249336243, 0.5525621175765991, 0.5531469583511353]","[0.5570633411407471, 0.5552855134010315, 0.5557594895362854, 0.5550036430358887, 0.5552433133125305]","[1.0746386051177979, 1.073630690574646, 1.0742723941802979, 1.0739206075668335, 1.0748153924942017]","[1.0741599798202515, 1.074135661125183, 1.0741347074508667, 1.0741952657699585, 1.0741723775863647]","[0.5525204539299011, 0.5525212287902832, 0.552159309387207, 0.5518165230751038, 0.552514374256134]","[0.555304229259491, 0.5548783540725708, 0.5559675097465515, 0.5555036067962646, 0.5549397468566895]","[1.431983470916748, 1.0891973972320557, 1.1304668188095093, 1.1354278326034546, 1.4309628009796143]","[1.4335309267044067, 1.0911272764205933, 1.129676103591919, 1.129676103591919, 1.4335309267044067]",batch_normalisation,baseline,classes
Dry Bean,40069,10.0,1.0,13543.0,7.0,1354.3,0.7,1934.7142857142856,0.1472081218274111,1.0,0.7364706974377248,0.1972456705535092,1.0376120774635214,2.088551362031534,-0.7510013000169022,"[1.2745888233184814, 1.2271658182144165, 1.2565349340438843, 1.2733339071273804, 1.259800910949707]","[1.2884856462478638, 1.2451478242874146, 1.274642825126648, 1.2890764474868774, 1.2775499820709229]","[1.223705530166626, 1.2178531885147095, 1.2197985649108887, 1.220211148262024, 1.2576302289962769]","[1.240501880645752, 1.2357773780822754, 1.2433079481124878, 1.240838646888733, 1.273552417755127]","[1.2771128416061401, 1.270280122756958, 1.2736502885818481, 1.2770003080368042, 1.2755587100982666]","[1.2840663194656372, 1.2933799028396606, 1.284831166267395, 1.2865784168243408, 1.2898401021957397]","[1.2235665321350098, 1.2228540182113647, 1.225630283355713, 1.230256199836731, 1.226208209991455]","[1.2418721914291382, 1.2422888278961182, 1.241051435470581, 1.243759274482727, 1.25093674659729]","[-0.0, -0.0, -0.0, -0.0, -0.0]","[1.9471312761306763, 1.945225715637207, 1.9457917213439941, 1.9452084302902222, 1.9465097188949585]","[1.263062596321106, 1.2490171194076538, 1.2596261501312256, 1.260317087173462, 1.2591707706451416]","[1.2805851697921753, 1.2752127647399902, 1.2816064357757568, 1.2826167345046997, 1.2814581394195557]","[1.9425338506698608, 1.9424738883972168, 1.9425342082977295, 1.9425420761108398, 1.9424917697906494]","[1.942520260810852, 1.9425222873687744, 1.9425196647644043, 1.9425199031829834, 1.9425245523452759]","[1.2540287971496582, 1.248569369316101, 1.2548315525054932, 1.2554675340652466, 1.2203713655471802]","[1.2840300798416138, 1.2791588306427002, 1.2780388593673706, 1.276956558227539, 1.2424120903015137]","[1.5944609642028809, 2.0678107738494873, 2.0158896446228027, 1.9046630859375, 2.029404640197754]","[1.584884524345398, 2.0676000118255615, 2.0155515670776367, 1.9037017822265625, 2.028102159500122]",SMOTE,layer_normalisation,features
Dry Bean,27669,10.0,1.0,13543.0,7.0,1354.3,0.7,1934.7142857142856,0.1472081218274111,1.0,0.7771797263067222,0.1972549004139541,1.0554279849096848,2.1753285841588395,-0.7640439655971341,"[1.244725227355957, 1.230258584022522, 1.2745290994644165, 1.2364177703857422, 1.2424980401992798]","[1.2486364841461182, 1.2425386905670166, 1.2737666368484497, 1.2388380765914917, 1.2497788667678833]","[1.2318623065948486, 1.23482346534729, 1.232075572013855, 1.2266743183135986, 1.2295693159103394]","[1.2362242937088013, 1.2457159757614136, 1.2361280918121338, 1.2342361211776733, 1.2422184944152832]","[1.2452439069747925, 1.2759820222854614, 1.2859601974487305, 1.2552944421768188, 1.2437798976898193]","[1.246511459350586, 1.2775458097457886, 1.2827069759368896, 1.2497738599777222, 1.239377498626709]","[1.2299926280975342, 1.2278738021850586, 1.2295525074005127, 1.242767572402954, 1.2300304174423218]","[1.2357803583145142, 1.2403614521026611, 1.2359256744384766, 1.2486536502838135, 1.2353492975234985]","[-0.0, -0.0, -0.0, -0.0, -0.0]","[1.9447604417800903, 1.946223497390747, 1.944853663444519, 1.9467494487762451, 1.9463424682617188]","[1.266116976737976, 1.2685441970825195, 1.2446322441101074, 1.2638823986053467, 1.2654039859771729]","[1.2748836278915405, 1.2797482013702393, 1.2467795610427856, 1.274116039276123, 1.2743988037109375]","[1.9424375295639038, 1.9424915313720703, 1.9425650835037231, 1.9425241947174072, 1.9425488710403442]","[1.942521333694458, 1.9425209760665894, 1.9425255060195923, 1.9425201416015625, 1.9425199031829834]","[1.2212117910385132, 1.2272056341171265, 1.2595150470733643, 1.2647860050201416, 1.22926926612854]","[1.236069917678833, 1.240891456604004, 1.2720047235488892, 1.280612826347351, 1.2383233308792114]","[1.9013168811798096, 2.0697720050811768, 1.9681222438812256, 2.066887617111206, 1.904923915863037]","[1.9037021398544312, 2.0676002502441406, 1.9708856344223022, 2.0676002502441406, 1.9037021398544312]",SMOTE,batch_normalisation,features
Dry Bean,25091,14.0,1.0,13543.0,7.0,967.3571428571428,0.5,1934.7142857142856,0.1472081218274111,1.0,0.7851398243053561,0.1972456705535092,1.0550627895742974,2.192713513943456,-0.833168709426209,"[1.2640049457550049, 1.2165316343307495, 1.2265613079071045, 1.276182770729065, 1.2596665620803833]","[1.2769763469696045, 1.2371302843093872, 1.2385797500610352, 1.2869720458984375, 1.2770850658416748]","[1.224531888961792, 1.2191319465637207, 1.2656303644180298, 1.221426248550415, 1.2225137948989868]","[1.242422103881836, 1.2371805906295776, 1.2836612462997437, 1.237025499343872, 1.2418811321258545]","[1.277732014656067, 1.2671921253204346, 1.278459906578064, 1.2473866939544678, 1.2686463594436646]","[1.2799943685531616, 1.2737696170806885, 1.2793110609054565, 1.2525149583816528, 1.2780348062515259]","[1.230759859085083, 1.2245147228240967, 1.2292081117630005, 1.224899411201477, 1.2225984334945679]","[1.2381186485290527, 1.2401427030563354, 1.2371399402618408, 1.2398871183395386, 1.2368839979171753]","[-0.0, -0.0, -0.0, -0.0, -0.0]","[1.9452937841415405, 1.9452682733535767, 1.9449241161346436, 1.9467682838439941, 1.9465421438217163]","[1.2568585872650146, 1.252303123474121, 1.2551411390304565, 1.2216721773147583, 1.2527474164962769]","[1.2775570154190063, 1.2753489017486572, 1.2740633487701416, 1.238869309425354, 1.2740111351013184]","[1.9424629211425781, 1.9424532651901245, 1.942574381828308, 1.9425939321517944, 1.942481517791748]","[1.942520260810852, 1.9425216913223267, 1.9425199031829834, 1.9425239562988281, 1.9425227642059326]","[1.2523150444030762, 1.2464717626571655, 1.2587192058563232, 1.2161792516708374, 1.2543885707855225]","[1.2731952667236328, 1.269668698310852, 1.275080680847168, 1.2363638877868652, 1.275199294090271]","[1.7420991659164429, 1.903163194656372, 2.065272092819214, 2.0296199321746826, 1.8591763973236084]","[1.746473789215088, 1.9037021398544312, 2.0676002502441406, 2.028102397918701, 1.8574846982955933]",SMOTE,layer_normalisation,features
Led7,37801,7.0,1.0,237.0,7.0,33.857142857142854,1.0,33.857142857142854,0.7435897435897436,0.0,0.0401755636531234,0.0,0.1073484744414767,1.0409935187752994,5.904514012335595,"[1.9399597644805908, 1.9380313158035278, 1.9359114170074463, 1.9289158582687378, 1.94316828250885]","[1.9439163208007812, 1.9443833827972412, 1.9425958395004272, 1.9424736499786377, 1.946868658065796]","[1.8418300151824951, 1.9366062879562378, 1.870803713798523, 1.8573200702667236, 1.9416234493255615]","[1.9199073314666748, 1.9442189931869507, 1.921775221824646, 1.9408248662948608, 1.9460935592651367]","[1.9405543804168701, 1.9380780458450317, 1.9390149116516113, 1.9322477579116821, 1.943676233291626]","[1.9435381889343262, 1.9451017379760742, 1.9429371356964111, 1.9443154335021973, 1.9467586278915405]","[1.5807738304138184, 1.6135611534118652, 1.5863710641860962, 1.5735224485397339, 1.6002435684204102]","[2.0412890911102295, 2.0188326835632324, 2.055087089538574, 2.050842046737671, 2.0805563926696777]","[-0.0, -0.0, -0.0, -0.0, -0.0]","[1.9462001323699951, 1.9458574056625366, 1.9460153579711914, 1.9458093643188477, 1.945785403251648]","[1.9416649341583252, 1.9397106170654297, 1.939910650253296, 1.9369957447052002, 1.943953275680542]","[1.9443352222442627, 1.9446039199829102, 1.943403959274292, 1.943447470664978, 1.9463961124420166]","[1.945703387260437, 1.9456007480621338, 1.9456090927124023, 1.945417881011963, 1.945818543434143]","[1.9459209442138672, 1.9459646940231323, 1.9458959102630615, 1.94607675075531, 1.9460119009017944]","[1.9397130012512207, 1.9383803606033325, 1.9380220174789429, 1.9336762428283691, 1.9432827234268188]","[1.9440560340881348, 1.944532871246338, 1.9429566860198975, 1.9428069591522217, 1.9468172788619995]","[2.0197269916534424, 1.7647862434387207, 1.8276395797729492, 1.99985933303833, 2.000948429107666]","[2.040422201156616, 1.872826099395752, 2.0006632804870605, 2.0195889472961426, 2.0195889472961426]",SMOTE,batch_normalisation,classes
Led7,89564,7.0,1.0,271.0,8.0,38.71428571428572,1.1428571428571428,33.875,0.7435897435897436,0.0,0.0696791917193732,0.0,0.1047798818509351,1.072164166932902,3.255185390861231,"[2.075608730316162, 2.072141647338867, 2.0637147426605225, 2.074361562728882, 2.077291965484619]","[2.0787906646728516, 2.076463460922241, 2.077470302581787, 2.0799458026885986, 2.077380895614624]","[2.0742623805999756, 2.0673322677612305, 2.029154062271118, 2.0735347270965576, 2.0763320922851562]","[2.0784521102905273, 2.0736563205718994, 2.0668528079986572, 2.079568862915039, 2.076967239379883]","[2.075535535812378, 2.072641372680664, 2.0654938220977783, 2.0746514797210693, 2.077547073364258]","[2.078859329223633, 2.0771212577819824, 2.077359199523926, 2.080380916595459, 2.0778579711914062]","[1.702470302581787, 1.6948996782302856, 1.7048323154449463, 1.6867731809616089, 1.7119708061218262]","[2.1320877075195312, 2.078702926635742, 2.080411672592163, 2.14636492729187, 2.119593381881714]","[-0.0, -0.0, -0.0, -0.0, -0.0]","[2.0794429779052734, 2.0795865058898926, 2.079632043838501, 2.0794472694396973, 2.0791304111480713]","[2.076472043991089, 2.073917865753174, 2.067412853240967, 2.0757734775543213, 2.077913284301758]","[2.0789802074432373, 2.0767998695373535, 2.0773491859436035, 2.079624652862549, 2.077939987182617]","[2.079322338104248, 2.079228162765503, 2.078969717025757, 2.079275608062744, 2.0793702602386475]","[2.079465866088867, 2.0794315338134766, 2.0795512199401855, 2.079577922821045, 2.0793793201446533]","[2.075446128845215, 2.0720574855804443, 2.064347505569458, 2.0745553970336914, 2.077101707458496]","[2.0787744522094727, 2.07625675201416, 2.077725410461426, 2.0798723697662354, 2.0773110389709473]","[2.1228456497192383, 2.1352803707122803, 2.152621269226074, 2.129499912261963, 1.8238186836242676]","[2.146735906600952, 2.1649177074432373, 2.146735906600952, 2.1649177074432373, 2.0664515495300293]",SMOTE,batch_normalisation,classes
