model type,technique,training mses,testing mses
Decision tree,baseline,"[0.6582726514203361, 0.6928513071895424, 0.63418297460655, 0.6012541163504204, 0.6530959752321981]","[1.1665859622605745, 1.2520467592592592, 1.152627904654239, 1.18318302096379, 1.2302512362778288]"
Decision tree,batch normalisation,"[1.05830961603443, 0.9012507630934651, 1.0738943472105862, 1.1113448648450666, 1.0196815752801305]","[1.723162379215565, 1.3183036757470594, 1.6164007755522558, 1.4930465598675633, 1.8981632904473198]"
Decision tree,dropout,"[0.3374735923971795, 0.2894935334273569, 0.372095794839675, 0.3582201795674282, 0.32819062265429044]","[1.8728444464226164, 2.1386456354356924, 1.6740579794781998, 2.0651749712367926, 1.8183313802027712]"
Decision tree,layer normalisation,"[0.7949625089763498, 0.8330228111671609, 0.8587936251055447, 1.1877273325802737, 0.9545361280774912]","[3.204850986987934, 4.571192333007601, 3.163841405060955, 3.5529740479526786, 3.2768922082464687]"
Decision tree,prune,"[0.7338480657414482, 0.473275030186823, 0.6010617817096601, 0.5992129629629629, 0.6442418843847811]","[2.7827480245062324, 2.3656921130084467, 2.844091269628888, 3.0567014526748975, 2.3498888989093842]"
Decision tree,weight normalisation,"[1.0343137254901962, 1.0, 1.0980392156862746, 1.0784313725490196, 1.2107843137254901]","[3.526666666666667, 3.7733333333333334, 3.7733333333333334, 3.526666666666667, 3.7066666666666666]"
KNN,baseline,"[0.546719922536916, 0.5611837327523602, 0.5307431614621158, 0.5336480271120795, 0.48747276688453156]","[0.9789300411522635, 1.0442798353909466, 0.9707818930041153, 0.8937448559670781, 0.979835390946502]"
KNN,batch normalisation,"[0.4877450980392157, 0.4270833333333333, 0.5340073529411765, 0.5646446078431373, 0.5637254901960784]","[2.1479166666666667, 2.1954166666666666, 2.1370833333333334, 2.1083333333333334, 1.9025]"
KNN,dropout,"[0.0, 0.0, 0.0, 0.0, 0.0]","[1.3470031017748252, 1.3373910326028218, 1.3588434254217934, 1.2978876814510696, 1.3684971528199021]"
KNN,layer normalisation,"[0.0, 0.0, 0.0, 0.0, 0.0]","[2.3602667907322235, 2.459824459771504, 2.4903890362790277, 2.297240275683668, 2.2562948679453187]"
KNN,prune,"[0.7725090036014406, 0.7342937174869948, 0.7716086434573829, 0.7420968387354944, 0.7126850740296118]","[1.8263945578231293, 1.6523809523809525, 1.839591836734694, 1.81265306122449, 1.7620408163265304]"
KNN,weight normalisation,"[0.40100762527233114, 0.4813453159041395, 0.48651960784313725, 0.4712690631808279, 0.4670479302832244]","[3.8942592592592593, 4.187962962962962, 4.128333333333333, 3.6655555555555552, 3.8724074074074073]"
Random forest,baseline,"[0.3960004284878001, 0.3931384053313538, 0.4175088375608785, 0.39585398448391357, 0.4137665473237617]","[1.0068745511439419, 1.0293019647070893, 1.1205983892479738, 1.0850920796142403, 1.1897303016312712]"
Random forest,batch normalisation,"[0.5198950458756988, 0.4674083553890993, 0.5803569313464194, 0.5546411145312047, 0.574857248812444]","[1.546054026038808, 1.508032644073079, 1.4391796648144968, 1.4400358616724631, 1.5469732384145372]"
Random forest,dropout,"[0.23400468139828387, 0.20626198830283948, 0.20567351218513863, 0.22859326664072463, 0.2236827984456173]","[1.6050633199565902, 1.6430089591976698, 1.5591224844303282, 1.5873562285584664, 1.6952109385967555]"
Random forest,layer normalisation,"[0.35374126887001905, 0.3179247339498503, 0.3410179134286923, 0.3363839035898577, 0.35371639808445715]","[2.3276809281453743, 2.561167418130737, 2.5583639140651386, 2.9259729090930895, 2.2686706909759526]"
Random forest,prune,"[0.23491701333701528, 0.24430243976534596, 0.2133104820777714, 0.21305894675327536, 0.18915027994319858]","[1.748975220206518, 1.7830813250172726, 1.8768374114154531, 2.368162405529368, 1.9259824678796629]"
Random forest,weight normalisation,"[0.30009645474995417, 0.3327407527136765, 0.36464422527595847, 0.3334871572198078, 0.3196646065424089]","[3.2778640955601803, 3.290516822754076, 3.2182188692334375, 3.2960158688865766, 3.3132154006243493]"
SVM,baseline,"[0.13356816720700534, 0.1378837273598099, 0.14120401106692632, 0.13376831997724337, 0.12994145242904384]","[7.123239731402775, 6.2392069157249415, 3.05000113075593, 7.805752443781291, 4.250872281350036]"
SVM,batch normalisation,"[0.5705282947275588, 0.6061594927854705, 0.5985914576971865, 0.6324307045355652, 0.59967016977726]","[1.497725470484584, 1.6869157268422543, 1.5619787392616726, 1.525017482829209, 1.6546697267743242]"
SVM,dropout,"[0.13911290391985393, 0.16794237001084306, 0.1758707048706928, 0.12057208833781699, 0.14600549517230066]","[1.6793643949555057, 1.7663379023165044, 1.803715264193707, 1.3888825516449155, 2.7783643683317494]"
SVM,layer normalisation,"[0.5865587019476409, 0.5447137762302281, 0.5790647880069916, 0.5680909252579519, 0.5476373793276761]","[2.773296737080947, 2.462361139247852, 2.501328873193792, 2.5783965893521668, 3.0709750470411405]"
SVM,prune,"[0.5132296950808672, 0.5293131568582943, 0.568050941015708, 0.5167579451998944, 0.5166265851855272]","[1.2791768774489352, 1.3124587177144087, 1.2095812673901234, 1.1443137664407306, 1.3340375863151175]"
SVM,weight normalisation,"[0.317877268961876, 0.34722940241409905, 0.3055361090722906, 0.36328616093666277, 0.342934707022573]","[3.1368284229732306, 3.616378077737283, 3.2061153583407425, 3.03247162466718, 3.2190088230916554]"
