branch,tenth_percentage,twelfth_percentage,attendance_percentage,projects_completed,internships_completed,aptitude_skill_rating,hackathons_participated,certifications_count,sleep_hours,stress_level,part_time_job,family_income_level,city_tier,internet_access,extracurricular_involvement,target
2,-0.048631849638112686,0.04625664174706491,-0.11624012323787426,0.7234686179803247,0.7627087085758464,1.2393434539481363,0.191163726201095,1.223393775888155,-0.40551370993824737,0.6899626985074089,1,2,1,1,2,2
2,0.0779884942045386,-0.47122028660628806,-0.32208751101687594,-0.2555365184633201,-0.9790057465710549,-1.5532871553995955,0.191163726201095,-1.0239258703794276,0.11745101640768663,0.6899626985074089,1,2,2,1,1,2
3,-1.1395148119748033,-0.6079123054166083,-1.2226698325500116,1.212971186202147,-0.10814851899760423,-0.15697185072572967,1.443842844244037,0.0997339527543637,-0.7541568608355372,-1.4147045758092343,0,1,1,1,0,2
2,-1.6167761079971052,-2.2579802467697534,-0.9524951360900715,0.2339660497585023,-0.10814851899760423,-0.15697185072572967,-1.061515391841847,-0.462095958812532,0.29177259185633153,0.3391848194546351,0,2,0,1,1,2
3,-1.2856152087163244,-0.10019909269256337,0.5013020400991345,-1.2345416549069648,0.7627087085758464,-1.5532871553995955,-1.061515391841847,-1.0239258703794276,-0.8413176485598592,0.3391848194546351,0,2,0,1,2,2
1,-0.3895327753683284,-0.4028742772011279,1.2474988207980178,-0.2555365184633201,0.7627087085758464,-0.15697185072572967,-1.061515391841847,-0.462095958812532,1.599184407721168,1.3915184566129566,1,0,0,1,2,2
0,0.6526500547211885,0.026729210488447532,-1.5957682228994532,-0.7450390866851424,-0.9790057465710549,-1.5532871553995955,0.191163726201095,0.6615638643212594,-1.1028000117328263,0.6899626985074089,0,1,0,0,0,2
3,-1.0323745210310211,-1.301136115097515,-0.9396296743538828,0.7234686179803247,-0.9790057465710549,-0.15697185072572967,0.191163726201095,1.223393775888155,-2.410211827597662,1.3915184566129566,0,2,1,1,1,2
1,-0.30187253732341524,-0.07090794580463798,0.4498401931543831,0.7234686179803247,-0.10814851899760423,-0.15697185072572967,0.817503285222566,2.347053599021947,-1.3642823749057933,1.3915184566129566,0,2,1,1,2,2
2,-0.42849288116606793,0.25129466996254396,0.6685530426695735,0.7234686179803247,1.6335659361492971,-0.15697185072572967,0.191163726201095,0.0997339527543637,0.46609416730497644,1.3915184566129566,1,2,0,1,1,2
