target,employment_type,job_title,salary,salary_in_usd,company_size
4,2,84,-0.16136692109042466,342,0
3,0,66,-0.22325721148881794,89,2
3,0,66,-0.22882733762467333,75,2
4,2,47,-0.04377536933347743,757,1
4,2,47,-0.11185468877171004,509,1
4,2,8,0.014649064802605825,914,0
4,2,8,-0.09204979584422418,591,0
4,2,47,0.010688086217108655,906,1
4,2,47,-0.08586076680438486,619,1
4,2,47,-0.07831015137578087,649,1
4,2,47,-0.1481223989451685,357,1
4,2,25,-0.09947663069203137,563,1
4,2,25,-0.13661080493106734,402,1
1,2,8,0.004078203202560254,893,0
1,2,8,-0.0985358982779758,569,0
4,2,38,-0.07831015137578087,649,1
4,2,38,-0.1481223989451685,357,1
4,2,47,-0.04996439837331675,738,1
4,2,47,-0.07472051453267407,663,1
3,2,25,-0.07472051453267407,663,1
3,2,25,-0.12423274685138869,460,1
4,2,88,0.08000521146330912,984,1
4,2,88,-0.045013175141445295,755,1
4,2,4,0.024303950104755178,927,1
4,2,4,-0.08313759402685555,632,1
4,2,18,0.01811492106491585,919,1
4,2,18,-0.06679855736167972,691,1
4,2,69,-0.012830224134280789,851,1
4,2,69,-0.09947663069203137,563,1
4,2,50,-0.148988863010746,355,1
4,2,50,-0.17126936755416758,277,1
4,2,33,0.05302104484960966,963,1
4,2,33,-0.1481223989451685,357,1
4,2,23,0.16394082330161008,1019,1
4,2,23,-0.031904811635065596,795,1
3,2,33,-0.05924794193307575,715,1
3,2,33,-0.09947663069203137,563,1
3,2,25,-0.12995140968420021,436,1
3,2,25,-0.18055291111392657,238,1
1,2,41,-0.13661080493106734,402,0
1,2,22,-0.22325721148881794,89,0
3,2,69,1.781988197419124,57,0
1,2,8,-0.00711156130146925,867,0
1,2,8,-0.12339103890197053,465,0
4,2,33,0.07468635990647121,981,1
4,2,33,0.013762795844100834,912,1
4,2,47,0.0029517999173094963,888,1
4,2,47,-0.03139731125379877,797,1
4,2,47,0.06391373595972688,974,1
4,2,47,0.04287103722427316,949,1
4,2,47,0.08037655320569949,985,1
4,2,47,-0.03325401996575057,791,1
4,2,47,0.010069183313124723,905,1
4,2,47,-0.013946724973067804,850,1
4,2,33,-0.008745464967986833,863,1
4,2,33,-0.10739858786302572,528,1
4,2,88,-0.026309929383050844,814,1
4,2,88,-0.08833637842032059,609,1
2,2,47,0.05989086708383131,969,1
2,2,47,-0.03139731125379877,797,1
4,2,33,0.026160658816706976,930,1
4,2,33,-0.05491562160518822,725,1
4,2,47,-0.04686988385339709,750,1
4,2,47,-0.12361384394740475,463,1
4,2,33,0.0342063965684981,938,1
4,2,33,-0.04253756352550956,761,1
4,2,33,0.032968590760530235,937,1
4,2,33,-0.011035405712727384,856,1
4,2,8,0.1225857312574037,1007,0
4,2,8,-0.06345648168016649,700,0
4,2,33,-0.11804371781154936,481,1
4,2,33,-0.15951021237847285,320,1
4,2,47,0.032968590760530235,937,1
4,2,47,-0.011035405712727384,856,1
4,2,23,0.08619424050314846,987,1
4,2,23,-0.00045216605460213406,883,1
4,2,31,0.08631802108394523,988,1
4,2,31,-0.0523162294084557,734,1
4,2,33,-0.020875961886071916,830,1
4,2,33,-0.08833637842032059,609,1
3,2,47,0.3708895763357576,242,0
4,2,69,-0.07472051453267407,663,1
3,2,6,-0.17993400820994263,268,2
1,2,1,0.11095035666250577,1004,0
3,2,69,-0.148988863010746,387,0
4,2,18,-0.030283286026627693,802,1
4,2,18,-0.10034309475760889,561,1
4,2,33,0.01811492106491585,919,1
4,2,33,-0.04377536933347743,757,1
4,2,33,-0.03139731125379877,797,1
4,2,33,-0.08709857261235272,613,1
4,2,47,-0.20469012436929995,154,1
4,2,47,-0.21583037664101073,116,1
4,2,47,-0.13042177589122803,432,1
4,2,47,-0.17374497917010331,270,1
1,2,69,-0.058386429090730114,716,1
1,2,69,-0.07981408543246184,642,1
4,2,33,0.008212474601172925,903,1
4,2,33,-0.03139731125379877,797,1
4,2,25,-0.009364367871970767,859,0
4,2,25,-0.13128823995680552,425,0
4,2,25,-0.0809095435725134,639,1
4,2,25,-0.17993400820994263,240,1
4,2,33,-0.056153427413156085,721,1
4,2,33,-0.09662967733370528,576,1
4,2,33,-0.03861371911425143,772,1
4,2,33,-0.14366629803648417,374,1
4,2,4,-0.0716260000127544,674,1
4,2,4,-0.11624889938999595,495,1
4,2,33,0.045717990582599254,952,1
4,2,33,-0.0947729686217535,582,1
4,2,88,-0.009116806710377193,861,1
4,2,88,-0.09576321326812778,578,1
1,2,89,0.011925892025076521,908,0
1,2,69,-0.19354987209758917,195,2
4,2,47,-0.11185468877171004,509,1
4,2,4,0.09832473742123354,997,1
4,2,4,0.0044990571772693284,894,1
4,2,4,-0.037809145339072314,777,1
4,2,4,-0.08232064219359676,633,1
4,2,69,0.09015521908864563,990,1
4,2,69,-0.026693649183520882,813,1
4,2,4,0.0047466183388629015,895,1
4,2,33,-0.030283286026627693,802,1
4,2,33,-0.10034309475760889,561,1
4,2,33,0.05153567788004822,962,1
4,2,33,-0.10071443649999924,560,1
3,2,29,-0.06853148549283473,687,1
3,2,29,-0.08709857261235272,613,1
4,2,33,-0.06011440599865325,713,1
4,2,33,-0.08511808331960413,624,1
4,2,69,0.16330954233954648,1018,0
4,2,69,-0.04241378294471278,762,0
3,2,33,-0.13661080493106734,402,1
3,2,33,-0.17374497917010331,270,1
1,2,33,-0.15517789205058533,338,1
1,2,33,-0.17993400820994263,240,1
4,2,47,-0.08860374447484165,606,1
4,2,47,-0.15731929609836973,332,1
1,2,25,-0.16755595013026398,292,1
1,2,25,-0.17374497917010331,270,1
4,2,25,-0.0072600979984253945,866,1
4,2,25,-0.08846015900111738,607,1
4,2,69,0.1336022029483177,1012,1
4,2,69,0.0022710067229271703,887,1
4,2,33,-0.14279983397090668,379,1
4,2,33,-0.16755595013026398,292,1
4,2,47,-0.019019253174120117,835,1
4,2,47,-0.06234245645299541,705,1
4,2,4,0.024303950104755178,927,1
4,2,4,-0.08313759402685555,632,1
3,2,17,-0.13042177589122803,432,0
3,2,5,1.8438784878175174,56,0
3,2,25,-0.213354765025075,146,1
3,2,25,-0.2170681824489786,132,1
4,2,33,-0.0809095435725134,639,1
4,2,25,-0.051944887666065344,735,1
4,2,25,-0.13017421472963445,434,1
4,2,69,-0.025208282213959446,818,1
4,2,69,-0.07472051453267407,663,1
4,2,4,-0.07472051453267407,663,1
4,2,4,-0.11185468877171004,509,1
4,2,33,-0.11185468877171004,509,1
4,2,25,-0.20469012436929995,185,1
4,2,25,-0.2170681824489786,132,1
4,2,33,0.0379198139924017,943,1
4,2,33,-0.06853148549283473,687,1
4,2,33,0.011925892025076521,908,1
4,2,33,-0.025208282213959446,818,1
3,2,47,-0.1923120662896213,253,1
3,2,47,-0.20469012436929995,185,1
2,2,91,-0.24182429860833593,34,1
3,2,55,-0.17374497917010331,339,1
3,2,55,-0.2015956098493803,199,1
1,2,25,-0.15517789205058533,338,1
1,2,25,-0.16755595013026398,292,1
4,2,33,-0.06234245645299541,705,1
3,2,69,0.11095035666250577,1004,1
3,2,69,0.04906006626411249,960,1
4,2,47,0.021828338488819446,924,1
4,2,47,-0.030159505445830907,803,1
4,2,47,-0.025208282213959446,818,1
3,2,88,0.024303950104755178,927,1
3,2,88,-0.012830224134280789,851,1
4,2,31,-0.0375863402936381,779,1
4,2,31,-0.11804371781154936,481,1
4,2,31,-0.012830224134280789,851,1
4,2,32,-0.19850109532946061,179,2
2,2,33,0.011925892025076521,908,1
2,2,33,-0.0066411950944414615,868,1
3,2,33,-0.0375863402936381,779,1
4,2,33,-0.012830224134280789,851,1
