dataset_name,file_name,batch_size,learning_rate,number_of_epochs,number_of_hidden_layers,avg_number_of_neurons,min_number_of_neurons,max_number_of_neurons,total_number_of_neurons,depth_to_width_ratio,batch_size_to_dataset_ratio,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,avg_learning_slope,std_learning_slope,avg_validation_gap,std_validation_gap,avg_first_overfit_epoch,std_first_overfit_epoch,avg_first_stay_epoch,std_first_stay_epoch,avg_percentage_weights_near_zero,std_percentage_weights_near_zero,avg_avg_weights,std_avg_weights,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
Ann thyroid,Data\Input\Subsets\Ann thyroid\3961129730_20260528_183143.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.0179548323748071,19.0,1.0,7129.0,3.0,375.2105263157895,0.1578947368421052,2376.333333333333,0.0251705837755875,0.8947368421052632,0.0255724264743264,0.0,0.2357702732008625,1.0259022060595648,-0.3566838306885454,-0.0004815593361854,1.8154974026117743e-05,0.0060185730736665,0.0016070323479814,23.9,6.300000000000001,2.0,0.0,14.520761785825789,0.9339591663929856,0.3158316561566677,0.0094946486514535,1,1,1,1,2,2,2,2
Ann thyroid,Data\Input\Subsets\Ann thyroid\616739963_20260528_183144.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.0179548323748071,18.0,1.0,7129.0,3.0,396.05555555555554,0.1666666666666666,2376.333333333333,0.0251705837755875,0.8888888888888888,0.0262779833242113,0.0,0.2359323396950791,1.0266262938008568,-0.3391765149864739,-0.0004739420754568,1.6453566939383027e-05,0.0126212039765123,0.0025489046381101,28.8,15.778466338652816,2.0,0.0,15.00784436774396,0.344023599153566,0.3090865140156028,0.0054464295305314,1,1,1,1,2,2,2,2
Ann thyroid,Data\Input\Subsets\Ann thyroid\2457631660_20260528_183144.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.0179548323748071,20.0,1.0,7129.0,3.0,356.45,0.15,2376.333333333333,0.0251705837755875,0.9,0.0282504219615069,0.0,0.2351386496442458,1.0286532495345575,-0.4467835670283293,-0.0004355654546192,0.0001461459889886,0.0101976167887889,0.004382828387335,25.9,11.148542505637227,2.0,0.0,14.784094439266852,2.2711210552247847,0.3042103004325025,0.0597154714885661,1,1,1,1,2,2,2,1
Ann thyroid,Data\Input\Subsets\Ann thyroid\4095911610_20260528_183145.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.0179548323748071,12.0,1.0,7129.0,3.0,594.0833333333334,0.25,2376.333333333333,0.0251705837755875,0.9166666666666666,0.0183950999752715,0.0,0.1066579759591992,1.0185653320367067,0.4160109384653973,-9.971005575997489e-08,4.689866776940886e-08,8.731196808146047e-05,0.0004552901228259,20.0,9.17605579756357,2.0,0.0,19.7153024911032,0.6976637370007905,0.1442187735387246,0.002275321481882,1,1,1,1,1,2,2,2
Ann thyroid,Data\Input\Subsets\Ann thyroid\3358462597_20260528_183145.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.0179548323748071,12.0,1.0,7129.0,3.0,594.0833333333334,0.25,2376.333333333333,0.0251705837755875,0.9166666666666666,0.0372195750866821,0.0,0.2356648355006599,1.0379208973902485,-0.3001622743278077,-0.0004004197461264,7.941408056643672e-06,0.0053838255184225,0.0019813821294321,24.0,6.587867636800241,2.0,0.0,12.057586541572306,1.226652469412778,0.3435867205464659,0.0178818942989626,1,1,1,1,1,1,2,1
Ann thyroid,Data\Input\Subsets\Ann thyroid\3692951717_20260528_183146.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.0179548323748071,14.0,1.0,7129.0,3.0,509.2142857142857,0.2142857142857142,2376.333333333333,0.0251705837755875,0.8571428571428571,0.0143346646641047,0.0,0.0902297800544504,1.0144378986546934,0.5575228733687184,-2.9494379247937883e-05,4.517820502703729e-05,0.0012115640344014,0.0020006947329298,18.7,13.820636743652589,2.0,0.0,18.485430675632404,2.5331043567896794,0.1745897286415596,0.0485843112088389,1,1,1,1,1,2,2,2
Ann thyroid,Data\Input\Subsets\Ann thyroid\4123607450_20260528_183146.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.0179548323748071,13.0,1.0,7129.0,3.0,548.3846153846154,0.2307692307692307,2376.333333333333,0.0251705837755875,0.8461538461538461,0.0142956355788297,0.0,0.0909392371184096,1.0143983068440616,0.6819116770945624,-3.0444349561418808e-06,8.063082273329253e-06,0.0006024647285866,0.0007830447701811,23.2,27.88476286433148,2.0,0.0,19.44641132925652,1.2783556336982491,0.1533143536076501,0.0193617715230417,1,1,1,1,1,2,3,2
Ann thyroid,Data\Input\Subsets\Ann thyroid\1642850339_20260528_183147.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.1498829039812646,21.0,1.0,854.0,3.0,40.66666666666666,0.1428571428571428,284.6666666666667,0.0253164556962025,0.8571428571428571,0.0286849400457466,0.0,0.2260147830360852,1.0291003150958935,-0.4807587895958443,-0.0020750558376312,0.0002721724061116,0.0286372651255579,0.0202606600728704,56.0,52.80909012660605,4.0,0.0,18.84080370942813,1.9188424096341683,0.1866357727282014,0.0341585951064616,2,2,2,1,2,2,2,2
Ann thyroid,Data\Input\Subsets\Ann thyroid\1984699523_20260528_183147.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.0801502817783343,21.0,1.0,1597.0,3.0,76.04761904761905,0.1428571428571428,532.3333333333334,0.0250507786052809,0.8571428571428571,0.0270103380176851,0.0,0.2257213087166456,1.0273784237649035,-0.4479056413048146,-0.0010287342326981,0.0003031281525133,0.0138561689406649,0.0099908466098875,48.5,41.42523385570684,2.0,0.0,18.33693972179289,1.6012722809337934,0.192804273630347,0.0373929037200868,2,2,2,1,2,2,2,2
Ann thyroid,Data\Input\Subsets\Ann thyroid\687496161_20260528_183147.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.048320120800302,21.0,1.0,2649.0,3.0,126.14285714285714,0.1428571428571428,883.0,0.0253061224489795,0.8571428571428571,0.0274394190206191,0.0,0.2314529783980603,1.0278193469184749,-0.4563013120879447,-0.0005237434165818,4.504221533049316e-05,0.0159532349964648,0.0055780273131819,25.1,14.131171218267792,2.0,0.0,15.993817619783616,0.9289219151032062,0.2409659795253501,0.0105120967920627,1,1,1,1,2,2,2,2
