dataset_name,file_name,batch_size,learning_rate,number_of_epochs,number_of_hidden_layers,avg_number_of_neurons,min_number_of_neurons,max_number_of_neurons,total_number_of_neurons,depth_to_width_ratio,batch_size_to_dataset_ratio,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,avg_learning_slope,std_learning_slope,avg_validation_gap,std_validation_gap,avg_first_overfit_epoch,std_first_overfit_epoch,avg_first_stay_epoch,std_first_stay_epoch,avg_percentage_weights_near_zero,std_percentage_weights_near_zero,avg_avg_weights,std_avg_weights,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
Car evaluation,Data\Input\Subsets\Car evaluation\2903257547_20260528_183153.csv,64.0,0.0035,260.0,2.0,80.0,64.0,96.0,160.0,0.025,0.0476190476190476,6.0,1.0,1344.0,3.0,224.0,0.5,448.0,0.0537190082644628,0.0,0.0508007046637812,0.0,0.0846379620270467,1.0521131911354005,0.2909681223242341,-0.0003869743989064,1.2662618269426377e-05,0.003662359584084,0.0028427730330945,22.1,17.666069172286175,2.6,1.8000000000000005,28.62049469964664,1.6135184136355103,0.1340294118231893,0.0047386380178836,1,1,1,1,3,2,2,2
Car evaluation,Data\Input\Subsets\Car evaluation\3812274549_20260528_183153.csv,64.0,0.0035,260.0,2.0,80.0,64.0,96.0,160.0,0.025,0.4776119402985074,6.0,1.0,134.0,2.0,22.33333333333333,0.3333333333333333,67.0,0.9420289855072465,0.0,0.0837725073232545,0.0,0.2393853973816342,1.0873814943423183,0.3781402415041022,-0.001296711724538,3.669547767360224e-05,0.0,0.0,260.0,0.0,13.3,1.004987562112089,32.186875891583455,0.5989759291247113,0.1000460918880095,0.0015271090737861,1,2,1,1,2,1,1,1
Car evaluation,Data\Input\Subsets\Car evaluation\3772102763_20260528_183153.csv,64.0,0.0035,260.0,2.0,80.0,64.0,96.0,160.0,0.025,0.0384846662657847,6.0,1.0,1663.0,3.0,277.1666666666667,0.5,554.3333333333334,0.0570247933884297,0.0,0.067678387697435,0.0025042895255817,0.158671469182023,1.0700211211777308,0.7284340642056562,-0.0009230402341255,8.94581789330936e-05,0.0030441579305477,0.0045989047525337,16.3,5.797413216254298,5.5,0.9219544457292888,24.66007067137809,1.6095837287152956,0.165904551686436,0.0100758211677321,1,1,2,2,1,2,2,1
Car evaluation,Data\Input\Subsets\Car evaluation\206314115_20260528_183153.csv,64.0,0.0035,260.0,2.0,80.0,64.0,96.0,160.0,0.025,0.037037037037037,4.0,1.0,1728.0,4.0,432.0,1.0,432.0,0.0537190082644628,0.0,0.0394152293320939,0.0115224190532947,0.0664255190528135,1.0402023165022438,4.30097102066736,-3.577777972588172e-05,2.957344373834521e-05,0.0316926217067406,0.0285446554429981,8.5,6.576473218982953,2.0,0.0,32.613701784686235,2.439998821063704,0.1219541166211485,0.0213868711454154,1,1,1,2,2,1,1,1
Car evaluation,Data\Input\Subsets\Car evaluation\1240130516_20260528_183153.csv,64.0,0.0035,260.0,2.0,80.0,64.0,96.0,160.0,0.025,0.037037037037037,3.0,1.0,1728.0,4.0,576.0,1.3333333333333333,432.0,0.0537190082644628,0.0,0.1262144112510556,0.0655941298278002,0.1685525799930745,1.1345253972163547,1.207238580669772,-0.0002632504930863,4.6044039143848334e-05,-0.0070557572494767,0.008028976818965,9.3,2.531797780234432,3.0,0.0,36.126678342089896,0.9003191697124401,0.1138982996074901,0.0013135258565411,1,1,1,1,1,1,1,1
Car evaluation,Data\Input\Subsets\Car evaluation\1967781947_20260528_183153.csv,64.0,0.0035,260.0,2.0,80.0,64.0,96.0,160.0,0.025,0.037037037037037,3.0,1.0,1728.0,4.0,576.0,1.3333333333333333,432.0,0.0537190082644628,0.0,0.1043497013084555,0.0,0.1685525799930745,1.1099885515015162,1.669727986344287,-0.0002179000010857,7.877399814817663e-05,-0.0096290542017095,0.0024169400079718,10.6,6.843975452907468,2.9,0.7,35.185347343841215,1.376874901377333,0.1160533057668198,0.0042659026964442,1,1,2,2,2,1,1,1
Car evaluation,Data\Input\Subsets\Car evaluation\2416487703_20260528_183153.csv,64.0,0.0035,260.0,2.0,80.0,64.0,96.0,160.0,0.025,0.037037037037037,5.0,1.0,1728.0,4.0,345.6,0.8,432.0,0.0537190082644628,0.0,0.0513583316656544,0.0,0.1489743858278274,1.0527000414663932,2.2546070977942563,-0.0003914273472932,1.9400406893136525e-05,0.0935423893734183,0.0135314800866716,24.7,11.679469166019487,3.0,1.61245154965971,22.80664395229983,1.6838155549671805,0.1916970735002247,0.0058546755139739,1,1,1,1,3,2,1,1
Car evaluation,Data\Input\Subsets\Car evaluation\700614227_20260528_183153.csv,64.0,0.0035,260.0,2.0,80.0,64.0,96.0,160.0,0.025,0.037037037037037,4.0,1.0,1728.0,4.0,432.0,1.0,432.0,0.0537190082644628,0.0,0.0971646878789995,0.0071155519984473,0.164405209618879,1.1020418516120984,1.1503592819912385,-0.0003812032479506,6.121311147193749e-05,0.0468871834028995,0.0069803625085748,12.8,4.915282290977803,3.5,0.6708203932499369,31.384571099597007,1.2429634766144089,0.1331441421316969,0.0053142928388926,1,1,1,1,2,1,1,1
Car evaluation,Data\Input\Subsets\Car evaluation\1289566210_20260528_183153.csv,64.0,0.0035,260.0,2.0,80.0,64.0,96.0,160.0,0.025,0.037037037037037,5.0,1.0,1728.0,4.0,345.6,0.8,432.0,0.0537190082644628,0.0,0.0739032201926487,0.0,0.1869294860386592,1.0767025973837314,1.2617578819188895,-0.0004583528179388,6.060400955639571e-05,0.0191031652729679,0.0079308156630462,11.9,3.83275357934736,4.5,0.5,28.516467915956845,1.2820458358081486,0.1483010215825448,0.0066765914629208,2,2,2,1,3,2,2,2
Car evaluation,Data\Input\Subsets\Car evaluation\806145203_20260528_183153.csv,64.0,0.0035,260.0,2.0,80.0,64.0,96.0,160.0,0.025,0.1860465116279069,6.0,1.0,344.0,4.0,57.333333333333336,0.6666666666666666,86.0,0.0539419087136929,0.0,0.0724980724658876,0.0055918326451203,0.1776404776127427,1.075190733621341,0.9241208635577292,-0.0017747380412541,9.888468606016004e-05,0.0375784843065863,0.0232054959786288,129.5,82.83507711108864,5.0,3.847076812334269,27.457983193277308,1.9997650883234053,0.1356947353565726,0.0114018218616817,1,1,1,1,1,1,1,1
