dataset_name,file_name,batch_size,learning_rate,number_of_epochs,number_of_hidden_layers,avg_number_of_neurons,min_number_of_neurons,max_number_of_neurons,total_number_of_neurons,depth_to_width_ratio,batch_size_to_dataset_ratio,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,avg_learning_slope,std_learning_slope,avg_validation_gap,std_validation_gap,avg_first_overfit_epoch,std_first_overfit_epoch,avg_first_stay_epoch,std_first_stay_epoch,avg_percentage_weights_near_zero,std_percentage_weights_near_zero,avg_avg_weights,std_avg_weights,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\3343457092_20260528_183135.csv,-0.597972465441046,-0.9750840032936425,0.413404950460906,-1.0274810331777684,0.036689019090386105,0.3995506779493796,0.1818492358384288,-0.44536515622264833,-0.9798483730653819,-0.9079860852002645,0.5072925964171079,-1.3280934213129094,1.1080122762793494,-1.1429485580379166,0.8300621956926434,-1.2713286592835322,1.4575758810316841,1.2940933274235031,-0.6021281607381606,0.6244721970576039,0.014167062746488787,0.9972657509568783,0.5541434841460812,-1.196315096808372,0.8929087880299048,-1.035964867213518,-1.2416869943030926,-1.155923620018366,1.5363002166167388,0.24192036066343367,-0.10934741363526329,-0.15087542263672316,0.32889016780851377,-0.348549497529422,-0.31732718010714395,-0.7462924445641196,0,1,1,1,1,0,0,0
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\3019454163_20260528_183136.csv,-0.597972465441046,-0.9750840032936425,0.413404950460906,-1.0274810331777684,0.036689019090386105,0.3995506779493796,0.1818492358384288,-0.44536515622264833,-0.9798483730653819,-0.9079860852002645,0.12879449339087193,-0.7335296491667335,1.1080122762793494,-1.1429485580379166,0.9452552002872794,-1.115308294562557,1.4575758810316841,1.2940933274235031,-0.5128933904637795,0.7144441521725663,-0.31347748188107516,0.9959114800104472,0.6505872593959257,-1.1536515200823485,1.0709251555270105,-1.3199573065772503,-1.0046474421719842,-1.2312795723001526,1.4321459149419704,-0.8165955509912985,-0.5753734370233416,-1.6217760103254948,0.3756677709599091,0.29009151834536134,-0.4027878213047313,-0.5829855050935949,0,0,0,1,0,0,0,0
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\3358867399_20260528_183136.csv,-0.597972465441046,-0.9750840032936425,0.413404950460906,-1.0274810331777684,0.036689019090386105,0.3995506779493796,0.1818492358384288,-0.44536515622264833,-0.9798483730653819,-0.9079860852002645,0.8857906994433439,-1.2072030062735208,1.1080122762793494,-1.1429485580379166,0.7293275140400215,-1.3985673136097272,1.4575758810316841,1.2940933274235031,-0.5327233394136419,0.5559034981112083,-0.31347748188107516,0.9959114800104472,0.48168178570992476,-1.2384838037342767,0.8211762336361973,-0.7242896790932226,-1.1924161504673352,-0.9880453206296451,1.298164591187766,0.7811136249281267,-0.29626872438000895,-0.5840019089997558,0.3315152513572062,0.0025350703454422,-0.36114431403425135,-0.5200506100863783,1,0,1,1,0,0,0,0
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\1417593125_20260528_183136.csv,-0.597972465441046,-0.9750840032936425,0.413404950460906,-1.0274810331777684,0.036689019090386105,0.3995506779493796,0.1818492358384288,-0.44536515622264833,-0.9798483730653819,-0.9079860852002645,-0.438952661148482,-1.4128734795803,1.1080122762793494,-1.1429485580379166,1.155981170380902,-0.8019360133417498,1.4575758810316841,1.2940933274235031,-0.5453423978362817,0.4591683303167971,-0.31347748188107516,0.26036671991012744,0.38094883365731114,-0.7615713835534618,0.8019173174467137,-1.0268768649286324,-1.1597117356492659,-1.192403812132014,1.5347060472695395,1.4989499911637225,0.014165917930965808,-0.7450892802000825,0.17388661712944867,0.33872695273433145,-0.11646703218593302,-0.5450952963555562,0,1,0,1,0,0,0,0
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\323501216_20260528_183137.csv,-0.597972465441046,-0.9750840032936425,0.413404950460906,-1.0274810331777684,0.036689019090386105,0.3995506779493796,0.1818492358384288,-0.44536515622264833,-0.9798483730653819,-0.9079860852002645,-0.06045455812224606,-1.4005975406263882,1.1080122762793494,-1.1429485580379166,1.0096414637950912,-1.0233035615554968,1.4575758810316841,1.2940933274235031,-0.6501776524243659,0.3437844617073972,-0.31347748188107516,0.25544234934415366,0.26302050937753946,-0.8306484115800676,1.0558587665251657,-1.044612917644177,-0.7008981018799973,-1.1555264283908917,0.6951772973866541,1.2633787201913032,-0.4010757791501693,-0.6491803074736376,0.29743116389087676,0.372987210527795,-0.266611966729538,-0.6939646425981754,0,0,0,1,0,0,0,0
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\1491135366_20260528_183137.csv,-0.597972465441046,-0.9750840032936425,0.413404950460906,-1.0274810331777684,0.036689019090386105,0.3995506779493796,0.1818492358384288,-0.44536515622264833,-0.9798483730653819,-0.9079860852002645,0.8857906994433439,-1.0648457012982415,1.1080122762793494,-1.1429485580379166,0.7293275140400215,-1.3985673136097272,1.4575758810316841,1.2940933274235031,-0.5327233394136419,0.595281723635469,-0.31347748188107516,0.9935266117095741,0.5231869266009627,-1.2601002419666827,0.8757781086924127,-1.2633967338905496,-1.2672826161977244,-1.3907452497460553,1.1895730302695375,1.1732660507485912,-0.24687165882781525,-0.5995183398185808,0.3057969635319903,0.1316930273581014,-0.3715767710313263,-0.9997865783219584,0,0,0,1,0,0,0,0
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\633354518_20260528_183137.csv,-0.597972465441046,-0.9750840032936425,0.413404950460906,-1.0274810331777684,0.036689019090386105,0.3995506779493796,0.1818492358384288,-0.44536515622264833,-0.9798483730653819,-0.9079860852002645,0.3180435449039899,-1.0951685351528937,1.1080122762793494,-1.1429485580379166,0.8856057663602231,-1.1974892342267403,1.4575758810316841,1.2940933274235031,-0.5604852679434495,0.785905343893739,-0.31347748188107516,0.9970129299191437,0.7283107810415199,-1.2439816173271239,1.100616801701432,-0.44538149881264905,-0.9400428656551794,-0.7851885651729177,1.255431696658414,1.047301643056543,-0.4567475168327296,-0.7450892802000825,0.475407281217879,1.1273663207932185,-0.45278188964069505,-0.09935499544563098,0,1,0,1,0,0,0,0
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\3657231526_20260528_183138.csv,-0.597972465441046,-0.9750840032936425,0.413404950460906,-1.0274810331777684,0.036689019090386105,0.3995506779493796,0.1818492358384288,-0.44536515622264833,-0.9798483730653819,1.1513483065504928,1.4535378539826977,-1.1688406576393133,-1.404730792749966,-1.1429485580379166,-1.7898320138786774,-1.5506962045431771,-0.9549709426969876,1.2941653566445661,-0.3939136967646047,0.45103492580034765,-0.748815271070309,0.9845444524225494,0.37255766983486865,-1.2826382690268212,-0.40972724493219115,-0.9632963249529394,-0.8591217137781938,-0.022239279408070654,2.0177472272212293,-3.3388916650932683,1.7959493538631066,0.7109072213505201,0.7111772931725163,-0.1852010390048291,-0.7792844330137212,-1.0162676208455246,1,1,1,1,0,1,1,1
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\1047136087_20260528_183138.csv,-0.597972465441046,-0.9750840032936425,0.413404950460906,-1.0274810331777684,0.036689019090386105,0.3995506779493796,0.1818492358384288,-0.44536515622264833,-0.9798483730653819,-0.3506262461589531,1.4535378539826977,-1.1688406576393133,-0.30988145260928524,-1.1429485580379166,-0.665391299465553,-1.5506962045431771,0.21908910958543443,1.2963655523634592,-0.5128933904637795,0.5584530850022852,-0.4133162557500489,1.0050749762151163,0.48436024805821387,-1.3374137852749204,-0.17660583134903682,-0.5718473682046533,-1.1919153126854796,-1.1657362134017415,1.6117424382829981,2.438255908609386,1.0254129641374723,0.4765428594282325,0.5406268052429175,-0.27944022093348,-0.6118842010626884,-1.1937868735052413,0,0,0,1,0,0,0,0
Agaricus Lepiota,Data\Input\Subsets\Agaricus Lepiota\3195705393_20260528_183138.csv,-0.597972465441046,-0.9750840032936425,0.413404950460906,-1.0274810331777684,0.036689019090386105,0.3995506779493796,0.1818492358384288,-0.44536515622264833,-0.9798483730653819,-0.5119942616884842,1.4535378539826977,-1.1688406576393133,-0.08027381501651781,-1.1429485580379166,-0.44703146911570013,-1.5506962045431771,0.4377713187133728,1.2956042846447218,-0.6318730841629545,0.5818853728620115,-0.20166828960167707,0.9867608610770398,0.5090341891795114,-1.348827049266212,0.049652647630001885,-0.43803094569877377,-1.0677941995098479,-1.052465025809159,1.867937788684245,2.085331436515095,0.7432975286833766,0.34967320740543906,0.5346165369387721,0.501938260755968,-0.6161866719307548,-0.49596453332067836,0,1,0,1,0,0,0,0
