dataset_name,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,batch_size,learning_rate,number_of_epochs,number_of_hidden_layers,avg_number_of_neurons,min_number_of_neurons,max_number_of_neurons,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
Agaricus Lepiota,15.0,-1.2030245678201315,1.2587479556321848,-1.1198402096165492,1.0532118982851228,-1.0666182802646247,1.496632404422801,0.9306083650190116,0.3333333333333333,0.9242860776558496,0.24747076290103157,1.1377783191101423,0.9021893074537781,-1.2492222636324248,64.0,-0.9103164443527012,200.0,-1.0992341406372237,112.0,0.5911203880968273,176.0,0,0,0,1,0,0,0,0
Agaricus Lepiota,17.0,-1.3703305580750869,1.2587479556321848,-1.1198402096165492,0.9432462396254753,-1.2173020917493502,1.496632404422801,0.9306083650190116,0.2941176470588235,0.7424815355714389,-0.15533198615762792,1.1408324659045623,0.7041982203182117,-1.2365513316451653,64.0,-0.9103164443527012,200.0,-1.0992341406372237,112.0,0.5911203880968273,176.0,0,1,0,0,0,0,0,0
Agaricus Lepiota,12.0,-1.2460496391021871,1.2587479556321848,-1.1198402096165492,1.2511997490345919,-0.7736087824065353,1.496632404422801,0.9306083650190116,0.25,1.0719421552858932,-0.15533198615762792,1.1388656760749274,1.066278565737496,-1.1816160411868368,64.0,-0.9103164443527012,200.0,-1.0992341406372237,112.0,0.5911203880968273,176.0,0,0,0,1,0,0,0,0
Agaricus Lepiota,13.0,-1.1612289042273316,1.2587479556321848,-1.1198402096165492,1.1798941049380658,-0.8821619189937339,1.496632404422801,0.9306083650190116,0.2307692307692307,0.6151356392048676,-0.15533198615762792,1.1376093153272717,0.568268870657709,-0.9615425390781314,64.0,-0.9103164443527012,200.0,-1.0992341406372237,112.0,0.5911203880968273,176.0,0,0,0,1,0,0,0,0
Agaricus Lepiota,11.0,-1.1008681628944863,1.2587479556321848,-1.1198402096165492,1.3290779936427728,-0.6515318156739527,1.496632404422801,0.9306083650190116,0.1818181818181818,1.028159938866415,0.24747076290103157,1.139618749307208,1.017330110192936,-1.0921703059734336,64.0,-0.9103164443527012,200.0,-1.0992341406372237,112.0,0.5911203880968273,176.0,0,1,0,1,0,0,0,0
Agaricus Lepiota,17.0,-1.068540757871818,1.2587479556321848,-1.1198402096165492,0.9432462396254753,-1.2173020917493502,1.496632404422801,0.9306083650190116,0.2941176470588235,0.7622526431932007,0.24747076290103157,1.1374826109314153,0.7255064248047878,-1.2466087195990234,64.0,-0.9103164443527012,200.0,-1.0992341406372237,112.0,0.5911203880968273,176.0,0,0,0,1,0,0,0,0
Agaricus Lepiota,18.0,-1.1730439052123693,1.2587479556321848,-1.1198402096165492,0.8932871454052229,-1.2827143351113355,1.496632404422801,0.9306083650190116,0.3333333333333333,0.7761015178609919,0.24747076290103157,1.1368270271085064,0.7404646407458906,-1.2890992423284025,64.0,-0.9103164443527012,200.0,-1.0992341406372237,112.0,0.5911203880968273,176.0,0,1,0,1,0,0,0,0
Agaricus Lepiota,21.0,-1.275400035725271,-1.8710651884181853,-1.1198402096165492,-2.2360755181983114,-1.4483956083050882,-1.3733646523737315,0.925925925925926,0.2857142857142857,0.7035264837323516,-0.718357016874347,1.1561510646924127,0.662375365821141,-1.3457913513998947,64.0,-0.9103164443527012,200.0,-1.0992341406372237,112.0,0.5911203880968273,176.0,0,1,0,1,0,0,0,1
Agaricus Lepiota,21.0,-1.275400035725271,-0.2880179183932446,-1.1198402096165492,-0.6435580035365223,-1.4483956083050882,0.21284634807026656,0.9294117647058824,0.2857142857142857,0.6266558047011248,-0.25444274871551564,1.1262891152701997,0.5804717411602127,-1.3110295408404864,64.0,-0.9103164443527012,200.0,-1.0992341406372237,112.0,0.5911203880968273,176.0,0,0,0,1,0,0,0,0
Agaricus Lepiota,21.0,-1.275400035725271,0.07789493422213825,-1.1198402096165492,-0.29695566223378944,-1.4483956083050882,0.5363260905020881,0.9308016877637132,0.2857142857142857,0.6689249761399018,-0.46409274185338106,1.1413802629253738,0.6254055574380963,-1.330290122774594,64.0,-0.9103164443527012,200.0,-1.0992341406372237,112.0,0.5911203880968273,176.0,0,0,0,1,0,0,0,0
