dataset_name,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,batch_size,learning_rate,number_of_epochs,number_of_hidden_layers,avg_number_of_neurons,min_number_of_neurons,max_number_of_neurons,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
Agaricus Lepiota,0.21402336109506728,-1.2030245678201315,1.2587479556321843,-1.1198402096165514,1.0532118982851228,-1.0666182802646245,1.4966324044228012,1.0060660037487223,-0.27271757857470164,0.9242860776558497,0.24747076290103157,1.1377783191101423,0.902189307453401,-1.2492222636324248,-0.7538962689063176,-0.9103164443527014,0.44172610429938614,-1.0992341406372268,0.17282393211417388,0.5911203880968244,0.21978611786195845,0,0,0,1,0,0,0,0
Agaricus Lepiota,0.595300132642099,-1.3703305580750869,1.2587479556321843,-1.1198402096165514,0.9432462396254753,-1.21730209174935,1.4966324044228012,1.0060660037487223,-0.3755803214214401,0.742481535571439,-0.15533198615762792,1.1408324659045623,0.7041982203178344,-1.2365513316451653,-0.7538962689063176,-0.9103164443527014,0.44172610429938614,-1.0992341406372268,0.17282393211417388,0.5911203880968244,0.21978611786195845,0,1,0,0,0,0,0,0
Agaricus Lepiota,-0.35789179622548034,-1.2460496391021871,1.2587479556321843,-1.1198402096165514,1.2511997490345919,-0.7736087824065351,1.4966324044228012,1.0060660037487223,-0.49130090712402064,1.0719421552858934,-0.15533198615762792,1.1388656760749274,1.066278565737119,-1.1816160411868368,-0.7538962689063176,-0.9103164443527014,0.44172610429938614,-1.0992341406372268,0.17282393211417388,0.5911203880968244,0.21978611786195845,0,0,0,1,0,0,0,0
Agaricus Lepiota,-0.16725341045196446,-1.1612289042273316,1.2587479556321843,-1.1198402096165514,1.1798941049380658,-0.8821619189937336,1.4966324044228012,1.0060660037487223,-0.5417432137123251,0.6151356392048677,-0.15533198615762792,1.1376093153272717,0.5682688706573318,-0.9615425390781314,-0.7538962689063176,-0.9103164443527014,0.44172610429938614,-1.0992341406372268,0.17282393211417388,0.5911203880968244,0.21978611786195845,0,0,0,1,0,0,0,0
Agaricus Lepiota,-0.5485301819989962,-1.1008681628944863,1.2587479556321843,-1.1198402096165514,1.3290779936427728,-0.6515318156739525,1.4966324044228012,1.0060660037487223,-0.6701418123007363,1.0281599388664153,0.24747076290103157,1.139618749307208,1.017330110192559,-1.0921703059734336,-0.7538962689063176,-0.9103164443527014,0.44172610429938614,-1.0992341406372268,0.17282393211417388,0.5911203880968244,0.21978611786195845,0,1,0,1,0,0,0,0
Agaricus Lepiota,0.595300132642099,-1.068540757871818,1.2587479556321843,-1.1198402096165514,0.9432462396254753,-1.21730209174935,1.4966324044228012,1.0060660037487223,-0.3755803214214401,0.7622526431932009,0.24747076290103157,1.1374826109314153,0.7255064248044105,-1.2466087195990234,-0.7538962689063176,-0.9103164443527014,0.44172610429938614,-1.0992341406372268,0.17282393211417388,0.5911203880968244,0.21978611786195845,0,0,0,1,0,0,0,0
Agaricus Lepiota,0.7859385184156149,-1.1730439052123693,1.2587479556321843,-1.1198402096165514,0.8932871454052229,-1.2827143351113353,1.4966324044228012,1.0060660037487223,-0.27271757857470164,0.776101517860992,0.24747076290103157,1.1368270271085064,0.7404646407455133,-1.2890992423284025,-0.7538962689063176,-0.9103164443527014,0.44172610429938614,-1.0992341406372268,0.17282393211417388,0.5911203880968244,0.21978611786195845,0,1,0,1,0,0,0,0
Agaricus Lepiota,1.3578536757361626,-1.275400035725271,-1.8710651884181857,-1.1198402096165514,-2.2360755181983114,-1.448395608305088,-1.3733646523737313,0.9940622896416454,-0.3976223377457411,0.7035264837323517,-0.718357016874347,1.1561510646924127,0.6623753658207637,-1.3457913513998947,-0.7538962689063176,-0.9103164443527014,0.44172610429938614,-1.0992341406372268,0.17282393211417388,0.5911203880968244,0.21978611786195845,0,1,0,1,0,0,0,1
Agaricus Lepiota,1.3578536757361626,-1.275400035725271,-0.2880179183932449,-1.1198402096165514,-0.6435580035365223,-1.448395608305088,0.21284634807026684,1.0029984469105668,-0.3976223377457411,0.6266558047011249,-0.25444274871551564,1.1262891152701997,0.5804717411598355,-1.3110295408404864,-0.7538962689063176,-0.9103164443527014,0.44172610429938614,-1.0992341406372268,0.17282393211417388,0.5911203880968244,0.21978611786195845,0,0,0,1,0,0,0,0
Agaricus Lepiota,1.3578536757361626,-1.275400035725271,0.07789493422213792,-1.1198402096165514,-0.29695566223378944,-1.448395608305088,0.5363260905020883,1.006561598226656,-0.3976223377457411,0.6689249761399019,-0.46409274185338106,1.1413802629253738,0.6254055574377191,-1.330290122774594,-0.7538962689063176,-0.9103164443527014,0.44172610429938614,-1.0992341406372268,0.17282393211417388,0.5911203880968244,0.21978611786195845,0,0,0,1,0,0,0,0
