dataset_name,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
Agaricus Lepiota,0.21402336109506728,1.0,1.2587479556321843,-1.1198402096165514,1.0532118982851228,-1.0666182802646245,1.4966324044228012,1.0060660037487223,-0.27271757857470164,0.9242860776558497,0,1.1377783191101423,0.7628576251225794,-1.2492222636324248,0,0,0,1,0,0,0,0
Agaricus Lepiota,0.595300132642099,1.0,1.2587479556321843,-1.1198402096165514,0.9432462396254753,-1.21730209174935,1.4966324044228012,1.0060660037487223,-0.3755803214214401,0.742481535571439,0,1.1408324659045623,0.6338892756767636,-1.2365513316451653,0,1,0,0,0,0,0,0
Agaricus Lepiota,-0.35789179622548034,1.0,1.2587479556321843,-1.1198402096165514,1.2511997490345919,-0.7736087824065351,1.4966324044228012,1.0060660037487223,-0.49130090712402064,1.0719421552858934,0,1.1388656760749274,0.8722265260420847,-1.1816160411868368,0,0,0,1,0,0,0,0
Agaricus Lepiota,-0.16725341045196446,1.0,1.2587479556321843,-1.1198402096165514,1.1798941049380658,-0.8821619189937336,1.4966324044228012,1.0060660037487223,-0.5417432137123251,0.6151356392048677,0,1.1376093153272717,0.5456462809074707,-0.9615425390781314,0,0,0,1,0,0,0,0
Agaricus Lepiota,-0.5485301819989962,1.0,1.2587479556321843,-1.1198402096165514,1.3290779936427728,-0.6515318156739525,1.4966324044228012,1.0060660037487223,-0.6701418123007363,1.0281599388664153,0,1.139618749307208,0.8392211015548959,-1.0921703059734336,0,1,0,1,0,0,0,0
Agaricus Lepiota,0.595300132642099,1.0,1.2587479556321843,-1.1198402096165514,0.9432462396254753,-1.21730209174935,1.4966324044228012,1.0060660037487223,-0.3755803214214401,0.7622526431932009,0,1.1374826109314153,0.6477062730136504,-1.2466087195990234,0,0,0,1,0,0,0,0
Agaricus Lepiota,0.7859385184156149,1.0,1.2587479556321843,-1.1198402096165514,0.8932871454052229,-1.2827143351113353,1.4966324044228012,1.0060660037487223,-0.27271757857470164,0.776101517860992,0,1.1368270271085064,0.6574089333820158,-1.2890992423284025,0,1,0,1,0,0,0,0
Agaricus Lepiota,1.3578536757361626,1.0,-1.8710651884181857,-1.1198402096165514,-2.2360755181983114,-1.448395608305088,-1.3733646523737313,0.9940622896416454,-0.3976223377457411,0.7035264837323517,1,1.1561510646924127,0.6067725403893527,-1.3457913513998947,0,1,0,1,0,0,0,1
Agaricus Lepiota,1.3578536757361626,1.0,-0.2880179183932449,-1.1198402096165514,-0.6435580035365223,-1.448395608305088,0.21284634807026684,1.0029984469105668,-0.3976223377457411,0.6266558047011249,0,1.1262891152701997,0.5535886422230636,-1.3110295408404864,0,0,0,1,0,0,0,0
Agaricus Lepiota,1.3578536757361626,1.0,0.07789493422213792,-1.1198402096165514,-0.29695566223378944,-1.448395608305088,0.5363260905020883,1.006561598226656,-0.3976223377457411,0.6689249761399019,0,1.1413802629253738,0.5827873303082788,-1.330290122774594,0,0,0,1,0,0,0,0
Agaricus Lepiota,1.3578536757361626,1.0,0.4751945903628568,-1.1198402096165514,0.06874217259720408,-1.448395608305088,0.8727845225117203,1.0059689496733317,-0.5225270969167807,0.6906695921552354,0,1.1671273685059471,0.597850324922305,-1.340022700806157,0,0,0,1,0,0,0,0
Agaricus Lepiota,1.3578536757361626,1.0,0.6051988967794862,-1.1198402096165514,0.18607002949566429,-1.448395608305088,0.9797840960721867,1.005548131670797,-0.3976223377457411,0.6666883850321018,0,1.1380925356476634,0.5812397726389616,-1.3292885216617953,0,0,0,1,0,0,0,0
Agaricus Lepiota,1.3578536757361626,1.0,0.8655387704993077,-1.1198402096165514,0.4176795627896163,-1.448395608305088,1.189750428268226,1.0059053896366015,-0.3976223377457411,0.6728901347697518,0,1.137430216526038,0.5855317153185442,-1.33207777500817,0,0,0,1,0,0,0,0
Agaricus Lepiota,1.3578536757361626,1.0,0.9945144360909141,-1.1198402096165514,0.5308105940910464,-1.448395608305088,1.29172825538704,1.0066374225540018,-0.3976223377457411,0.6822111000871497,0,1.14433303658741,0.5919870776887545,-1.336249176974114,0,0,0,1,0,0,0,0
Agaricus Lepiota,1.3578536757361626,1.0,1.153027372465244,-1.1198402096165514,0.6684287418331482,-1.448395608305088,1.4152838657433804,1.005921221612763,-0.3976223377457411,0.6685926677969687,0,1.135206072166832,0.5825573772053809,-1.3301444428043103,0,0,0,1,0,0,0,0
Ann thyroid,0.21402336109506728,3.0,1.1279620764878064,-0.18951373969539717,0.9384419690570833,-0.5133465114238882,1.0857444096234965,-1.31507818023899,1.3010823869803951,-0.7756056386896283,1,-0.01878397840760801,-0.5665551857906557,-0.615696585599962,0,0,0,0,1,0,0,0
Ann thyroid,0.40466174686858314,3.0,1.1279620764878064,-0.18951373969539717,0.8820617331261609,-0.607404657922067,1.0857444096234965,-1.31507818023899,1.3120115534078614,-0.8321587054276354,1,-0.03027732146134846,-0.6315370672471278,-0.6019094230838615,0,0,0,0,1,0,0,0
Ann thyroid,0.595300132642099,3.0,1.1279620764878064,-0.18951373969539717,0.8292889051393847,-0.6938744767724369,1.0857444096234965,-1.31507818023899,1.3216549355497427,-0.9945475569725655,1,-0.025596867517254613,-0.8413040353075839,-0.3938184283117907,0,0,0,0,1,0,0,0
Ann thyroid,0.595300132642099,3.0,1.1279620764878064,-0.18951373969539717,0.8292889051393847,-0.6938744767724369,1.0857444096234965,-1.31507818023899,1.3216549355497427,-1.107747197012851,1,-0.025596867517254613,-1.0157675183684578,-0.15318712983812383,1,0,0,0,0,1,1,0
Ann thyroid,0.40466174686858314,3.0,1.1279620764878064,-0.18951373969539717,0.8820617331261609,-0.607404657922067,1.0857444096234965,-1.31507818023899,1.3120115534078614,-0.9649168473326336,1,-0.01799967476023005,-0.7999838222148149,-0.38142155864992766,0,0,0,0,1,0,1,0
Ann thyroid,-0.16725341045196446,3.0,1.1279620764878064,-0.18951373969539717,1.0641921278498807,-0.29833305788601044,1.0857444096234965,-1.31507818023899,1.2741798234666335,-1.22085126267899,1,-0.796773896893454,-1.2260703469215921,0.40741740681202193,0,1,0,0,0,0,1,0
Ann thyroid,-0.35789179622548034,3.0,1.1279620764878064,-0.18951373969539717,1.1349748472491847,-0.17487291262591087,1.0857444096234965,-1.31507818023899,1.4759490498198504,-0.6387524417813044,1,-0.02561838431593576,-0.42201810078198587,-0.5621791575990844,0,0,0,0,1,1,1,0
Ann thyroid,1.3578536757361626,3.0,-1.2265551099923448,-0.18951373969539717,-1.5745410493006013,-0.9792700034380494,-0.9693875417638275,-1.3138721742356108,1.1012347723067322,-0.993295613279827,1,-0.027662940962065077,-0.8395261173184305,-0.6155439034008366,0,0,0,0,1,1,0,0
Ann thyroid,1.3578536757361626,3.0,-0.3029828343513625,-0.18951373969539717,-0.6579359614360262,-0.9792700034380494,-0.0957404086639659,-1.3145589297203273,1.1012347723067322,-0.9845540776880063,1,-0.024734879058766625,-0.82719250219693,-0.6372875394138379,1,0,0,0,0,0,0,0
Ann thyroid,1.3578536757361626,3.0,0.09537262100980885,-0.18951373969539717,-0.28063764977587485,-0.9792700034380494,0.25187584833504667,-1.3155154820026116,1.1012347723067322,-1.0014259366947278,1,-0.012740374996116141,-0.8511246333322442,-0.6109544215560176,1,0,1,0,1,1,1,0
Ann thyroid,1.3578536757361626,3.0,0.42348646459189965,-0.18951373969539717,0.021760335667103906,-0.9792700034380494,0.5267400798453881,-1.3149837927633845,1.1012347723067322,-0.9979214722700039,1,-0.025624790809346733,-0.846109999220815,-0.6165040071882641,0,0,0,0,1,0,0,0
