dataset_name,file_name,batch_size,learning_rate,number_of_epochs,number_of_hidden_layers,avg_number_of_neurons,min_number_of_neurons,max_number_of_neurons,total_number_of_neurons,depth_to_width_ratio,batch_size_to_dataset_ratio,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,avg_learning_slope,std_learning_slope,avg_validation_gap,std_validation_gap,avg_first_overfit_epoch,std_first_overfit_epoch,avg_first_stay_epoch,std_first_stay_epoch,avg_percentage_weights_near_zero,std_percentage_weights_near_zero,avg_avg_weights,std_avg_weights,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
Balance Scale,Data\Input\Subsets\Balance Scale\1287481636_20260528_183150.csv,-0.9734435483924005,1.4437260571454305,0.413404950460906,0.9056342913366092,0.8748919936938234,0.9305239984962852,0.8513850586980984,1.1270454518571411,-0.3709098660247929,0.025376107512153693,-1.763696021740308,-1.6712087176280084,-1.1570348135611073,0.3141391070725588,-0.3165025191659995,1.9010804092101048,-1.1582409330109884,1.4760247339853634,-1.2267715526588285,-0.9318917357560171,-0.748815271070309,-0.7685172872634043,-0.9039853326056718,1.851130839337058,2.209856893156473,1.039021909260384,-1.1595526679621735,0.28352754750199316,-1.4133294040098394,-0.8533545955826887,0.3198547538561766,1.4094678714303481,-0.5322611711555839,1.6193702694483636,0.7421583780340295,1.8395669201366778,0,0,0,1,0,0,0,0
Balance Scale,Data\Input\Subsets\Balance Scale\4164078283_20260528_183150.csv,-0.9734435483924005,1.4437260571454305,0.413404950460906,0.9056342913366092,0.8748919936938234,0.9305239984962852,0.8513850586980984,1.1270454518571411,-0.3709098660247929,0.2900042945193979,-1.763696021740308,-1.6712087176280084,-1.335388401852839,-0.2520510034961422,-0.5378034793693507,1.494811346342086,-1.1582409330109884,1.4760247339853634,-1.2267715526588285,-1.0475917012138962,-0.748815271070309,-0.9212536220656422,-0.9994028209249298,1.8498060159846599,2.265508658849453,1.4935098375947071,-1.0101088992047123,1.5183902193881662,-1.1519523064519102,-0.43351450277387793,0.28987951500179504,1.0922679313622752,-0.53033971749418,0.8202659574379724,0.7269016161697188,1.1283025640955233,0,0,0,1,1,1,0,0
Balance Scale,Data\Input\Subsets\Balance Scale\2433980817_20260528_183150.csv,-0.9734435483924005,1.4437260571454305,0.413404950460906,0.9056342913366092,0.8748919936938234,0.9305239984962852,0.8513850586980984,1.1270454518571411,-0.3709098660247929,0.2900042945193979,-1.763696021740308,-1.6712087176280084,-1.335388401852839,-0.2520510034961422,-0.5378034793693507,1.494811346342086,-1.1582409330109884,1.4760247339853634,-1.2267715526588285,-1.2325055405577456,-0.748815271070309,-1.1734995776913284,-1.148895101834728,2.0269934036956156,1.630584694135694,1.8593564908627696,0.3038226579204154,1.9767441447898693,-1.1018651104398691,-0.6265021991705454,0.22722065634310937,0.5082472723340498,-0.3481580668198618,1.2502945828360494,0.5289928501775502,1.4434291214526274,0,0,0,1,1,1,1,0
Balance Scale,Data\Input\Subsets\Balance Scale\2413724534_20260528_183150.csv,-0.9734435483924005,1.4437260571454305,0.413404950460906,0.9056342913366092,0.8748919936938234,0.9305239984962852,0.8513850586980984,1.1270454518571411,-0.3709098660247929,0.7124147292645282,-1.763696021740308,-1.6712087176280084,-1.572300165484299,-1.1429485580379166,-0.8414865049083475,0.8347680491037446,-1.1582409330109884,1.4760247339853634,-1.2267715526588285,-1.4103243020655105,-0.748815271070309,-1.4259054968800329,-1.289332447441773,2.1438670549671306,1.1414403029573432,1.7298390086596,1.4239364723649777,2.0769989594545937,-2.4219661677223896,-0.9719079722925058,-1.1770747011116611,-0.4386002423165901,-0.20895823581936118,0.9089258487949824,0.37251343270490733,0.8485135363608056,0,0,0,0,0,0,1,0
Balance Scale,Data\Input\Subsets\Balance Scale\2239044247_20260528_183150.csv,-0.9734435483924005,1.4437260571454305,0.413404950460906,0.9056342913366092,0.8748919936938234,0.9305239984962852,0.8513850586980984,1.1270454518571411,-0.3709098660247929,0.7124147292645282,-1.763696021740308,-1.6712087176280084,-1.572300165484299,-1.1429485580379166,-0.8414865049083475,0.8347680491037446,-1.1582409330109884,1.4760247339853634,-1.2267715526588285,-0.831213266348357,-0.748815271070309,-0.6386922371798353,-0.819726909155481,1.4350050371734169,1.4711085545539475,1.8855754582680109,-0.8208518066251588,1.9132044492560778,0.4413432675829566,1.978770664180251,1.1456188564060892,2.01522096141609,0.514938899309898,2.1035939592646895,-0.4550676530773605,1.5775964311036805,0,0,0,1,1,1,0,0
Balance Scale,Data\Input\Subsets\Balance Scale\1904675452_20260528_183150.csv,-0.9734435483924005,1.4437260571454305,0.413404950460906,0.9056342913366092,0.8748919936938234,0.9305239984962852,0.8513850586980984,1.1270454518571411,-0.3709098660247929,-0.15436538564379274,-1.952945073253426,-1.5869641496003488,-1.0125353657634968,0.7091713720772879,0.08821683871577589,2.440952127724998,-1.1582409330109884,1.4760247339853634,-1.2267715526588285,-0.8894954711859815,-0.748815271070309,-0.9112820436259462,-0.8686454387969678,1.9847524433990402,1.7460448581086936,1.606118991014135,-0.4236290548135753,1.7879968279045335,0.3139459583525746,1.9985338477343983,0.6646950915123799,1.2689847112993833,-0.29041427191227775,1.913990319154642,0.48496452966428455,1.8427722163820985,0,0,0,1,1,1,1,0
Balance Scale,Data\Input\Subsets\Balance Scale\1208072988_20260725_124750.csv,-0.9734435483924005,1.4437260571454305,0.413404950460906,0.9056342913366092,0.8748919936938234,0.9305239984962852,0.8513850586980984,1.1270454518571411,-0.3709098660247929,-0.15436538564379274,-2.142194124766544,-1.8096263482560162,-1.0125353657634968,0.7091713720772879,0.42015267000739864,2.7036469312887266,-1.1582409330109884,1.4760247339853634,-1.2267715526588285,-0.6133504494847691,-0.748815271070309,-0.9112820436259462,-0.6332905069615998,1.9847524433990402,1.9096835206759906,1.165669052500981,-1.0836901434613944,0.7459473420096777,-1.2397666340508016,-0.6929539428426531,0.45770450467044543,0.7985486987228527,-0.09254599631033789,1.9765688390921026,0.2723752368419464,1.775193089094868,0,0,0,1,1,1,0,0
Balance Scale,Data\Input\Subsets\Balance Scale\3766030213_20260528_183150.csv,-0.9734435483924005,1.4437260571454305,0.413404950460906,0.9056342913366092,0.8748919936938234,0.9305239984962852,0.8513850586980984,1.1270454518571411,-0.3709098660247929,-0.15436538564379274,-1.952945073253426,-1.5869641496003488,-1.0125353657634968,0.7091713720772879,0.08821683871577589,2.440952127724998,-1.1582409330109884,1.4760247339853634,-1.2267715526588285,-0.8894954711859815,-0.748815271070309,-0.9112820436259462,-0.8686454387969678,1.9847524433990402,1.7703781309445323,1.3164633439380844,-0.8800924636660179,1.4589080610742768,-2.0726169253694664,-1.5162726367402577,0.578382279466274,1.1815596378518423,-0.4196294363544653,1.8368429638385229,0.6226563646644862,1.816726209945711,0,0,0,1,1,1,0,0
Balance Scale,Data\Input\Subsets\Balance Scale\1471551627_20260528_183150.csv,-0.9734435483924005,1.4437260571454305,0.413404950460906,0.9056342913366092,0.8748919936938234,0.9305239984962852,0.8513850586980984,1.1270454518571411,-0.3709098660247929,1.6143470402414202,-1.763696021740308,-1.6712087176280084,-2.0359927628047387,0.7091713720772879,-1.4704223875506492,2.1670302897787526,-2.3550652832957755,1.3511768281125147,-1.2267715526588285,-0.17443888468938104,-0.748815271070309,-0.65500692678935,-0.2391057088053651,1.4623981756865143,1.7301746790280401,1.3217628076802528,-0.185483154131926,1.5994460543895148,-1.707732796492613,-1.2303779540379414,1.0254129641374723,1.7839527540312163,0.3876172871536847,1.381229163402651,-0.45544774081688866,0.33651507151586274,0,0,0,0,0,0,1,0
Balance Scale,Data\Input\Subsets\Balance Scale\613540668_20260528_183150.csv,-0.9734435483924005,1.4437260571454305,0.413404950460906,0.9056342913366092,0.8748919936938234,0.9305239984962852,0.8513850586980984,1.1270454518571411,-0.3709098660247929,0.8927654212738838,-1.763696021740308,-1.6712087176280084,-1.6640083212779742,0.7091713720772879,-0.9621670427254121,2.1670302897787526,-1.8914932338517378,1.4150525008846695,-1.2267715526588285,-0.6969983016223852,0.5367773482408164,-0.862566542149226,-0.7055538104858847,1.759385359853263,2.2127952794441246,-0.35116184815137164,-0.6444818133733718,1.4302727385984193,-0.5301434331975681,-0.6356388916849964,0.25901551464663203,0.9467549605420443,-0.2356371307859395,0.31093000819729666,0.2862726724267728,0.2105930618980109,0,0,0,0,0,0,1,0
Balance Scale,Data\Input\Subsets\Balance Scale\4081336930_20260528_183150.csv,-0.9734435483924005,1.4437260571454305,0.413404950460906,0.9056342913366092,0.8748919936938234,0.9305239984962852,0.8513850586980984,1.1270454518571411,-0.3709098660247929,0.6251853866553725,-1.763696021740308,-1.6712087176280084,-1.5264775576118315,0.7091713720772879,-0.7818521253481713,2.1670302897787526,-1.728723751371174,1.428355533561185,-1.2267715526588285,-0.5679793612738844,0.21729588587780752,-0.8078876605777167,-0.5937285149957939,1.6831763558336406,2.0379092326062835,0.6824076231629754,-1.171179798646156,1.3334767404750987,-1.9221739143665013,-0.906479042406319,0.25901551464663203,1.3137885733177894,0.03372426637324152,1.8850366111611685,0.04126431476267604,1.5328358062978193,0,0,0,1,0,1,1,0
Balance Scale,Data\Input\Subsets\Balance Scale\4172805269_20260528_183150.csv,-0.9734435483924005,1.4437260571454305,0.413404950460906,0.9056342913366092,0.8748919936938234,0.9305239984962852,0.8513850586980984,1.1270454518571411,-0.3709098660247929,0.23723331530771452,-1.763696021740308,-1.6712087176280084,-1.3022772965104783,0.7091713720772879,-0.4962569410437661,2.1670302897787526,-1.4728136212898584,1.4432521586937406,-1.2267715526588285,-0.7949374181192044,-0.23224701687502708,-0.8972864774848457,-0.789079375934381,1.8196188782292557,2.029535504937246,0.11334121847696928,-0.4336301201874096,1.603530175881646,-1.0535833477286904,-1.1613913228320651,1.123187175696853,1.724495936978663,-0.6006359397003209,0.7120449077728948,0.7852429623179563,1.2871269944568646,0,0,0,0,0,0,1,0
Balance Scale,Data\Input\Subsets\Balance Scale\2530794180_20260528_183150.csv,-0.9734435483924005,1.4437260571454305,0.413404950460906,0.9056342913366092,0.8748919936938234,0.9305239984962852,0.8513850586980984,1.1270454518571411,-0.3709098660247929,0.20882069205448384,-1.763696021740308,-1.6712087176280084,-1.28400510361536,0.7091713720772879,-0.4734211642182758,2.1670302897787526,-1.4524525067458733,1.4440514897984142,-1.2267715526588285,-1.0310415749889865,-0.748815271070309,-0.9576184020385736,-0.9858445893010853,1.9781186507306292,2.1514192219037973,0.07636232700806253,-1.008969521334495,0.7457897552907109,-2.1369135502401186,-1.4282693324291211,0.3198547538561766,1.3678441088336972,-0.359270955471964,1.9362441799025503,0.5615040590608495,1.8710695393672068,0,0,0,1,0,1,0,0
Balance Scale,Data\Input\Subsets\Balance Scale\2990017953_20260528_183150.csv,-0.9734435483924005,1.4437260571454305,0.413404950460906,0.9056342913366092,0.8748919936938234,0.9305239984962852,0.8513850586980984,1.1270454518571411,-0.3709098660247929,-0.02535227116672368,-1.763696021740308,-1.6712087176280084,-1.1186209286186763,0.7091713720772879,-0.26962355501885327,2.1670302897787526,-1.2714038396861833,1.4515218739542437,-1.2267715526588285,-1.0536824508356037,-0.748815271070309,-0.9493421661846154,-1.0043849812785193,1.9947401509591034,1.5635914538077786,1.7252338045721336,-0.2144517986720355,1.735012196773832,0.33202428527916583,2.0000619865776765,0.5078412036843297,1.7859329421499965,-0.4429501275843872,2.2708172891722795,0.7274006645846979,1.9909828057126209,0,1,0,1,1,1,1,0
Balance Scale,Data\Input\Subsets\Balance Scale\1007268913_20260528_183150.csv,-0.9734435483924005,1.4437260571454305,0.413404950460906,0.9056342913366092,0.8748919936938234,0.9305239984962852,0.8513850586980984,1.1270454518571411,-0.3709098660247929,-0.07166996295248491,-1.763696021740308,-1.6712087176280084,-1.08202435498057,0.7091713720772879,-0.22521410089192923,2.1670302897787526,-1.2321098131916723,1.4528229107700552,-1.2267715526588285,-1.0262749927696617,-0.6730832120347541,-0.9203631786043762,-0.9819341441397057,1.974661818337632,1.5577661797619253,1.6624603318823086,0.11245019204208165,1.9378553902969682,-1.0378717955354344,-0.6511867222246752,-0.19932187600101103,0.6593392066941312,-0.8330108361446458,0.3488373128943055,1.0291152144389424,0.9736464717780859,0,1,0,1,0,1,0,0
Balance Scale,,-0.9734435483924005,1.4437260571454305,0.413404950460906,0.9056342913366092,0.8748919936938234,0.9305239984962852,0.8513850586980984,1.1270454518571411,-0.3709098660247929,-0.15436538564379274,-1.763696021740308,-1.6712087176280084,-1.0125353657634968,0.7091713720772879,-0.1415554346824058,2.1670302897787526,-1.1582409330109884,1.4760247339853634,-1.2267715526588285,-1.0401262409238414,-0.748815271070309,-0.9112820436259462,-0.9932906521503085,1.9847524433990402,2.21581198223835,0.3452153441112828,-1.406033526302784,0.3407852262584528,-0.7834859633140658,-0.5495142756660522,0.5319519315604139,1.675850434780619,-0.2837181246843737,1.8409291653296072,0.44305363698110933,1.8313555354194726,0,0,0,1,0,1,0,0
Led7,Data\Input\Subsets\Led7\4141790047_20260528_183218.csv,1.6548540322670808,2.0128591343771247,-1.2608850989057638,-1.0274810331777684,-1.0301147667685342,-1.1338159185034877,-0.9340438022610206,-1.1859122614172144,0.25519631018649475,2.075574907387831,-1.195948867200954,0.809306288387139,-1.4697515633400806,1.5595559105257657,-1.1175755814483146,2.1972974215773813,-2.0507742795576007,0.8037667792854071,-1.2267715526588285,-0.2722332688477618,1.396792511763069,-0.8128151829477143,-0.3292266105310218,1.373358242732687,-1.2140389703595775,0.5343741597665441,1.8020734103999143,1.4649172072364307,0.24768142323372527,-0.4323143292389996,1.2662011404597084,0.9467549605420443,-1.6523197267383092,-1.2452184968139326,1.5104134828238236,0.36757606888279326,0,0,1,0,1,0,1,0
