dataset_name,batch_size,learning_rate,number_of_epochs,number_of_hidden_layers,avg_number_of_neurons,min_number_of_neurons,max_number_of_neurons,total_number_of_neurons,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
Agaricus Lepiota,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8237288594908642,0.1214845609782237,0.40137838130214115,0.22140598013417723,-0.2678720054210635,0,0,0,1,0,0,0,0
Agaricus Lepiota,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8237288594908642,0.1214845609782237,0.40137838130214115,0.22140598013417723,-0.2678720054210635,0,0,0,1,0,0,0,0
Agaricus Lepiota,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8237288594908642,0.1214845609782237,0.40137838130214115,0.22140598013417723,-0.2678720054210635,0,0,0,1,0,0,0,0
Agaricus Lepiota,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8237288594908642,0.1214845609782237,0.40137838130214115,0.22140598013417723,-0.2678720054210635,0,0,0,1,0,0,0,0
Agaricus Lepiota,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8237288594908642,0.1214845609782237,0.40137838130214115,0.22140598013417723,-0.2678720054210635,0,1,0,1,0,0,0,0
Agaricus Lepiota,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8237288594908642,0.1214845609782237,0.40137838130214115,0.22140598013417723,-0.2678720054210635,0,0,0,1,0,0,0,0
Agaricus Lepiota,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8237288594908642,0.1214845609782237,0.40137838130214115,0.22140598013417723,-0.2678720054210635,0,0,0,1,0,0,0,0
Agaricus Lepiota,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8237288594908642,0.1214845609782237,0.40137838130214115,0.22140598013417723,-0.2678720054210635,0,1,0,1,0,0,1,1
Agaricus Lepiota,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8237288594908642,0.1214845609782237,0.40137838130214115,0.22140598013417723,-0.2678720054210635,0,0,0,1,0,0,0,0
Agaricus Lepiota,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8237288594908642,0.1214845609782237,0.40137838130214115,0.22140598013417723,-0.2678720054210635,0,0,0,1,0,0,0,0
Agaricus Lepiota,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8237288594908642,0.1214845609782237,0.40137838130214115,0.22140598013417723,-0.2678720054210635,0,0,0,1,0,0,0,0
Agaricus Lepiota,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8237288594908642,0.1214845609782237,0.40137838130214115,0.22140598013417723,-0.2678720054210635,0,0,0,1,0,0,0,0
Agaricus Lepiota,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8237288594908642,0.1214845609782237,0.40137838130214115,0.22140598013417723,-0.2678720054210635,0,0,0,1,0,0,0,0
Agaricus Lepiota,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8237288594908642,0.1214845609782237,0.40137838130214115,0.22140598013417723,-0.2678720054210635,0,0,0,1,0,0,0,0
Agaricus Lepiota,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8237288594908642,0.1214845609782237,0.40137838130214115,0.22140598013417723,-0.2678720054210635,0,0,0,1,0,0,0,0
Ann thyroid,0.3632520026761046,0.14189075536757312,-0.420084025208403,-0.8237288594908642,-0.4809182207319778,-1.0724950835633111,-0.20712172335132714,-0.6522537363226583,0,0,0,0,1,0,0,0
Ann thyroid,0.3632520026761046,0.14189075536757312,-0.420084025208403,-0.8237288594908642,-0.4809182207319778,-1.0724950835633111,-0.20712172335132714,-0.6522537363226583,0,0,0,0,1,0,0,0
Ann thyroid,0.3632520026761046,0.14189075536757312,-0.420084025208403,-0.8237288594908642,-0.4809182207319778,-1.0724950835633111,-0.20712172335132714,-0.6522537363226583,0,0,0,0,1,0,0,0
Ann thyroid,0.3632520026761046,0.14189075536757312,-0.420084025208403,-0.8237288594908642,-0.4809182207319778,-1.0724950835633111,-0.20712172335132714,-0.6522537363226583,1,0,0,0,1,1,1,0
Ann thyroid,0.3632520026761046,0.14189075536757312,-0.420084025208403,-0.8237288594908642,-0.4809182207319778,-1.0724950835633111,-0.20712172335132714,-0.6522537363226583,0,0,0,0,1,0,0,0
Ann thyroid,0.3632520026761046,0.14189075536757312,-0.420084025208403,-0.8237288594908642,-0.4809182207319778,-1.0724950835633111,-0.20712172335132714,-0.6522537363226583,0,0,0,0,0,0,1,0
Ann thyroid,0.3632520026761046,0.14189075536757312,-0.420084025208403,-0.8237288594908642,-0.4809182207319778,-1.0724950835633111,-0.20712172335132714,-0.6522537363226583,0,0,0,0,1,0,1,0
Ann thyroid,0.3632520026761046,0.14189075536757312,-0.420084025208403,-0.8237288594908642,-0.4809182207319778,-1.0724950835633111,-0.20712172335132714,-0.6522537363226583,0,0,0,0,1,0,0,0
Ann thyroid,0.3632520026761046,0.14189075536757312,-0.420084025208403,-0.8237288594908642,-0.4809182207319778,-1.0724950835633111,-0.20712172335132714,-0.6522537363226583,1,0,0,0,1,1,1,0
Ann thyroid,0.3632520026761046,0.14189075536757312,-0.420084025208403,-0.8237288594908642,-0.4809182207319778,-1.0724950835633111,-0.20712172335132714,-0.6522537363226583,1,0,0,0,1,0,1,0
Ann thyroid,0.3632520026761046,0.14189075536757312,-0.420084025208403,-0.8237288594908642,-0.4809182207319778,-1.0724950835633111,-0.20712172335132714,-0.6522537363226583,0,0,0,0,1,0,0,0
Ann thyroid,0.3632520026761046,0.14189075536757312,-0.420084025208403,-0.8237288594908642,-0.4809182207319778,-1.0724950835633111,-0.20712172335132714,-0.6522537363226583,0,0,0,0,1,1,0,0
Ann thyroid,0.3632520026761046,0.14189075536757312,-0.420084025208403,-0.8237288594908642,-0.4809182207319778,-1.0724950835633111,-0.20712172335132714,-0.6522537363226583,0,0,0,0,1,0,0,0
