dataset_name,seed,subset_type,file_name,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features
Agaricus Lepiota,3343457092,features,Data\Input\Subsets\Agaricus Lepiota\3343457092_20260528_183135.csv,16,0.5,8124,2,507.75,0.125,4062.0,0.9306083650190116,0.25,0.1528549021506032,0.0098184487013197,0.6296933985296416,1.16515590506087,-0.7168470367314422
Agaricus Lepiota,3019454163,features,Data\Input\Subsets\Agaricus Lepiota\3019454163_20260528_183136.csv,14,0.7142857142857143,8124,2,580.2857142857143,0.1428571428571428,4062.0,0.9306083650190116,0.2857142857142857,0.1646663748194309,0.0052102297135727,0.6289489142322715,1.1789997090985245,-0.6996085931480374
Agaricus Lepiota,3358867399,features,Data\Input\Subsets\Agaricus Lepiota\3358867399_20260528_183136.csv,18,0.5555555555555556,8124,2,451.3333333333333,0.1111111111111111,4062.0,0.9306083650190116,0.2777777777777778,0.1444403952523063,0.0052102297135727,0.6289489142322715,1.1553928260134334,-0.7336459579840108
Agaricus Lepiota,1417593125,features,Data\Input\Subsets\Agaricus Lepiota\1417593125_20260528_183136.csv,11,0.4545454545454545,8124,2,738.5454545454545,0.1818181818181818,4062.0,0.9306083650190116,0.2727272727272727,0.1333269608890263,0.0052102297135727,0.3373516409562647,1.1426235304677108,-0.5278175947122828
Agaricus Lepiota,323501216,features,Data\Input\Subsets\Agaricus Lepiota\323501216_20260528_183137.csv,13,0.4615384615384615,8124,2,624.9230769230769,0.1538461538461538,4062.0,0.9306083650190116,0.2307692307692307,0.1210845907757381,0.0052102297135727,0.3359267731048483,1.1287203876623062,-0.5600652838784114
Agaricus Lepiota,1491135366,features,Data\Input\Subsets\Agaricus Lepiota\1491135366_20260528_183137.csv,18,0.6111111111111112,8124,2,451.3333333333333,0.1111111111111111,4062.0,0.9306083650190116,0.2777777777777778,0.1492145017189873,0.0052102297135727,0.6276405543939957,1.1609219822642176,-0.7421679350021021
Agaricus Lepiota,633354518,features,Data\Input\Subsets\Agaricus Lepiota\633354518_20260528_183137.csv,15,0.6,8124,2,541.6,0.1333333333333333,4062.0,0.9306083650190116,0.2666666666666666,0.1747542429693982,0.0052102297135727,0.6295543313187866,1.190953495450063,-0.7358190625729695
Agaricus Lepiota,3657231526,instances,Data\Input\Subsets\Agaricus Lepiota\3657231526_20260528_183138.csv,21,0.5714285714285714,334,2,15.904761904761903,0.0952380952380952,167.0,0.930635838150289,0.3333333333333333,0.1324296439512808,0.0,0.6227432569250541,1.1415986948902812,-0.7509902849913719
Agaricus Lepiota,1047136087,instances,Data\Input\Subsets\Agaricus Lepiota\1047136087_20260528_183138.csv,21,0.5714285714285714,1663,2,79.19047619047619,0.0952380952380952,831.5,0.9314750290360048,0.2857142857142857,0.1447449003215686,0.0039340153920043,0.6340079929095095,1.1557447025573204,-0.7721713623489398
Agaricus Lepiota,3195705393,instances,Data\Input\Subsets\Agaricus Lepiota\3195705393_20260528_183138.csv,21,0.5714285714285714,2217,2,105.57142857142856,0.0952380952380952,1108.5,0.931184668989547,0.238095238095238,0.1475731114132946,0.0067059180392142,0.6239472591682115,1.1590180191776054,-0.7765394425875455
Agaricus Lepiota,102350252,instances,Data\Input\Subsets\Agaricus Lepiota\102350252_20260528_183138.csv,21,0.5714285714285714,3426,2,163.14285714285714,0.0952380952380952,1713.0,0.9301408450704224,0.2857142857142857,0.1404038280367449,0.005471945218125,0.631458992902957,1.1507384054714134,-0.7651359513527624
