model type,technique,training loses,testing loses,model path,training accuracies,training f1,training true positives,training true negatives,training false positives,training false negatives,testing accuracies,testing f1,testing true positives,testing true negatives,testing false positives,testing false negatives
Decision tree,baseline,"[0.16913946587537093, 0.14836795252225518, 0.1543026706231454, 0.16023738872403562, 0.1661721068249258, 0.1893491124260355, 0.15680473372781065, 0.14792899408284024, 0.14201183431952663, 0.15976331360946747]",0.15555555555555556,Models\DecisionTrees\20260419_Apr\baseline.pkl,"[83.08605341246292, 85.16320474777447, 84.56973293768546, 83.97626112759644, 83.38278931750742, 81.06508875739645, 84.31952662721893, 85.20710059171599, 85.79881656804734, 84.02366863905326]","[0.6369426751592357, 0.7222222222222222, 0.6842105263157895, 0.6930693069306932, 0.6701030927835051, 0.0, 0.680628272251309, 0.6547619047619049, 0.7692307692307693, 0.6770833333333334]",14.0,302.0,1.0,58.0,84.44444444444444,0.0,0.0,114.0,3.0,18.0
Decision tree,batch normalisation,"[0.142433234421365, 0.13056379821958458, 0.13353115727002968, 0.13353115727002968, 0.142433234421365, 0.1390532544378698, 0.15680473372781065, 0.13313609467455623, 0.13609467455621302, 0.1390532544378698]",0.3037037037037037,Models\DecisionTrees\20260419_Apr\batch_normalisation.pkl,"[85.7566765578635, 82.49258160237389, 82.7893175074184, 86.64688427299704, 85.7566765578635, 86.09467455621301, 84.31952662721893, 86.68639053254438, 86.3905325443787, 86.09467455621301]","[0.752895752895753, 0.7727272727272728, 0.7692307692307692, 0.7398568019093078, 0.7462686567164178, 0.7816091954022989, 0.668693009118541, 0.7173601147776184, 0.7500000000000001, 0.7543520309477757]",49.0,260.0,34.0,32.0,69.62962962962963,0.3401360544217687,5.0,89.0,7.0,34.0
Decision tree,dropout,"[0.13056379821958458, 0.12166172106824925, 0.12759643916913946, 0.13056379821958458, 0.12462908011869436, 0.11242603550295859, 0.1242603550295858, 0.12130177514792899, 0.11242603550295859, 0.12130177514792899]",0.15555555555555556,Models\DecisionTrees\20260419_Apr\dropout.pkl,"[86.94362017804154, 87.83382789317507, 87.24035608308606, 86.94362017804154, 87.53709198813057, 88.75739644970415, 87.57396449704143, 87.86982248520711, 88.75739644970415, 87.86982248520711]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,329.0,0.0,46.0,84.44444444444444,0.0,0.0,114.0,0.0,21.0
Decision tree,layer normalisation,"[0.18100890207715134, 0.18100890207715134, 0.17507418397626112, 0.18694362017804153, 0.17507418397626112, 0.17455621301775148, 0.17751479289940827, 0.1804733727810651, 0.1804733727810651, 0.16863905325443787]",0.35555555555555557,Models\DecisionTrees\20260419_Apr\layer_normalisation.pkl,"[81.89910979228486, 81.89910979228486, 82.49258160237389, 81.30563798219585, 82.49258160237389, 82.54437869822485, 82.24852071005917, 81.95266272189349, 81.95266272189349, 83.13609467455622]","[0.7058823529411765, 0.7492795389048992, 0.7814407814407814, 0.7149404216315307, 0.7787391841779976, 0.7916181606519209, 0.7710280373831776, 0.7426246185147507, 0.7451701931922724, 0.7810650887573966]",71.0,239.0,14.0,51.0,64.44444444444444,0.11450381679389314,3.0,84.0,23.0,25.0
Decision tree,prune,"[0.23738872403560832, 0.2433234421364985, 0.2314540059347181, 0.258160237388724, 0.24925816023738873, 0.2485207100591716, 0.25443786982248523, 0.2514792899408284, 0.23372781065088757, 0.23668639053254437]",0.562962962962963,Models\DecisionTrees\20260419_Apr\prune.pkl,"[76.26112759643917, 75.66765578635015, 69.43620178041543, 74.1839762611276, 75.07418397626114, 75.14792899408283, 67.15976331360946, 67.75147928994083, 76.62721893491124, 76.33136094674556]","[0.6264236902050114, 0.615079365079365, 0.6547619047619049, 0.6262230919765166, 0.5913978494623656, 0.62015503875969, 0.5797101449275363, 0.6286836935166994, 0.6315789473684211, 0.6097560975609757]",56.0,218.0,45.0,56.0,43.7037037037037,0.043478260869565216,1.0,58.0,18.0,58.0
Decision tree,weight normalisation,"[0.19584569732937684, 0.20771513353115728, 0.21364985163204747, 0.23738872403560832, 0.21068249258160238, 0.21301775147928995, 0.22485207100591717, 0.21893491124260356, 0.21893491124260356, 0.1804733727810651]",0.35555555555555557,Models\DecisionTrees\20260419_Apr\weight_normalisation.pkl,"[80.41543026706232, 77.44807121661721, 74.1839762611276, 76.26112759643917, 78.93175074183976, 78.69822485207101, 77.51479289940828, 78.10650887573965, 78.10650887573965, 81.95266272189349]","[0.7258064516129032, 0.7099391480730224, 0.7320099255583127, 0.7281553398058251, 0.7285546415981198, 0.7110609480812641, 0.7289002557544758, 0.7286995515695067, 0.7125307125307125, 0.7874015748031498]",65.0,223.0,25.0,62.0,64.44444444444444,0.2777777777777778,12.0,75.0,33.0,15.0
Decision tree,weight decay,"[0.18397626112759644, 0.18397626112759644, 0.20178041543026706, 0.17804154302670624, 0.18397626112759644, 0.17751479289940827, 0.1893491124260355, 0.19822485207100593, 0.1804733727810651, 0.20118343195266272]",0.45555555555555555,Models\DecisionTrees\20260419_Apr\weight_decay.pkl,"[81.60237388724035, 80.71216617210682, 77.44807121661721, 82.19584569732937, 81.60237388724035, 82.24852071005917, 81.06508875739645, 80.1775147928994, 81.95266272189349, 79.88165680473372]","[0.7157057654075547, 0.6906614785992218, 0.6707317073170733, 0.6907216494845361, 0.6779661016949152, 0.7170542635658915, 0.6737588652482269, 0.6834170854271356, 0.7058823529411765, 0.6947608200455582]",65.0,243.0,18.0,49.0,44.44444444444444,0.27681660899653976,8.0,70.0,19.0,38.0
Decision tree,weight perturbation,"[0.21364985163204747, 0.21068249258160238, 0.19287833827893175, 0.17210682492581603, 0.18100890207715134, 0.22485207100591717, 0.1893491124260355, 0.1863905325443787, 0.20118343195266272, 0.21301775147928995]",0.11851851851851852,Models\DecisionTrees\20260419_Apr\weight_perturbation.pkl,"[78.63501483679525, 72.70029673590504, 80.71216617210682, 82.7893175074184, 81.89910979228486, 77.51479289940828, 81.06508875739645, 81.36094674556213, 79.88165680473372, 72.7810650887574]","[0.4871794871794872, 0.0, 0.6060606060606061, 0.7211538461538463, 0.6629834254143647, 0.0, 0.6521739130434784, 0.6735751295336788, 0.6382978723404256, 0.0]",12.0,292.0,0.0,71.0,88.14814814814815,0.0,0.0,119.0,0.0,16.0
KNN,baseline,"[0.13649851632047477, 0.1261127596439169, 0.13946587537091987, 0.13798219584569732, 0.14985163204747776, 0.15088757396449703, 0.14201183431952663, 0.14201183431952663, 0.1375739644970414, 0.14940828402366862]",0.22592592592592592,Models\KNN\20260419_Apr\baseline.pkl,"[85.45994065281899, 86.94362017804154, 84.86646884272997, 85.7566765578635, 83.38278931750742, 84.91124260355029, 84.31952662721893, 85.50295857988166, 85.79881656804734, 84.02366863905326]","[0.738255033557047, 0.7608695652173915, 0.7142857142857143, 0.7380073800738007, 0.6965174129353235, 0.6990881458966566, 0.7357859531772576, 0.7232704402515723, 0.7307692307692307, 0.7453416149068323]",24.0,299.0,4.0,48.0,77.03703703703704,0.20202020202020202,4.0,101.0,16.0,14.0
KNN,batch normalisation,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.28888888888888886,Models\KNN\20260419_Apr\batch_normalisation.pkl,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[1.0000000000000002, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",81.0,294.0,0.0,0.0,71.11111111111111,0.0,0.0,96.0,0.0,39.0
