model type,technique,training loses,testing loses,model path,training accuracies,training f1,training true positives,training true negatives,training false positives,training false negatives,testing accuracies,testing f1,testing true positives,testing true negatives,testing false positives,testing false negatives
Decision tree,baseline,"[0.14814814814814814, 0.1388888888888889, 0.14506172839506173, 0.1388888888888889, 0.1419753086419753, 0.15123456790123457, 0.14506172839506173, 0.1388888888888889, 0.1419753086419753, 0.15432098765432098]",0.17777777777777778,Models\DecisionTrees\20260420_Apr\baseline.pkl,"[85.18518518518519, 86.11111111111111, 85.49382716049382, 86.11111111111111, 85.80246913580247, 84.87654320987654, 85.49382716049382, 86.11111111111111, 85.80246913580247, 84.5679012345679]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,308.0,0.0,52.0,82.22222222222221,0.0,0.0,111.0,0.0,24.0
Decision tree,batch normalisation,"[0.19753086419753085, 0.18209876543209877, 0.19135802469135801, 0.2222222222222222, 0.2037037037037037, 0.19444444444444445, 0.18209876543209877, 0.2006172839506173, 0.18518518518518517, 0.19135802469135801]",0.1037037037037037,Models\DecisionTrees\20260420_Apr\batch_normalisation.pkl,"[80.24691358024691, 81.79012345679013, 79.01234567901234, 77.77777777777779, 79.62962962962963, 80.55555555555556, 81.79012345679013, 79.93827160493827, 81.48148148148148, 80.8641975308642]","[0.3924050632911392, 0.5428226779252111, 0.5773672055427251, 0.5607476635514018, 0.2875, 0.4172099087353325, 0.5093167701863354, 0.39167686658506734, 0.6812933025404158, 0.573170731707317]",15.0,264.0,2.0,79.0,89.62962962962962,0.0,0.0,121.0,2.0,12.0
Decision tree,dropout,"[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.10185185185185185, 0.10802469135802469, 0.11728395061728394, 0.11728395061728394, 0.09567901234567901, 0.10802469135802469, 0.10493827160493827]",0.1925925925925926,Models\DecisionTrees\20260420_Apr\dropout.pkl,"[86.72839506172839, 88.88888888888889, 88.88888888888889, 89.81481481481481, 89.19753086419753, 86.72839506172839, 85.18518518518519, 90.4320987654321, 87.65432098765432, 87.65432098765432]","[0.2459016393442623, 0.41237113402061853, 0.21978021978021978, 0.20408163265306123, 0.22535211267605634, 0.0, 0.2702702702702703, 0.4297994269340974, 0.0, 0.3651685393258427]",11.0,308.0,10.0,31.0,80.74074074074075,0.08620689655172414,1.0,108.0,16.0,10.0
Decision tree,layer normalisation,"[0.1419753086419753, 0.1388888888888889, 0.14814814814814814, 0.1388888888888889, 0.15123456790123457, 0.13580246913580246, 0.14814814814814814, 0.1388888888888889, 0.14814814814814814, 0.15123456790123457]",0.362962962962963,Models\DecisionTrees\20260420_Apr\layer_normalisation.pkl,"[85.80246913580247, 86.11111111111111, 85.18518518518519, 86.11111111111111, 84.87654320987654, 86.41975308641975, 85.18518518518519, 86.11111111111111, 85.18518518518519, 84.87654320987654]","[0.6025641025641025, 0.6524466750313677, 0.4666666666666667, 0.6590621039290241, 0.43419267299864317, 0.6115107913669064, 0.4787234042553192, 0.5034013605442177, 0.4787234042553192, 0.4749679075738126]",56.0,254.0,17.0,33.0,63.70370370370371,0.046620046620046623,2.0,84.0,4.0,45.0
Decision tree,prune,"[0.22839506172839505, 0.20987654320987653, 0.21296296296296297, 0.21604938271604937, 0.20679012345679013, 0.21604938271604937, 0.22530864197530864, 0.23148148148148148, 0.22530864197530864, 0.22530864197530864]",0.28888888888888886,Models\DecisionTrees\20260420_Apr\prune.pkl,"[77.1604938271605, 79.01234567901234, 78.70370370370371, 78.39506172839506, 79.32098765432099, 78.39506172839506, 77.46913580246914, 72.53086419753086, 74.07407407407408, 77.46913580246914]","[0.4111111111111111, 0.6276150627615062, 0.3995560488346282, 0.5662393162393162, 0.5858170606372045, 0.5567010309278351, 0.5549949545913219, 0.4984423676012461, 0.4079382579933848, 0.42328042328042326]",66.0,224.0,28.0,42.0,71.11111111111111,0.2684563758389262,12.0,84.0,3.0,36.0
Decision tree,weight normalisation,"[0.19753086419753085, 0.20679012345679013, 0.2006172839506173, 0.21604938271604937, 0.18518518518518517, 0.2191358024691358, 0.19135802469135801, 0.18209876543209877, 0.22839506172839505, 0.17592592592592593]",0.3148148148148148,Models\DecisionTrees\20260420_Apr\weight_normalisation.pkl,"[78.39506172839506, 79.32098765432099, 78.39506172839506, 77.1604938271605, 80.8641975308642, 77.1604938271605, 78.39506172839506, 81.79012345679013, 77.1604938271605, 82.4074074074074]","[0.5844155844155844, 0.5302226935312832, 0.47729918509895225, 0.5616740088105727, 0.6866952789699571, 0.6564102564102564, 0.5274725274725275, 0.6610703043022036, 0.4772234273318872, 0.6871794871794872]",43.0,241.0,14.0,62.0,62.96296296296296,0.18292682926829268,6.0,93.0,7.0,29.0
Decision tree,weight decay,"[0.015432098765432098, 0.015432098765432098, 0.018518518518518517, 0.012345679012345678, 0.015432098765432098, 0.018518518518518517, 0.012345679012345678, 0.018518518518518517, 0.018518518518518517, 0.018518518518518517]",0.3333333333333333,Models\DecisionTrees\20260420_Apr\weight_decay.pkl,"[98.4567901234568, 98.4567901234568, 98.14814814814815, 98.76543209876543, 98.4567901234568, 98.14814814814815, 98.76543209876543, 97.53086419753086, 96.91358024691358, 97.53086419753086]","[0.9718172983479106, 0.9728718428437793, 0.9637404580152672, 0.9801980198019802, 0.9955156950672646, 0.9650735294117647, 0.966542750929368, 0.9477756286266924, 0.9630350194552529, 0.9467455621301775]",113.0,241.0,2.0,4.0,66.66666666666666,0.4235294117647059,18.0,72.0,20.0,25.0
Decision tree,weight perturbation,"[0.006172839506172839, 0.006172839506172839, 0.006172839506172839, 0.0030864197530864196, 0.006172839506172839, 0.006172839506172839, 0.0030864197530864196, 0.006172839506172839, 0.006172839506172839, 0.006172839506172839]",0.32592592592592595,Models\DecisionTrees\20260420_Apr\weight_perturbation.pkl,"[99.38271604938271, 99.38271604938271, 99.38271604938271, 99.38271604938271, 99.38271604938271, 99.38271604938271, 99.69135802469135, 99.38271604938271, 99.38271604938271, 99.38271604938271]","[0.9683098591549296, 0.9652509652509652, 0.9659090909090909, 0.9836065573770492, 0.9683098591549296, 0.9683098591549296, 0.9823182711198428, 0.963855421686747, 0.966542750929368, 0.966542750929368]",58.0,300.0,0.0,2.0,67.4074074074074,0.19083969465648856,5.0,86.0,23.0,21.0
KNN,baseline,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.25555555555555554,Models\KNN\20260420_Apr\baseline.pkl,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",52.0,308.0,0.0,0.0,68.14814814814815,0.2183406113537118,5.0,103.0,8.0,19.0
KNN,batch normalisation,"[0.012345679012345678, 0.010802469135802469, 0.012345679012345678, 0.009259259259259259, 0.013888888888888888, 0.009259259259259259, 0.012345679012345678, 0.012345679012345678, 0.009259259259259259, 0.012345679012345678]",0.3333333333333333,Models\KNN\20260420_Apr\batch_normalisation.pkl,"[98.76543209876543, 97.8395061728395, 98.76543209876543, 99.07407407407408, 97.22222222222221, 99.07407407407408, 97.53086419753086, 98.76543209876543, 99.07407407407408, 98.76543209876543]","[0.9953703703703703, 0.9558823529411765, 0.9955257270693513, 0.9963985594237695, 0.9461077844311377, 0.9966024915062288, 0.9553349875930521, 0.9953703703703703, 0.9964830011723329, 0.9951456310679612]",94.0,262.0,4.0,0.0,66.66666666666666,0.20408163265306123,3.0,87.0,36.0,9.0
