dataset_name,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
Agaricus Lepiota,0,2,0,15,0,0,1,1
Car evaluation,0,0,3,6,8,2,0,1
Churn,14,14,14,14,15,14,0,13
Dry Bean,2,7,2,5,6,6,3,3
Indian Engineering Student Placement,2,0,2,1,1,3,14,4
Led24,3,1,3,1,2,5,10,2
Led7,1,2,2,1,9,5,5,2
Magic,0,7,0,2,9,10,0,0
Mobile Price Classification,0,0,0,1,12,1,3,1
Mofn_3_7_10,1,0,0,1,1,13,0,2
Nursery,2,6,2,2,10,4,7,3
Online shopper,1,0,2,1,10,1,6,0
Parity5,2,3,1,3,7,3,7,3
Pendigits,0,2,1,15,1,0,0,0
Ring,6,0,1,0,7,9,10,6
Salaries 2023,0,14,2,0,4,2,1,1
Schizo,4,4,4,11,2,2,5,5
Segmentation,2,6,2,4,7,7,3,2
Smartphone battery,10,0,0,0,6,10,7,7
Twonorm,5,0,1,2,3,3,9,4
Vehicle,2,12,2,3,2,3,5,3
Vowel,0,0,1,11,2,6,1,1
White Wine Quality,3,3,3,11,3,4,5,3
Yeast,1,1,1,12,2,2,4,3
