column name,count,mean,std,min,25%,50%,75%,max,skewness
number_of_features,510.0,13.1686,5.247,3.0,9.0,12.5,18.0,24.0,0.1208
proportion_of_numeric_features,510.0,0.8253,0.2707,0.0,0.6887,1.0,1.0,1.0,-1.5973
number_of_instances,510.0,3487.2745,3789.8733,87.0,768.0,2086.0,5000.0,18905.0,1.776
number_of_classes,510.0,4.4588,2.759,2.0,2.0,3.0,7.0,11.0,0.9747
ratio_of_instances_to_features,510.0,323.7043,509.0973,5.3889,65.3619,166.4118,369.1429,3781.0,4.1163
ratio_of_classes_to_features,510.0,0.4258,0.4156,0.0833,0.1818,0.3,0.5,3.3333,3.3616
ratio_of_instances_to_classes,510.0,1158.1184,1655.3091,10.875,208.125,478.4,1546.6071,9452.5,2.7383
ratio_of_min_to_max_instances_per_class,510.0,0.4975,0.3876,0.0028,0.0884,0.5312,0.921,1.0,0.0552
proportion_of_features_with_outliers,510.0,0.4828,0.3929,0.0,0.0564,0.5,0.9048,1.0,0.0752
average_mutual_information,510.0,0.1367,0.1708,0.0028,0.0373,0.0781,0.1574,0.8442,2.3776
minimum_mutual_information,510.0,0.021,0.049,0.0,0.0,0.0,0.0154,0.2657,3.3658
maximum_mutual_information,510.0,0.3519,0.3317,0.0097,0.1059,0.2161,0.5821,1.2651,1.1702
equivalent_number_of_features,510.0,1.1658,0.2465,1.0028,1.038,1.0812,1.1704,2.326,2.8687
noise_to_signal_ratio_of_features,510.0,1.3935,4.4437,-0.9293,-0.5741,0.1705,1.1385,36.2394,4.4045
batch_size,510.0,112.0,83.2201,16.0,32.0,96.0,128.0,256.0,0.7166
learning_rate,510.0,0.0061,0.0091,0.0005,0.0005,0.0018,0.0068,0.035,1.8628
number_of_epochs,510.0,166.4706,69.1322,60.0,100.0,170.0,220.0,300.0,-0.0427
number_of_hidden_layers,510.0,3.1471,1.2411,2.0,2.0,3.0,4.0,6.0,0.6475
avg_number_of_neurons,510.0,111.0902,48.7748,16.0,80.0,112.0,144.0,240.0,0.3652
min_number_of_neurons,510.0,56.4706,51.4201,16.0,16.0,32.0,80.0,224.0,1.446
max_number_of_neurons,510.0,165.1765,70.4263,16.0,96.0,160.0,240.0,256.0,-0.2242
total_number_of_neurons,510.0,364.7059,226.189,32.0,176.0,320.0,480.0,864.0,0.6505
