column name,count,mean,std,min,25%,50%,75%,max,skewness
number_of_features,375.0,-0.0,1.0013,-1.8265,-0.8936,-0.1473,0.7856,2.0917,0.2672
proportion_of_numeric_features,375.0,0.0,1.0013,-1.7827,-1.2718,0.724,0.724,0.724,-0.7655
number_of_instances,375.0,-0.0,1.0013,-2.1593,-0.7448,0.0183,0.7583,2.1398,-0.0241
number_of_classes,375.0,0.0,1.0013,-1.0643,-1.0643,-0.1534,1.1738,1.6003,0.2674
ratio_of_instances_to_features,375.0,0.0,1.0013,-2.4523,-0.6797,0.0267,0.6713,2.7773,-0.0009
ratio_of_classes_to_features,375.0,0.0,1.0013,-1.5377,-0.8389,-0.1163,0.6953,2.1298,0.2776
ratio_of_instances_to_classes,375.0,-0.0,1.0013,-2.4824,-0.7938,-0.0438,0.853,2.1832,-0.0059
ratio_of_min_to_max_instances_per_class,375.0,0.0,1.0013,-1.481,-1.038,-0.0296,1.0498,1.2477,-0.0957
proportion_of_features_with_outliers,375.0,-0.0,1.0013,-1.1249,-1.0169,-0.332,1.1706,1.4123,0.3066
average_mutual_information,375.0,0.0,1.0013,-1.5983,-0.723,-0.0647,0.7281,2.0674,0.3877
minimum_mutual_information,375.0,0.0,1.0013,-0.694,-0.694,-0.694,0.3848,2.1495,1.1966
maximum_mutual_information,375.0,0.0,1.0013,-1.5393,-0.8166,-0.4189,1.0578,1.7282,0.3582
equivalent_number_of_features,375.0,-0.0,1.0013,-1.4808,-0.7325,-0.1196,0.6891,2.1312,0.559
noise_to_signal_ratio_of_features,375.0,0.0,1.0013,-1.7678,-0.9125,0.1125,0.6515,2.2755,0.1576
batch_size,375.0,-0.0,1.0013,-1.2656,-0.6648,0.1362,0.1362,1.7382,0.6433
learning_rate,375.0,-0.0,1.0013,-0.8923,-0.8923,-0.3787,0.8384,1.7697,0.6753
number_of_epochs,375.0,0.0,1.0013,-1.5266,-0.9484,0.2082,0.7865,1.6539,-0.1094
number_of_hidden_layers,375.0,0.0,1.0013,-0.9741,-0.9741,0.3232,0.9852,1.623,0.2645
avg_number_of_neurons,375.0,0.0,1.0013,-2.1593,-0.6062,-0.0088,0.708,2.2313,-0.0816
min_number_of_neurons,375.0,-0.0,1.0013,-1.294,-1.294,0.1453,0.7808,1.4808,0.0316
max_number_of_neurons,375.0,0.0,1.0013,-2.0866,-0.9526,-0.0454,1.0887,1.3155,-0.1653
total_number_of_neurons,375.0,0.0,1.0013,-2.1458,-0.7317,-0.062,0.8578,1.6426,-0.0629
