model type,technique,training loses,testing loses,training accuracies,testing accuracies
Decision tree,baseline,"[0.19333333333333333, 0.18666666666666668, 0.21, 0.20333333333333334, 0.2]","[0.13333333333333333, 0.16296296296296298, 0.14074074074074075, 0.13333333333333333, 0.15555555555555556]","[80.66666666666666, 81.33333333333333, 79.0, 79.66666666666666, 80.0]","[86.66666666666667, 83.7037037037037, 85.92592592592592, 86.66666666666667, 84.44444444444444]"
Decision tree,batch normalisation,"[0.16333333333333333, 0.15, 0.15333333333333332, 0.14666666666666667, 0.17666666666666667]","[0.4888888888888889, 0.31851851851851853, 0.45185185185185184, 0.4148148148148148, 0.3037037037037037]","[83.66666666666667, 85.0, 84.66666666666667, 85.33333333333334, 82.33333333333334]","[51.11111111111111, 68.14814814814815, 54.81481481481482, 58.51851851851851, 69.62962962962963]"
Decision tree,dropout,"[0.15666666666666668, 0.15, 0.14333333333333334, 0.16, 0.16333333333333333]","[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.21481481481481482, 0.2222222222222222]","[84.33333333333334, 85.0, 85.66666666666667, 84.0, 83.66666666666667]","[77.77777777777779, 77.77777777777779, 77.77777777777779, 78.51851851851852, 77.77777777777779]"
Decision tree,layer normalisation,"[0.18333333333333332, 0.20333333333333334, 0.18666666666666668, 0.18666666666666668, 0.18]","[0.6296296296296297, 0.6296296296296297, 0.6296296296296297, 0.6296296296296297, 0.6296296296296297]","[81.66666666666667, 79.66666666666666, 81.33333333333333, 81.33333333333333, 82.0]","[37.03703703703704, 37.03703703703704, 37.03703703703704, 37.03703703703704, 37.03703703703704]"
Decision tree,prune,"[0.1, 0.12666666666666668, 0.1, 0.13666666666666666, 0.11]","[0.32592592592592595, 0.37037037037037035, 0.42962962962962964, 0.5111111111111111, 0.34074074074074073]","[90.0, 87.33333333333333, 90.0, 86.33333333333333, 89.0]","[67.4074074074074, 62.96296296296296, 57.03703703703704, 48.888888888888886, 65.92592592592592]"
Decision tree,weight normalisation,"[0.21666666666666667, 0.22, 0.21, 0.23666666666666666, 0.22333333333333333]","[0.4666666666666667, 0.25925925925925924, 0.362962962962963, 0.25925925925925924, 0.35555555555555557]","[78.33333333333333, 78.0, 79.0, 76.33333333333333, 77.66666666666666]","[53.333333333333336, 74.07407407407408, 63.70370370370371, 74.07407407407408, 64.44444444444444]"
Decision tree,weight decay,"[0.21, 0.20666666666666667, 0.22333333333333333, 0.22333333333333333, 0.20666666666666667]","[0.2740740740740741, 0.5407407407407407, 0.4222222222222222, 0.32592592592592595, 0.5481481481481482]","[79.0, 79.33333333333333, 77.66666666666666, 77.66666666666666, 79.33333333333333]","[72.5925925925926, 45.925925925925924, 57.77777777777777, 67.4074074074074, 45.18518518518518]"
Decision tree,weight perturbation,"[0.25666666666666665, 0.24333333333333335, 0.25666666666666665, 0.25, 0.2733333333333333]","[0.15555555555555556, 0.15555555555555556, 0.15555555555555556, 0.15555555555555556, 0.15555555555555556]","[74.33333333333333, 75.66666666666667, 74.33333333333333, 75.0, 72.66666666666667]","[84.44444444444444, 84.44444444444444, 84.44444444444444, 84.44444444444444, 84.44444444444444]"
KNN,baseline,"[0.20666666666666667, 0.21333333333333335, 0.17666666666666667, 0.25333333333333335, 0.19666666666666666]","[0.1111111111111111, 0.13333333333333333, 0.14814814814814814, 0.14074074074074075, 0.1259259259259259]","[79.33333333333333, 78.66666666666666, 82.33333333333334, 74.66666666666667, 80.33333333333333]","[88.88888888888889, 86.66666666666667, 85.18518518518519, 85.92592592592592, 87.4074074074074]"
KNN,batch normalisation,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.31851851851851853, 0.3333333333333333, 0.37037037037037035, 0.37037037037037035, 0.32592592592592595]","[100.0, 100.0, 100.0, 100.0, 100.0]","[68.14814814814815, 66.66666666666666, 62.96296296296296, 62.96296296296296, 67.4074074074074]"
