column name,count,mean,std,min,25%,50%,75%,max,skewness
batch_size,135.0,0.4199,1.1364,-1.0786,-0.4923,0.2896,1.8532,1.8532,0.1037
learning_rate,135.0,0.1439,1.1159,-0.9343,-0.9343,0.3782,0.4257,1.9903,0.5053
number_of_epochs,135.0,0.4927,0.7279,-1.2569,0.6435,0.6435,0.915,1.1865,-1.4408
number_of_hidden_layers,135.0,0.4449,1.0473,-0.921,-0.921,0.4848,1.4843,1.6956,-0.3082
avg_number_of_neurons,135.0,-0.3421,0.9339,-1.7503,-0.7775,-0.6153,-0.1289,1.8978,1.1599
min_number_of_neurons,135.0,-0.7154,0.9897,-1.3419,-1.3419,-1.3419,-0.4461,1.3727,1.2189
max_number_of_neurons,135.0,-0.0512,1.0181,-1.7675,-0.3842,-0.3842,1.2296,1.2296,0.0065
total_number_of_neurons,135.0,0.1085,1.164,-1.7563,-0.8198,-0.0861,1.0,1.9436,0.1242
depth_to_width_ratio,135.0,0.5772,0.7764,-0.6243,-0.0991,0.5709,1.1916,1.589,-0.0785
batch_size_to_dataset_ratio,135.0,0.5939,1.0631,-0.9893,-0.6783,0.6649,1.6021,2.0931,-0.2499
number_of_features,135.0,-0.6245,0.6718,-1.5599,-1.0263,-0.6706,-0.3149,1.2857,1.3734
proportion_of_numeric_features,135.0,0.2688,1.0176,-1.7716,0.81,0.81,0.81,0.81,-1.3608
number_of_instances,135.0,-0.4438,0.7744,-1.9343,-0.9667,-0.5165,0.1144,1.0236,0.2399
number_of_classes,135.0,-0.6322,0.6422,-1.3216,-1.3216,-0.6124,-0.1026,0.6047,0.3301
ratio_of_instances_to_features,135.0,-0.2474,0.8213,-2.05,-0.8095,-0.1676,0.292,1.3751,-0.1415
ratio_of_classes_to_features,135.0,-0.1802,0.6096,-1.0975,-0.7004,-0.2985,0.161,1.3635,0.6214
ratio_of_instances_to_classes,135.0,-0.1267,0.6373,-1.5929,-0.4982,-0.0797,0.2538,1.0972,-0.0836
ratio_of_min_to_max_instances_per_class,135.0,-0.8248,0.8022,-1.5337,-1.4824,-1.1728,-0.7198,1.0476,1.2873
proportion_of_features_with_outliers,135.0,-0.102,1.2372,-1.3081,-1.3081,-0.7641,1.4119,1.4119,0.2167
average_mutual_information,135.0,-0.6972,0.61,-1.6141,-1.1368,-0.8895,-0.1192,0.7353,0.5547
minimum_mutual_information,135.0,-0.3707,0.6869,-0.7741,-0.7741,-0.7741,0.0395,1.7299,1.7084
maximum_mutual_information,135.0,-0.5346,0.9459,-1.7788,-1.2616,-0.84,-0.2847,1.5345,0.9341
equivalent_number_of_features,135.0,-0.6908,0.5544,-1.4755,-1.0912,-0.8823,-0.1825,0.696,0.6598
noise_to_signal_ratio_of_features,135.0,0.4109,0.8112,-1.361,-0.2253,0.5818,0.9544,2.2097,-0.0056
avg_learning_slope,135.0,0.5185,0.8232,-1.3254,0.0578,0.8545,1.1798,1.7019,-0.6548
std_learning_slope,135.0,-0.2377,1.0904,-1.8945,-1.1773,-0.4267,0.7653,2.2263,0.3615
avg_validation_gap,135.0,-0.1922,1.0459,-2.0922,-1.0767,-0.6094,0.6587,1.9493,0.6393
std_validation_gap,135.0,0.1961,1.1669,-1.5786,-0.8328,0.139,1.2274,2.1083,0.1338
avg_first_overfit_epoch,135.0,0.3948,1.1824,-3.8038,-0.3825,0.5328,1.2695,2.3445,-0.6285
std_first_overfit_epoch,135.0,0.3726,1.4426,-4.1653,-0.4577,0.1998,1.163,2.8141,-0.5582
avg_first_stay_epoch,135.0,-0.2288,1.21,-1.5778,-1.3853,-0.5615,0.7397,2.4158,0.5931
std_first_stay_epoch,135.0,0.0332,1.374,-1.8979,-1.0097,-0.0083,1.0296,2.8454,0.0603
avg_percentage_weights_near_zero,135.0,0.0802,1.2715,-2.0929,-0.9587,0.3019,1.0216,2.0506,0.0013
std_percentage_weights_near_zero,135.0,0.0704,0.7372,-2.0317,-0.3786,0.1057,0.6976,1.5298,-0.3145
avg_avg_weights,135.0,-0.135,1.1327,-1.7425,-1.0842,-0.4114,1.0376,1.6681,0.1084
std_avg_weights,135.0,0.1373,1.2473,-1.3731,-1.0361,-0.3685,1.5654,1.9973,0.3919
