column name,count,mean,std,min,25%,50%,75%,max,skewness
batch_size,135.0,138.6667,93.0286,16.0,64.0,128.0,256.0,256.0,0.1037
learning_rate,135.0,0.0072,0.0098,0.0005,0.0005,0.0045,0.0047,0.0298,1.459
number_of_epochs,135.0,188.8889,53.6248,60.0,200.0,200.0,220.0,240.0,-1.4408
number_of_hidden_layers,135.0,3.5556,1.4282,2.0,2.0,3.0,5.0,6.0,0.3544
avg_number_of_neurons,135.0,101.4815,46.0778,32.0,80.0,88.0,112.0,212.0,1.1599
min_number_of_neurons,135.0,39.1111,42.2266,16.0,16.0,16.0,32.0,144.0,1.7323
max_number_of_neurons,135.0,167.1111,70.6586,48.0,144.0,144.0,256.0,256.0,0.0065
total_number_of_neurons,135.0,389.3333,256.7303,64.0,176.0,304.0,560.0,848.0,0.5636
depth_to_width_ratio,135.0,0.0389,0.0157,0.0189,0.025,0.0352,0.0489,0.0625,0.3464
batch_size_to_dataset_ratio,135.0,0.2383,0.3328,0.003,0.0194,0.1277,0.327,2.4615,3.4778
number_of_features,135.0,10.2593,3.7773,5.0,8.0,10.0,12.0,21.0,1.3734
proportion_of_numeric_features,135.0,0.8552,0.2745,0.2,1.0,1.0,1.0,1.0,-1.4168
number_of_instances,135.0,1823.4222,1957.4771,104.0,528.5,1024.0,2392.0,7129.0,1.5345
number_of_classes,135.0,3.1704,1.2066,2.0,2.0,3.0,4.0,6.0,0.7272
ratio_of_instances_to_features,135.0,184.4419,193.205,9.5,52.85,123.2308,224.15,901.0,1.8436
ratio_of_classes_to_features,135.0,0.3442,0.1841,0.1429,0.2071,0.2857,0.4,1.0,1.5999
ratio_of_instances_to_classes,135.0,563.614,584.2524,37.3333,201.6333,384.0,642.4,2376.3333,1.937
ratio_of_min_to_max_instances_per_class,135.0,0.2787,0.309,0.0055,0.0253,0.1446,0.3191,1.0,1.2873
proportion_of_features_with_outliers,135.0,0.4434,0.4549,0.0,0.0,0.2,1.0,1.0,0.2167
average_mutual_information,135.0,0.0625,0.0493,0.0013,0.0275,0.0429,0.103,0.2093,0.9084
minimum_mutual_information,135.0,0.0078,0.0158,0.0,0.0,0.0,0.0114,0.0751,2.5444
maximum_mutual_information,135.0,0.2486,0.2757,0.0053,0.0699,0.1329,0.2358,1.0126,1.648
equivalent_number_of_features,135.0,1.0658,0.0537,1.0013,1.0278,1.0438,1.1085,1.2329,0.9739
noise_to_signal_ratio_of_features,135.0,2.6088,8.6418,-0.8204,-0.2563,0.6279,1.6003,64.9452,5.3312
avg_learning_slope,135.0,-0.0013,0.0013,-0.0048,-0.0017,-0.0007,-0.0003,0.0002,-1.0785
std_learning_slope,135.0,0.0002,0.0002,0.0,0.0,0.0001,0.0002,0.0009,1.9937
avg_validation_gap,135.0,0.085,0.1198,-0.0261,0.0083,0.0286,0.1147,0.5877,2.0153
std_validation_gap,135.0,0.0243,0.0263,0.0,0.0053,0.0147,0.0337,0.1133,1.5388
avg_first_overfit_epoch,135.0,45.1963,46.2323,3.6,15.7,28.3,52.95,240.0,2.0148
std_first_overfit_epoch,135.0,22.4747,25.2413,0.0,6.5939,10.7559,22.6495,95.7455,1.5463
avg_first_stay_epoch,135.0,6.7807,6.9432,2.0,2.25,3.7,8.45,31.9,2.0875
std_first_stay_epoch,135.0,2.1061,2.5568,0.0,0.4,1.1662,2.7172,12.8125,1.9373
avg_percentage_weights_near_zero,135.0,31.8442,19.6798,5.6366,14.896,31.4835,44.3578,67.5389,0.4007
std_percentage_weights_near_zero,135.0,1.1884,0.6291,0.1967,0.7491,1.044,1.6058,3.5027,0.9992
avg_avg_weights,135.0,0.1445,0.092,0.0426,0.0687,0.1023,0.227,0.3538,0.6228
std_avg_weights,135.0,0.0149,0.0194,0.0001,0.0013,0.004,0.0227,0.0641,1.2678
