column name,count,mean,std,min,25%,50%,75%,max,skewness
batch_size,539.0,113.039,86.0818,16.0,32.0,128.0,128.0,256.0,0.6685
learning_rate,539.0,0.0057,0.0083,0.0005,0.0005,0.0024,0.0068,0.035,2.1515
number_of_epochs,539.0,161.5955,71.0389,60.0,100.0,160.0,220.0,300.0,0.0276
number_of_hidden_layers,539.0,3.0816,1.2349,2.0,2.0,3.0,4.0,6.0,0.7359
avg_number_of_neurons,539.0,114.0631,49.1105,16.0,80.0,112.0,150.4,240.0,0.2405
min_number_of_neurons,539.0,57.7365,51.0011,16.0,16.0,32.0,80.0,224.0,1.4223
max_number_of_neurons,539.0,169.6772,69.7588,16.0,120.0,160.0,232.0,256.0,-0.3779
total_number_of_neurons,539.0,363.0724,221.5274,32.0,184.0,304.0,480.0,864.0,0.6936
depth_to_width_ratio,539.0,0.0336,0.0222,0.0083,0.0191,0.0296,0.0379,0.125,2.2124
batch_size_to_dataset_ratio,539.0,0.1878,0.3576,0.0025,0.0107,0.0485,0.1884,2.6122,3.5641
number_of_features,539.0,12.8349,5.4079,3.0,9.0,12.0,18.0,24.0,0.1855
proportion_of_numeric_features,539.0,0.8186,0.2848,0.0,0.6842,1.0,1.0,1.0,-1.482
number_of_instances,539.0,3248.5288,3812.928,88.0,625.0,1626.0,5000.0,18905.0,1.8525
number_of_classes,539.0,4.5343,2.6577,2.0,2.0,4.0,6.0,11.0,0.9869
ratio_of_instances_to_features,539.0,293.5454,446.4793,5.4444,56.2833,138.0455,355.4015,3781.0,3.8175
ratio_of_classes_to_features,539.0,0.4555,0.4366,0.0909,0.2,0.3333,0.5455,3.3333,3.0985
ratio_of_instances_to_classes,539.0,1046.6855,1623.5077,13.4,145.3,376.3333,1168.8333,9452.5,2.94
ratio_of_min_to_max_instances_per_class,539.0,0.517,0.3922,0.0028,0.0964,0.533,0.9222,1.0,-0.0369
proportion_of_features_with_outliers,539.0,0.4715,0.3911,0.0,0.0417,0.4444,0.8889,1.0,0.1125
average_mutual_information,539.0,0.1454,0.1769,0.0013,0.0365,0.0841,0.1668,0.8509,2.302
minimum_mutual_information,539.0,0.0228,0.0507,0.0,0.0,0.0008,0.0177,0.2708,3.2453
maximum_mutual_information,539.0,0.3592,0.3299,0.0053,0.1067,0.2301,0.5675,1.303,1.1638
equivalent_number_of_features,539.0,1.1774,0.2581,1.0013,1.0372,1.0878,1.1816,2.3417,2.7883
noise_to_signal_ratio_of_features,539.0,1.9948,7.3026,-0.9069,-0.5801,0.0916,1.1832,72.4841,5.994
avg_learning_slope,539.0,-0.002,0.0019,-0.0085,-0.0029,-0.0015,-0.0004,0.0005,-1.2677
std_learning_slope,539.0,0.0002,0.0002,0.0,0.0001,0.0001,0.0002,0.0011,2.0372
avg_validation_gap,539.0,0.0956,0.1224,-0.0269,0.0142,0.0439,0.1385,0.6283,2.0211
std_validation_gap,539.0,0.0202,0.0229,0.0,0.005,0.0127,0.0248,0.1423,2.2076
avg_first_overfit_epoch,539.0,34.8022,41.2035,3.6,14.25,20.5,35.55,280.0,3.1943
std_first_overfit_epoch,539.0,15.3738,17.5372,0.0,6.063,8.9778,14.314,95.7455,2.4721
avg_first_stay_epoch,539.0,6.6941,5.3274,2.0,2.9,4.9,8.9,33.6,1.979
std_first_stay_epoch,539.0,1.7177,1.8778,0.0,0.6,1.1358,2.3152,12.8125,2.5224
avg_percentage_weights_near_zero,539.0,29.9868,16.2929,5.4399,16.644,28.4216,41.2004,67.5389,0.4732
std_percentage_weights_near_zero,539.0,1.3726,1.3446,0.1874,0.5979,0.9439,1.6107,14.2059,3.5108
avg_avg_weights,539.0,0.1542,0.1137,0.0426,0.079,0.1171,0.1918,0.7261,2.3028
std_avg_weights,539.0,0.01,0.0131,0.0001,0.0017,0.0044,0.0122,0.0641,2.0545
