column name,count,mean,std,min,25%,50%,75%,max,skewness
batch_size,135.0,99.5556,88.8624,32.0,32.0,64.0,128.0,256.0,1.0295
learning_rate,135.0,0.0022,0.0033,0.0005,0.0005,0.0005,0.0005,0.0097,1.5041
number_of_epochs,135.0,155.5556,75.5741,60.0,100.0,160.0,200.0,300.0,0.5415
number_of_hidden_layers,135.0,3.4444,1.0697,2.0,3.0,3.0,4.0,5.0,0.1467
avg_number_of_neurons,135.0,117.6593,33.7449,48.0,100.0,117.3333,150.4,154.6667,-0.7241
min_number_of_neurons,135.0,42.6667,43.4896,16.0,16.0,16.0,32.0,144.0,1.5126
max_number_of_neurons,135.0,195.5556,57.5451,80.0,160.0,208.0,256.0,256.0,-0.6231
total_number_of_neurons,135.0,396.4444,167.5436,192.0,272.0,352.0,464.0,752.0,0.8921
depth_to_width_ratio,135.0,0.0342,0.0202,0.0132,0.0194,0.0332,0.04,0.0833,1.3585
batch_size_to_dataset_ratio,135.0,0.1035,0.1701,0.0039,0.0077,0.0411,0.1329,1.5515,5.2562
number_of_features,135.0,14.6296,4.8741,4.0,11.0,15.0,18.0,22.0,-0.2153
proportion_of_numeric_features,135.0,0.7616,0.3269,0.0,0.7368,0.8889,1.0,1.0,-1.406
number_of_instances,135.0,3002.2148,3155.2393,165.0,846.0,1613.0,4500.5,12205.0,1.6172
number_of_classes,135.0,5.7852,3.0233,2.0,3.0,5.0,9.0,11.0,0.3716
ratio_of_instances_to_features,135.0,217.1109,237.1913,9.1667,65.1337,130.375,284.1889,1356.1111,2.2559
ratio_of_classes_to_features,135.0,0.5056,0.4721,0.1111,0.1909,0.3846,0.6042,2.5,2.257
ratio_of_instances_to_classes,135.0,875.7764,1483.7372,21.8182,145.3,298.0,842.6667,6102.5,2.744
ratio_of_min_to_max_instances_per_class,135.0,0.5764,0.4278,0.0101,0.0884,0.8838,0.9711,1.0,-0.2897
proportion_of_features_with_outliers,135.0,0.5239,0.3465,0.0,0.2361,0.5263,0.8235,1.0,-0.2517
average_mutual_information,135.0,0.2147,0.2029,0.0123,0.0728,0.1629,0.2776,0.8033,1.5992
minimum_mutual_information,135.0,0.0082,0.0174,0.0,0.0,0.0,0.0123,0.105,3.4251
maximum_mutual_information,135.0,0.5329,0.347,0.0395,0.257,0.4056,0.7792,1.303,0.6375
equivalent_number_of_features,135.0,1.268,0.303,1.0124,1.0755,1.1769,1.32,2.2329,1.9718
noise_to_signal_ratio_of_features,135.0,0.1839,1.5044,-0.9069,-0.6774,-0.2563,0.2978,11.38,3.9075
avg_learning_slope,135.0,-0.003,0.0018,-0.0072,-0.0041,-0.0028,-0.0016,-0.0,-0.6705
std_learning_slope,135.0,0.0002,0.0001,0.0,0.0001,0.0001,0.0002,0.0006,1.2966
avg_validation_gap,135.0,0.0986,0.0937,-0.0261,0.0244,0.0665,0.1583,0.4108,1.0947
std_validation_gap,135.0,0.0163,0.01,0.0,0.0083,0.0147,0.0218,0.0436,0.7231
avg_first_overfit_epoch,135.0,35.2244,33.947,6.0,15.85,21.4,36.85,164.3,2.1987
std_first_overfit_epoch,135.0,12.1363,9.6212,2.2825,6.7003,9.3643,13.4531,56.1004,2.6943
avg_first_stay_epoch,135.0,9.8548,7.4867,2.0,4.05,7.7,13.0,33.6,1.2707
std_first_stay_epoch,135.0,2.3777,2.5866,0.0,0.6817,1.6852,2.7604,12.8125,2.1649
avg_percentage_weights_near_zero,135.0,34.5826,13.3127,14.2507,21.2427,34.1823,46.5445,59.0363,0.0553
std_percentage_weights_near_zero,135.0,1.3284,1.4353,0.1874,0.5341,0.7911,1.204,7.1752,2.2069
avg_avg_weights,135.0,0.1085,0.0492,0.0474,0.066,0.0949,0.1441,0.2516,0.9098
std_avg_weights,135.0,0.0061,0.0095,0.0001,0.0011,0.0026,0.0059,0.0523,2.7883
