column name,count,mean,std,min,25%,50%,75%,max,skewness
batch_size,405.0,119.7037,84.1352,16.0,32.0,128.0,128.0,256.0,0.5025
learning_rate,405.0,0.0071,0.0091,0.0005,0.0005,0.0035,0.0091,0.035,1.7777
number_of_epochs,405.0,168.1481,70.2737,60.0,100.0,200.0,220.0,280.0,-0.3056
number_of_hidden_layers,405.0,2.963,1.263,2.0,2.0,2.0,4.0,6.0,0.9589
avg_number_of_neurons,405.0,116.2272,52.8189,16.0,80.0,112.0,152.0,240.0,0.2151
min_number_of_neurons,405.0,66.3704,54.4051,16.0,16.0,48.0,96.0,224.0,1.1593
max_number_of_neurons,405.0,164.1481,69.5685,16.0,96.0,160.0,224.0,256.0,-0.3429
total_number_of_neurons,405.0,359.1111,232.1625,32.0,160.0,304.0,480.0,864.0,0.7106
depth_to_width_ratio,405.0,0.0327,0.0231,0.0083,0.0179,0.0268,0.0357,0.125,2.3802
batch_size_to_dataset_ratio,405.0,0.2222,0.3959,0.0025,0.017,0.0613,0.237,2.6122,3.1474
number_of_features,405.0,11.7975,5.1129,2.0,8.0,11.0,16.0,22.0,0.3339
proportion_of_numeric_features,405.0,0.8356,0.2699,0.0,0.6818,1.0,1.0,1.0,-1.4472
number_of_instances,405.0,3266.9802,4028.8531,88.0,501.0,1382.0,5000.0,18905.0,1.8541
number_of_classes,405.0,4.1432,2.4423,2.0,2.0,3.0,5.0,11.0,1.2919
ratio_of_instances_to_features,405.0,317.6465,494.7485,5.4444,52.4375,138.6316,386.375,3781.0,3.5478
ratio_of_classes_to_features,405.0,0.463,0.4499,0.0909,0.2,0.3333,0.5556,3.3333,3.117
ratio_of_instances_to_classes,405.0,1094.2933,1667.9459,13.4,117.0,384.0,1500.0,9452.5,2.9722
ratio_of_min_to_max_instances_per_class,405.0,0.5023,0.3829,0.0028,0.1081,0.5316,0.9222,1.0,0.0433
proportion_of_features_with_outliers,405.0,0.4634,0.3978,0.0,0.0,0.3333,0.9048,1.0,0.1919
average_mutual_information,405.0,0.1292,0.1633,0.0013,0.0354,0.0625,0.1451,0.8509,2.5365
minimum_mutual_information,405.0,0.0276,0.0568,0.0,0.0,0.0029,0.023,0.2708,2.8148
maximum_mutual_information,405.0,0.3163,0.3161,0.0053,0.0959,0.149,0.5275,1.2594,1.2704
equivalent_number_of_features,405.0,1.1556,0.2356,1.0013,1.036,1.0644,1.1562,2.3417,3.1469
noise_to_signal_ratio_of_features,405.0,2.6145,8.3275,-0.897,-0.5377,0.222,1.3185,72.4841,5.1794
avg_learning_slope,405.0,-0.0017,0.0019,-0.0085,-0.0023,-0.0012,-0.0003,0.0005,-1.697
std_learning_slope,405.0,0.0002,0.0002,0.0,0.0001,0.0001,0.0003,0.0011,1.952
avg_validation_gap,405.0,0.0902,0.1295,-0.0269,0.0111,0.0352,0.1177,0.6283,2.2194
std_validation_gap,405.0,0.0215,0.0257,0.0,0.004,0.0112,0.028,0.1423,1.9442
avg_first_overfit_epoch,405.0,34.7086,43.3142,3.6,13.1,20.3,35.0,280.0,3.3195
std_first_overfit_epoch,405.0,16.6821,19.5184,0.0,5.8215,8.7459,15.5897,95.7455,2.1574
avg_first_stay_epoch,405.0,5.8356,3.9616,2.0,2.7,4.5,8.5,22.7,1.3186
std_first_stay_epoch,405.0,1.5566,1.5632,0.0,0.5385,1.044,2.1932,10.0876,1.9167
avg_percentage_weights_near_zero,405.0,28.7505,16.6899,5.4399,15.2496,25.5039,38.5554,67.5389,0.6543
std_percentage_weights_near_zero,405.0,1.4543,1.3501,0.1967,0.6365,1.0745,1.797,14.2059,3.7464
avg_avg_weights,405.0,0.1658,0.1226,0.0426,0.0859,0.132,0.2228,0.7261,2.1598
std_avg_weights,405.0,0.0119,0.0144,0.0001,0.002,0.0059,0.0156,0.0641,1.7105
