dataset_name,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
Agaricus Lepiota,0,3,0,13,0,1,0,0
Ann thyroid,0,0,0,0,8,5,7,1
Balance Scale,0,1,0,9,2,8,5,0
Car evaluation,2,1,5,11,7,2,2,1
Dry Bean,1,5,0,8,10,2,5,9
Glass Identification,4,3,0,6,9,2,5,2
Indian Engineering Student Placement,4,0,0,1,2,3,13,3
Led7,2,2,2,2,14,1,6,2
Liver Cirrhosis,5,6,3,11,5,6,5,8
Magic,0,8,0,1,9,9,0,1
Mobile Price Classification,0,0,0,0,15,0,2,0
Mofn_3_7_10,1,0,1,4,2,12,1,1
Nursery,2,3,2,2,6,5,7,2
Obesity Levels,4,0,1,4,1,11,0,4
Page Blocks,0,1,0,15,0,0,0,0
Parity5,3,2,0,0,5,3,9,2
Pendigits,0,1,2,15,1,0,0,0
Pima Indians Diabetes,1,1,1,0,2,1,15,1
Ring,3,0,0,0,11,11,8,7
Salaries 2023,2,11,4,2,3,3,3,2
Schizo,3,6,1,11,1,2,5,1
Smartphone battery,7,0,0,1,6,9,5,6
Statlog Vehicle Silhouettes,5,1,1,9,4,10,3,6
Twonorm,6,0,3,2,4,8,10,4
Vowel,1,0,0,14,6,6,0,0
White Wine Quality,1,2,0,10,8,3,7,2
Wine Quality Red,5,6,7,1,7,8,6,8
