dataset_name,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
Agaricus Lepiota,1,4,1,15,1,1,1,1
Ann thyroid,5,1,0,1,13,8,9,6
Car evaluation,4,3,8,12,10,7,7,4
Dry Bean,13,15,11,10,16,13,12,14
Glass Identification,8,7,6,10,14,11,9,9
Indian Engineering Student Placement,8,0,5,6,7,11,15,9
Led24,4,2,5,2,4,7,15,6
Liver Cirrhosis,16,13,14,15,12,13,14,13
Magic,6,12,1,8,13,13,6,3
Mobile Price Classification,0,0,0,0,16,0,5,0
Mofn_3_7_10,8,2,1,11,9,14,11,8
Mushroom,7,9,8,8,9,10,10,3
Nursery,5,4,3,6,13,12,12,5
Obesity Levels,8,1,5,4,3,13,1,10
Online shopper,0,3,6,3,15,2,6,2
Page Blocks,1,1,0,15,0,0,0,1
Parity5,5,4,2,1,7,5,9,4
Pendigits,3,6,2,16,3,3,4,3
Pima Indians Diabetes,3,4,6,1,8,7,15,7
Ring,10,0,1,0,13,13,15,12
Salaries 2023,6,14,6,3,7,9,7,9
Segmentation,9,12,6,10,14,16,9,10
Smartphone battery,11,0,0,2,11,14,10,12
Students Performance,13,0,2,1,10,14,13,9
Twonorm,14,3,11,6,9,13,16,11
White Wine Quality,5,7,4,14,9,9,9,10
Wine Quality Red,12,11,11,4,11,13,13,10
