dataset_name,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
Agaricus Lepiota,2,6,3,16,1,1,1,1
Ann thyroid,9,3,1,1,13,9,9,6
Balance Scale,0,2,0,12,7,11,8,0
Car evaluation,5,5,10,12,12,8,9,6
Dry Bean,15,15,12,11,16,15,13,16
Glass Identification,11,9,9,10,15,11,11,9
Indian Engineering Student Placement,12,0,6,6,8,11,15,9
Led24,5,4,9,2,6,9,16,7
Led7,6,7,10,5,16,6,12,6
Liver Cirrhosis,16,13,16,16,12,14,15,15
Magic,8,13,1,12,13,14,8,6
Mobile Price Classification,0,0,0,0,16,0,6,0
Mofn_3_7_10,13,5,1,15,12,15,13,12
Mushroom,9,11,8,10,9,11,11,7
Nursery,7,5,5,9,13,13,13,5
Obesity Levels,11,1,5,4,8,13,2,13
Online shopper,1,3,7,3,16,4,6,3
Page Blocks,1,1,0,15,0,1,0,1
Parity5,5,5,2,1,7,5,9,5
Pendigits,4,7,4,16,8,3,8,8
Pima Indians Diabetes,6,4,8,2,8,7,16,7
Ring,14,0,1,0,14,16,16,12
Salaries 2023,8,15,7,4,10,10,7,10
Schizo,10,12,11,14,9,11,12,14
Segmentation,14,13,8,10,15,16,9,12
Smartphone battery,12,0,0,4,12,14,10,12
Statlog Vehicle Silhouettes,13,9,4,15,12,16,12,13
Students Performance,14,1,2,1,11,16,13,12
Students Performance Burnout,11,0,11,0,15,11,11,11
Twonorm,16,3,12,9,14,15,16,12
Vehicle,10,12,2,7,8,10,7,9
Vowel,8,2,2,15,10,12,9,7
Waveform_21,6,8,1,1,7,8,16,6
White Wine Quality,11,9,11,14,9,11,11,10
Wine Quality Red,13,12,13,7,13,15,13,13
Yeast,9,6,4,15,7,6,9,9
