column name,count,mean,std,min,25%,50%,75%,max,skewness
batch_size,405.0,0.0,1.0012,-1.1612,-0.9734,0.153,0.153,1.6549,0.6285
learning_rate,405.0,-0.0,1.0012,-0.9751,-0.9751,-0.0575,0.6842,1.9629,0.5431
number_of_epochs,405.0,-0.0,1.0012,-1.5399,-0.9818,0.4134,0.6925,1.8086,-0.1318
number_of_hidden_layers,405.0,0.0,1.0012,-1.0275,-1.0275,0.2166,0.9056,1.6291,0.206
avg_number_of_neurons,405.0,-0.0,1.0012,-1.7921,-0.5729,0.0367,0.6463,2.4751,0.4756
min_number_of_neurons,405.0,0.0,1.0012,-1.1338,-1.1338,-0.0992,0.9305,1.7321,0.1555
max_number_of_neurons,405.0,0.0,1.0012,-2.0499,-0.934,-0.0413,1.0746,1.2977,-0.2762
total_number_of_neurons,405.0,0.0,1.0012,-2.0816,-0.8317,0.0982,0.6585,1.7839,-0.0701
depth_to_width_ratio,405.0,-0.0,1.0012,-1.9147,-0.4165,-0.1049,0.6898,2.1944,0.118
batch_size_to_dataset_ratio,405.0,0.0163,1.0073,-1.0208,-0.9006,-0.3742,0.8082,2.123,0.7142
number_of_features,405.0,-0.0189,1.0,-1.9529,-0.8175,-0.0605,0.8858,2.0213,0.2388
proportion_of_numeric_features,405.0,0.0003,1.0013,-1.8096,-1.0648,0.8093,0.8093,0.8093,-0.6571
number_of_instances,405.0,-0.0239,1.0001,-2.111,-0.7276,-0.0799,0.7538,2.0333,-0.0405
number_of_classes,405.0,-0.0127,0.9957,-1.1429,-1.1429,-0.2521,0.7092,1.6841,0.1766
ratio_of_instances_to_features,405.0,-0.016,1.0079,-2.4299,-0.6812,0.0064,0.6834,2.6771,0.0102
ratio_of_classes_to_features,405.0,0.0007,1.0033,-1.5935,-0.8019,-0.0355,0.6717,2.2842,0.1579
ratio_of_instances_to_classes,405.0,-0.0166,1.0007,-2.2704,-0.5738,-0.1439,0.7611,2.1497,-0.0004
ratio_of_min_to_max_instances_per_class,405.0,0.0039,1.0002,-1.1384,-0.9467,-0.3778,1.1596,1.476,0.3181
proportion_of_features_with_outliers,405.0,-0.0016,1.0001,-1.2268,-1.0346,0.0225,1.0338,1.2718,0.0502
average_mutual_information,405.0,-0.0022,1.0013,-1.518,-0.8208,-0.1392,0.5819,1.9285,0.498
minimum_mutual_information,405.0,0.0012,1.0006,-0.7488,-0.7488,-0.5621,0.4753,2.0925,1.0735
maximum_mutual_information,405.0,-0.0041,1.0001,-1.5841,-0.8324,-0.2754,0.9943,1.7101,0.279
equivalent_number_of_features,405.0,-0.0021,1.0012,-1.3728,-0.811,-0.2063,0.509,2.01,0.6858
noise_to_signal_ratio_of_features,405.0,0.0048,1.0014,-1.708,-0.9036,0.0928,0.7013,2.3538,0.1973
avg_learning_slope,405.0,-0.0019,1.005,-2.0733,-0.7484,-0.0469,0.95,1.8363,-0.2421
std_learning_slope,405.0,-0.0038,0.9989,-1.6991,-0.8567,-0.1782,0.7509,2.1545,0.331
avg_validation_gap,405.0,0.0079,1.009,-2.1859,-0.8367,-0.2946,0.9618,1.9617,0.556
std_validation_gap,405.0,0.0121,1.0009,-1.4571,-0.8552,-0.1346,0.8054,2.0872,0.4388
avg_first_overfit_epoch,405.0,-0.0037,1.0196,-3.3635,-0.6851,-0.1041,0.6656,2.1889,0.0336
std_first_overfit_epoch,405.0,-0.0142,1.0131,-3.3389,-0.5963,-0.1455,0.4079,2.5821,-0.0359
avg_first_stay_epoch,405.0,0.0,1.0065,-1.3708,-0.9232,-0.0667,0.9124,2.0404,0.1742
std_first_stay_epoch,405.0,-0.0126,1.0104,-1.6218,-0.5995,-0.0297,0.7436,2.3947,0.0691
avg_percentage_weights_near_zero,405.0,0.0094,1.0008,-2.1528,-0.8126,0.1469,0.7411,1.8131,-0.0693
std_percentage_weights_near_zero,405.0,-0.0053,1.0058,-2.2602,-0.7846,-0.0071,0.695,2.4778,0.1255
avg_avg_weights,405.0,-0.0101,0.9989,-1.593,-0.7572,-0.1768,0.7661,2.1114,0.2949
std_avg_weights,405.0,-0.0095,1.0013,-1.348,-0.9208,-0.232,0.7571,2.0323,0.5001
