column name,count,mean,std,min,25%,50%,75%,max,skewness
batch_size,405.0,0.0,1.0012,-1.1969,-1.0079,0.126,0.126,1.6378,0.565
learning_rate,405.0,0.0,1.0012,-1.0608,-1.0608,-0.1524,0.871,1.896,0.5769
number_of_epochs,405.0,0.0,1.0012,-1.4967,-0.9194,0.5238,0.8125,1.6784,-0.1781
number_of_hidden_layers,405.0,0.0,1.0012,-0.8619,-0.8619,-0.8619,1.1364,1.6024,0.4222
avg_number_of_neurons,405.0,0.0,1.0012,-1.8241,-0.6202,-0.0182,0.7342,2.3896,0.3485
min_number_of_neurons,405.0,0.0,1.0012,-1.2772,-1.2772,0.1092,0.7149,1.8508,0.035
max_number_of_neurons,405.0,-0.0,1.0012,-2.0369,-0.9145,-0.0166,0.8813,1.3302,-0.2536
total_number_of_neurons,405.0,-0.0,1.0012,-2.0605,-0.7513,0.0215,0.6892,1.7238,-0.074
depth_to_width_ratio,405.0,0.0,1.0012,-1.9013,-0.7631,0.0395,0.4613,2.2883,0.124
batch_size_to_dataset_ratio,405.0,0.014,1.0047,-1.0337,-0.8217,-0.4195,0.8424,1.9694,0.6789
number_of_features,405.0,-0.0175,0.9986,-1.8824,-0.7865,-0.2385,0.6748,2.1361,0.3436
proportion_of_numeric_features,405.0,0.0004,1.0013,-1.8186,-1.1712,0.6809,0.6809,0.6809,-0.8789
number_of_instances,405.0,-0.0209,1.001,-1.9799,-0.8093,-0.0109,0.8439,1.9313,-0.0148
number_of_classes,405.0,-0.0128,0.9963,-1.1977,-1.1977,-0.2532,0.7375,1.7022,0.1735
ratio_of_instances_to_features,405.0,-0.0147,1.0065,-2.3567,-0.7491,-0.0169,0.7511,2.4979,0.0151
ratio_of_classes_to_features,405.0,0.001,1.0009,-1.6141,-0.7285,-0.0766,0.7788,2.2585,0.2211
ratio_of_instances_to_classes,405.0,-0.0145,1.0002,-2.2841,-0.7437,-0.0981,0.838,2.1336,0.0032
ratio_of_min_to_max_instances_per_class,405.0,0.0033,1.0,-1.3063,-1.028,0.0912,1.0985,1.3289,0.0342
proportion_of_features_with_outliers,405.0,-0.0014,1.0004,-1.1232,-1.1232,-0.4155,1.1178,1.3536,0.2273
average_mutual_information,405.0,-0.0012,1.0006,-1.6468,-0.7652,-0.2322,0.7094,2.053,0.4616
minimum_mutual_information,405.0,-0.0004,1.0016,-0.766,-0.766,-0.5304,0.6338,2.0499,1.0154
maximum_mutual_information,405.0,-0.0031,0.9992,-1.713,-0.7615,-0.3466,0.8947,1.8145,0.3527
equivalent_number_of_features,405.0,-0.0012,1.0005,-1.5029,-0.7656,-0.2828,0.6568,2.1346,0.6451
noise_to_signal_ratio_of_features,405.0,0.0037,0.9999,-1.7459,-0.9453,0.0979,0.6385,2.2238,0.2069
avg_learning_slope,405.0,-0.0018,1.0028,-2.0021,-0.7201,0.0161,0.8651,2.0217,-0.3066
std_learning_slope,405.0,-0.0001,1.0008,-1.6976,-0.8364,-0.0805,0.8337,2.2253,0.2597
avg_validation_gap,405.0,0.0103,1.0051,-2.0665,-0.8574,-0.293,0.9562,1.9287,0.5059
std_validation_gap,405.0,0.0115,1.0021,-1.3701,-0.8986,-0.176,0.8025,1.9772,0.446
avg_first_overfit_epoch,405.0,-0.0063,1.0198,-3.218,-0.7035,-0.0494,0.6547,2.314,0.0256
std_first_overfit_epoch,405.0,-0.0152,1.012,-3.2911,-0.6017,-0.1622,0.4055,2.2614,-0.0478
avg_first_stay_epoch,405.0,-0.0,1.0087,-1.4301,-0.8691,-0.0385,0.8993,2.1532,0.1095
std_first_stay_epoch,405.0,-0.0138,1.0088,-1.6577,-0.6449,-0.0665,0.7112,2.6015,0.0539
avg_percentage_weights_near_zero,405.0,0.0079,1.0006,-1.9829,-0.7706,0.0618,0.7549,1.7827,-0.0437
std_percentage_weights_near_zero,405.0,-0.0033,1.0039,-2.2278,-0.8395,-0.0213,0.7168,2.5192,0.1177
avg_avg_weights,405.0,-0.0088,0.9991,-1.5945,-0.7687,-0.0804,0.8493,2.2059,0.2028
std_avg_weights,405.0,-0.0065,1.0016,-1.3205,-0.9214,-0.2115,0.768,1.9474,0.4781
