column name,count,mean,std,min,25%,50%,75%,max
number_of_features,375.0,13.877,5.253,3.0,10.0,14.0,18.0,24.0
proportion_of_numeric_features,375.0,0.0,1.001,-1.859,-0.956,0.813,0.813,0.813
number_of_instances,375.0,0.0,1.001,-2.211,-0.682,-0.001,0.784,2.159
number_of_classes,375.0,0.0,1.001,-1.12,-1.12,-0.19,1.014,1.603
ratio_of_instances_to_features,375.0,-0.0,1.001,-2.429,-0.665,0.022,0.698,2.863
ratio_of_classes_to_features,375.0,-0.0,1.001,-1.579,-0.847,-0.175,0.762,2.245
ratio_of_instances_to_classes,375.0,-0.0,1.001,-2.636,-0.616,-0.096,0.79,2.158
ratio_of_min_to_max_instances_per_class,375.0,0.538,0.391,0.003,0.108,0.533,0.928,1.0
proportion_of_features_with_outliers,375.0,0.437,0.382,0.0,0.043,0.312,0.824,1.0
average_mutual_information,375.0,-0.0,1.001,-1.576,-0.787,-0.095,0.807,1.987
minimum_mutual_information,375.0,0.0,1.001,-0.718,-0.718,-0.718,0.631,2.133
maximum_mutual_information,375.0,-0.0,1.001,-1.626,-0.797,-0.292,1.022,1.764
equivalent_number_of_features,375.0,0.0,1.001,-1.461,-0.79,-0.15,0.774,2.045
noise_to_signal_ratio_of_features,375.0,-0.0,1.001,-1.753,-0.913,0.032,0.714,2.154
batch_size,375.0,129.92,87.556,16.0,64.0,128.0,256.0,256.0
learning_rate,375.0,-0.0,1.001,-0.91,-0.91,-0.197,0.525,1.97
number_of_epochs,375.0,168.0,72.54,60.0,100.0,160.0,220.0,300.0
number_of_hidden_layers,375.0,0.0,1.001,-1.099,-1.099,0.165,0.894,1.694
avg_number_of_neurons,375.0,104.267,44.807,16.0,80.0,112.0,122.667,212.0
min_number_of_neurons,375.0,0.0,1.001,-1.096,-1.096,0.054,0.919,1.649
max_number_of_neurons,375.0,160.64,69.979,16.0,96.0,160.0,224.0,256.0
