column name,count,mean,std,min,25%,50%,75%,max
number_of_features,375.0,-0.0,1.001,-2.119,-0.874,-0.102,0.872,1.713
proportion_of_numeric_features,375.0,-0.0,1.001,-1.821,-0.861,0.81,0.81,0.81
number_of_instances,375.0,0.0,1.001,-2.213,-0.661,0.026,0.771,2.14
number_of_classes,375.0,-0.0,1.001,-1.126,-1.126,-0.282,1.116,1.544
ratio_of_instances_to_features,375.0,-0.0,1.001,-2.558,-0.572,0.017,0.63,2.672
ratio_of_classes_to_features,375.0,0.0,1.001,-1.594,-0.826,0.064,0.748,2.255
ratio_of_instances_to_classes,375.0,0.0,1.001,-2.591,-0.585,-0.064,0.817,2.289
ratio_of_min_to_max_instances_per_class,375.0,-0.0,1.001,-1.302,-0.992,-0.233,1.107,1.297
proportion_of_features_with_outliers,375.0,0.0,1.001,-1.208,-1.208,0.111,1.064,1.233
average_mutual_information,375.0,0.0,1.001,-1.54,-0.769,-0.21,0.734,2.085
minimum_mutual_information,375.0,-0.0,1.001,-0.672,-0.672,-0.672,0.567,2.346
maximum_mutual_information,375.0,0.0,1.001,-1.639,-0.766,-0.244,1.047,1.796
equivalent_number_of_features,375.0,0.0,1.001,-1.406,-0.767,-0.265,0.677,2.199
noise_to_signal_ratio_of_features,375.0,0.0,1.001,-1.778,-0.835,0.091,0.625,2.354
