column name,count,mean,std,min,25%,50%,75%,max
number_of_features,360.0,-0.038,1.0,-2.074,-0.739,-0.167,0.786,1.93
proportion_of_numeric_features,360.0,2.167,1.097,0.0,1.0,3.0,3.0,3.0
number_of_instances,360.0,-0.04,0.991,-2.211,-0.708,-0.002,0.68,2.159
number_of_classes,360.0,-0.049,0.982,-1.12,-1.12,-0.19,0.746,1.603
ratio_of_instances_to_features,360.0,-0.025,1.003,-2.429,-0.701,-0.033,0.662,2.863
ratio_of_classes_to_features,360.0,-0.023,1.004,-1.579,-0.882,-0.175,0.704,2.245
ratio_of_instances_to_classes,360.0,-0.011,1.018,-2.636,-0.634,-0.125,0.818,2.158
ratio_of_min_to_max_instances_per_class,360.0,0.055,0.984,-1.372,-0.952,0.388,1.006,1.184
proportion_of_features_with_outliers,360.0,0.048,0.994,-1.147,-0.928,-0.163,1.039,1.476
average_mutual_information,360.0,-0.062,0.973,-1.576,-0.826,-0.237,0.691,1.987
minimum_mutual_information,360.0,0.483,0.5,0.0,0.0,0.0,1.0,1.0
maximum_mutual_information,360.0,-0.046,0.995,-1.626,-0.804,-0.387,0.94,1.764
equivalent_number_of_features,360.0,-0.052,0.989,-2.719,-0.624,-0.067,0.598,2.187
noise_to_signal_ratio_of_features,360.0,0.052,0.988,-1.708,-0.843,0.109,0.759,2.154
