model type,technique,training loses,testing loses,training accuracies,training f1,testing f1,testing accuracies,testing true positive,testing true negative,testing false positive,testing false negative
Decision tree,baseline,"[0.23, 0.25333333333333335, 0.25666666666666665, 0.21, 0.21666666666666667]","[0.2518518518518518, 0.2185185185185185, 0.14074074074074075, 0.2518518518518518, 0.2518518518518518]","[77.0, 71.0, 74.33333333333333, 79.0, 78.33333333333333]","[0.728056614044638, 0.6336254980079681, 0.6338942001274697, 0.7552495555859428, 0.7579831932773109]",0.7312844759653271,74.07407407407408,0.0,100.0,16.0,19.0
Decision tree,batch normalisation,"[0.01, 0.01, 0.013333333333333334, 0.013333333333333334, 0.013333333333333334]","[0.4740740740740741, 0.43703703703703706, 0.34074074074074073, 0.4, 0.37037037037037035]","[99.0, 99.0, 98.33333333333333, 98.33333333333333, 98.33333333333333]","[0.9899279276522164, 0.9899340698240386, 0.9864994482641539, 0.9864900284900286, 0.9866918049270991]",0.6420910706624993,62.96296296296296,12.0,73.0,29.0,21.0
Decision tree,dropout,"[0.13, 0.11666666666666667, 0.14666666666666667, 0.16, 0.12]","[0.24444444444444444, 0.2740740740740741, 0.24444444444444444, 0.32592592592592595, 0.23703703703703705]","[87.0, 88.33333333333333, 85.33333333333334, 82.0, 88.0]","[0.847098653076083, 0.8579971032484999, 0.8192703730346316, 0.794922114559058, 0.847960927960928]",0.6916444341337045,75.55555555555556,2.0,100.0,5.0,28.0
Decision tree,layer normalisation,"[0.15666666666666668, 0.17, 0.19666666666666666, 0.20333333333333334, 0.15666666666666668]","[0.6296296296296297, 0.6296296296296297, 0.5518518518518518, 0.6296296296296297, 0.6296296296296297]","[84.33333333333334, 83.0, 71.0, 79.66666666666666, 84.33333333333334]","[0.8186142095290188, 0.7962426661827858, 0.7685922772879294, 0.78693823137313, 0.8173027682009717]",0.35078077678795666,37.03703703703704,12.0,38.0,32.0,53.0
Decision tree,prune,"[0.08333333333333333, 0.056666666666666664, 0.05333333333333334, 0.06333333333333334, 0.07333333333333333]","[0.4629629629629629, 0.40740740740740744, 0.4, 0.437037037037037, 0.4740740740740741]","[87.33333333333333, 92.33333333333333, 92.33333333333333, 91.0, 88.0]","[0.9124829954006608, 0.941888963233221, 0.9452325698718596, 0.9349778102401791, 0.922804174340086]",0.5257484636366624,48.888888888888886,19.0,56.0,39.0,21.0
Decision tree,weight normalisation,"[0.30666666666666664, 0.29333333333333333, 0.28, 0.31333333333333335, 0.26]","[0.5407407407407407, 0.5111111111111111, 0.46296296296296297, 0.5111111111111111, 0.4074074074074074]","[69.33333333333334, 70.66666666666667, 68.0, 68.66666666666667, 74.0]","[0.6933333333333334, 0.7066666666666667, 0.6858102303787583, 0.6825428907168037, 0.7372684681273957]",0.5126870341924106,45.18518518518518,5.0,56.0,54.0,20.0
Decision tree,weight decay,"[0.24666666666666667, 0.24333333333333335, 0.21, 0.25333333333333335, 0.23333333333333334]","[0.37407407407407406, 0.3333333333333333, 0.31851851851851853, 0.2740740740740741, 0.4962962962962963]","[73.0, 73.33333333333333, 79.0, 74.66666666666667, 76.66666666666667]","[0.7382648017076733, 0.7414393367465993, 0.782418269686345, 0.7111139283299526, 0.7684050412863973]",0.44267797208973686,44.44444444444444,5.0,55.0,37.0,38.0
Decision tree,weight perturbation,"[0.25333333333333335, 0.25, 0.23, 0.21333333333333335, 0.24333333333333335]","[0.15555555555555556, 0.4666666666666667, 0.34814814814814815, 0.362962962962963, 0.3851851851851852]","[74.66666666666667, 75.0, 77.0, 78.66666666666666, 75.66666666666667]","[0.6383715012722646, 0.7504702194357367, 0.7599523892103229, 0.7856972016264052, 0.7383143290552403]",0.697584541062802,70.37037037037037,0.0,95.0,19.0,21.0
KNN,baseline,"[0.0, 0.0033333333333333335, 0.0033333333333333335, 0.0033333333333333335, 0.0033333333333333335]","[0.17037037037037037, 0.14074074074074075, 0.14074074074074075, 0.14814814814814814, 0.17777777777777778]","[100.0, 99.66666666666667, 99.66666666666667, 99.66666666666667, 99.66666666666667]","[1.0, 0.9966584774177598, 0.996658835417456, 0.99665934109156, 0.9966599637758669]",0.7941433303221921,83.7037037037037,1.0,112.0,4.0,18.0
KNN,batch normalisation,"[0.14666666666666667, 0.14333333333333334, 0.17333333333333334, 0.13666666666666666, 0.15666666666666668]","[0.43703703703703706, 0.43703703703703706, 0.4074074074074074, 0.45925925925925926, 0.43703703703703706]","[85.33333333333334, 85.66666666666667, 82.66666666666667, 86.33333333333333, 84.33333333333334]","[0.8474876412429379, 0.8465817409766455, 0.8129108077828842, 0.8551222068869129, 0.8312371388970364]",0.5640058479532164,54.074074074074076,9.0,64.0,38.0,24.0
KNN,dropout,"[0.12666666666666668, 0.12333333333333334, 0.12, 0.13333333333333333, 0.13333333333333333]","[0.28888888888888886, 0.24444444444444444, 0.2518518518518518, 0.3037037037037037, 0.2518518518518518]","[87.33333333333333, 87.66666666666667, 88.0, 86.66666666666667, 86.66666666666667]","[0.8382296305721677, 0.8541166516553399, 0.8584520123839009, 0.8276625524875938, 0.8330268981954375]",0.7127272727272728,73.33333333333333,7.0,92.0,13.0,23.0
KNN,layer normalisation,"[0.0033333333333333335, 0.0033333333333333335, 0.0, 0.0033333333333333335, 0.0033333333333333335]","[0.6074074074074074, 0.5777777777777777, 0.6444444444444445, 0.6074074074074074, 0.5777777777777777]","[99.66666666666667, 99.66666666666667, 100.0, 99.66666666666667, 99.66666666666667]","[0.9966586586280239, 0.99665934109156, 1.0, 0.9966590079740505, 0.996657905217045]",0.36044657097288674,40.0,9.0,45.0,25.0,56.0
KNN,prune,"[0.24, 0.21666666666666667, 0.21666666666666667, 0.21333333333333335, 0.21666666666666667]","[0.37037037037037035, 0.3851851851851852, 0.4, 0.3851851851851852, 0.34074074074074073]","[76.0, 78.33333333333333, 78.33333333333333, 78.66666666666666, 78.33333333333333]","[0.7587775891341256, 0.7808178961798352, 0.7793214379231661, 0.7800393667094566, 0.7800288154780283]",0.5993542260208927,60.74074074074074,11.0,71.0,24.0,29.0
KNN,weight normalisation,"[0.013333333333333334, 0.01, 0.01, 0.01, 0.013333333333333334]","[0.37777777777777777, 0.4666666666666667, 0.5333333333333333, 0.4444444444444444, 0.5185185185185185]","[97.33333333333334, 99.0, 99.0, 99.0, 98.66666666666667]","[0.9864792922818845, 0.9900197115883391, 0.9899810290313309, 0.9899717045332443, 0.9867023716084152]",0.5852676205617382,53.333333333333336,11.0,61.0,49.0,14.0
KNN,weight decay,"[0.013333333333333334, 0.0, 0.013333333333333334, 0.01, 0.013333333333333334]","[0.3925925925925926, 0.3925925925925926, 0.37777777777777777, 0.4148148148148148, 0.4222222222222222]","[98.66666666666667, 100.0, 98.66666666666667, 99.0, 98.66666666666667]","[0.9867333333333332, 1.0, 0.9867252747252748, 0.9899591348296012, 0.986730045553575]",0.5111111111111111,60.0,0.0,81.0,11.0,43.0
KNN,weight perturbation,"[0.0033333333333333335, 0.0033333333333333335, 0.0033333333333333335, 0.0033333333333333335, 0.0]","[0.25925925925925924, 0.2518518518518518, 0.2740740740740741, 0.21481481481481482, 0.24444444444444444]","[99.66666666666667, 99.66666666666667, 99.66666666666667, 99.66666666666667, 100.0]","[0.9966603970741901, 0.9966599637758669, 0.9966586586280239, 0.9966595019812547, 1.0]",0.7231819741778204,72.5925925925926,2.0,96.0,18.0,19.0
Neural Network,baseline,"[0.14, 0.13666666666666666, 0.16666666666666666, 0.12, 0.15333333333333332]","[0.22962962962962963, 0.18518518518518517, 0.1925925925925926, 0.1925925925925926, 0.17037037037037037]","[86.0, 86.33333333333333, 83.33333333333334, 88.0, 84.66666666666667]","[0.8425648332858364, 0.8508005613887967, 0.8231314784506274, 0.8681133212778782, 0.8195138888888889]",0.7640777232894926,78.51851851851852,1.0,105.0,11.0,18.0
