model type,technique,training loses,testing loses,model path,training accuracies,training f1,testing accuracies,testing f1,testing true positives,testing true negatives,testing false positives,testing false negatives
Decision tree,baseline,0.2186645128439239,0.22962962962962963,Models\DecisionTrees\20260410_Apr\baseline.pkl,78.1335487156076,0.0,77.03703703703704,0.0,0.0,104.0,0.0,31.0
Decision tree,batch normalisation,0.015408319140343792,0.562962962962963,Models\DecisionTrees\20260410_Apr\batch_normalisation.pkl,97.98509297139746,0.964868607325809,43.7037037037037,0.2830188679245283,15.0,44.0,52.0,24.0
Decision tree,dropout,0.16000122908363038,0.22962962962962963,Models\DecisionTrees\20260410_Apr\dropout.pkl,83.99987709163696,0.0,77.03703703703704,0.0,0.0,104.0,0.0,31.0
Decision tree,layer normalisation,0.002666233561006444,0.5703703703703704,Models\DecisionTrees\20260410_Apr\layer_normalisation.pkl,99.73337664389935,0.9941345021513198,42.96296296296296,0.2524271844660194,13.0,45.0,20.0,57.0
Decision tree,prune,0.31259635137745156,0.4,Models\DecisionTrees\20260410_Apr\prune.pkl,68.74036486225484,0.4178784082020914,60.0,0.2894736842105263,11.0,70.0,11.0,43.0
Decision tree,weight normalisation,0.2728987059505206,0.3925925925925926,Models\DecisionTrees\20260410_Apr\weight_normalisation.pkl,71.67190490404369,0.5436942303292488,60.74074074074074,0.3291139240506329,13.0,69.0,23.0,30.0
Decision tree,weight decay,0.20770284269485365,0.562962962962963,Models\DecisionTrees\20260410_Apr\weight_decay.pkl,78.78461187294786,0.689488826911228,43.7037037037037,0.09523809523809523,4.0,55.0,42.0,34.0
Decision tree,weight perturbation,0.1831088792513125,0.2518518518518518,Models\DecisionTrees\20260410_Apr\weight_perturbation.pkl,80.91909118044704,0.5255006695453668,74.81481481481481,0.19047619047619047,4.0,97.0,5.0,29.0
KNN,baseline,0.004446648991273507,0.28888888888888886,Models\KNN\20260410_Apr\baseline.pkl,99.55533510087264,0.9898893013891978,71.11111111111111,0.09302325581395349,2.0,94.0,10.0,29.0
KNN,batch normalisation,0.015407441223464963,0.4666666666666667,Models\KNN\20260410_Apr\batch_normalisation.pkl,97.98518076308537,0.9649556803251602,53.333333333333336,0.2222222222222222,9.0,63.0,33.0,30.0
KNN,dropout,0.010369954172738925,0.2518518518518518,Models\KNN\20260410_Apr\dropout.pkl,98.63720962899234,0.9664709204655321,74.81481481481481,0.32,8.0,93.0,11.0,23.0
KNN,layer normalisation,0.002667111477885274,0.48148148148148145,Models\KNN\20260410_Apr\layer_normalisation.pkl,99.73328885221147,0.9941458285095253,51.85185185185185,0.2696629213483146,12.0,58.0,7.0,58.0
KNN,prune,0.002666233561006444,0.4666666666666667,Models\KNN\20260410_Apr\prune.pkl,99.73337664389935,0.9959332571207385,53.333333333333336,0.3076923076923077,14.0,58.0,23.0,40.0
KNN,weight normalisation,0.2554027004723193,0.43703703703703706,Models\KNN\20260410_Apr\weight_normalisation.pkl,74.45972995276807,0.6010003105514632,56.2962962962963,0.16901408450704225,6.0,70.0,22.0,37.0
KNN,weight decay,0.01303794356750303,0.3925925925925926,Models\KNN\20260410_Apr\weight_decay.pkl,98.45916808596563,0.9818130092850458,60.74074074074074,0.03636363636363636,1.0,81.0,16.0,37.0
KNN,weight perturbation,0.005334222955770548,0.32592592592592595,Models\KNN\20260410_Apr\weight_perturbation.pkl,99.19986655663442,0.9879015797831097,67.4074074074074,0.08333333333333333,2.0,89.0,13.0,31.0
Neural Network,baseline,0.5519999999999999,0.7703703703703704,Models\NN\20260410_13\baseline.pt,44.8,0.21815094145791294,22.962962962962962,0.37349397590361444,31.0,0.0,104.0,0.0
Neural Network,batch normalisation,0.10999999999999999,0.3925925925925926,Models\NN\20260410_13\batch_normalisation.pt,88.99999999999999,0.7043582530378016,60.74074074074074,0.03636363636363636,1.0,81.0,15.0,38.0
