model type,technique,training loses,testing loses,model path,best fold,training f1,training accuracies,training precision,training true positives,training true negatives,training false positives,training false negatives,best training loses,best training accuracies,best training f1,best training precision,best training true positives,best training true negatives,best training false positives,best training false negatives,testing f1,testing accuracies,testing precision,testing true positives,testing true negatives,testing false positives,testing false negatives,best testing loses,best testing accuracies,best testing f1,best testing precision,best testing true positives,best testing true negatives,best testing false positives,best testing false negatives
Decision tree,baseline,"[0.2757731958762887, 0.28865979381443296, 0.2982005141388175, 0.3264781491002571, 0.2750642673521851, 0.2699228791773779, 0.29562982005141386, 0.2982005141388175, 0.2827763496143959, 0.27249357326478146]","[0.5694444444444444, 0.4652777777777778, 0.5208333333333334, 0.4791666666666667, 0.3888888888888889, 0.4097222222222222, 0.4652777777777778, 0.5625, 0.4305555555555556, 0.5034722222222222]",Models\DecisionTrees\20260816_16\baseline.pkl,9.0,"[0.599250936329588, 0.6, 0.6054421768707483, 0.4641350210970464, 0.6372881355932203, 0.6153846153846154, 0.5787545787545788, 0.6419753086419753, 0.6153846153846154, 0.6558441558441559]","[68.81443298969072, 71.1340206185567, 70.17994858611826, 67.3521850899743, 72.49357326478149, 73.00771208226222, 70.4370179948586, 70.17994858611826, 71.72236503856041, 68.63753213367609]","[0.7766990291262136, 0.7368421052631579, 0.717741935483871, 0.8333333333333334, 0.734375, 0.8, 0.7247706422018348, 0.6624203821656051, 0.7521367521367521, 0.7214285714285714]","[80, 84, 89, 55, 94, 84, 79, 104, 88, 101]","[201, 192, 184, 207, 188, 200, 195, 169, 191, 182]","[23, 30, 35, 11, 34, 21, 30, 53, 29, 39]","[84, 82, 81, 116, 73, 84, 85, 63, 81, 67]",0.27249357326478146,68.63753213367609,0.6558441558441559,0.7214285714285714,101.0,182.0,39.0,67.0,"[0.3880597014925373, 0.29473684210526313, 0.358974358974359, 0.34285714285714286, 0.48148148148148145, 0.42718446601941745, 0.29473684210526313, 0.509090909090909, 0.42592592592592593, 0.2127659574468085]","[40.97222222222222, 53.47222222222222, 47.91666666666667, 52.083333333333336, 61.111111111111114, 59.02777777777778, 53.47222222222222, 43.75, 56.94444444444444, 43.75]","[0.3939393939393939, 0.5185185185185185, 0.42857142857142855, 0.4864864864864865, 0.65, 0.6285714285714286, 0.5185185185185185, 0.4329896907216495, 0.575, 0.38461538461538464]","[26, 14, 21, 18, 26, 22, 14, 42, 23, 10]","[36, 63, 48, 57, 62, 63, 63, 21, 59, 60]","[40, 13, 28, 19, 14, 13, 13, 55, 17, 16]","[42, 54, 47, 50, 42, 46, 54, 26, 45, 58]",0.5034722222222222,43.75,0.2127659574468085,0.38461538461538464,10.0,60.0,16.0,58.0
Decision tree,batch normalisation,"[0.28350515463917525, 0.2963917525773196, 0.2570694087403599, 0.2776349614395887, 0.29562982005141386, 0.2853470437017995, 0.2570694087403599, 0.3341902313624679, 0.2930591259640103, 0.2596401028277635]","[0.5277777777777778, 0.5, 0.4027777777777778, 0.5347222222222222, 0.375, 0.5347222222222222, 0.3402777777777778, 0.3958333333333333, 0.5902777777777778, 0.5902777777777778]",Models\DecisionTrees\20260816_16\batch_normalisation.pkl,9.0,"[0.46601941747572817, 0.5593869731800766, 0.5098039215686274, 0.46534653465346537, 0.5692883895131086, 0.47393364928909953, 0.5192307692307693, 0.6012269938650306, 0.6095890410958904, 0.6833855799373041]","[71.64948453608247, 70.36082474226805, 74.293059125964, 72.23650385604114, 70.4370179948586, 71.46529562982005, 74.293059125964, 66.58097686375322, 70.69408740359897, 74.03598971722364]","[0.8, 0.6134453781512605, 0.8, 0.7704918032786885, 0.6031746031746031, 0.8333333333333334, 0.7605633802816901, 0.5297297297297298, 0.5973154362416108, 0.6123595505617978]","[48, 73, 52, 47, 76, 50, 54, 98, 89, 109]","[230, 200, 237, 234, 198, 228, 235, 161, 186, 179]","[12, 46, 13, 14, 50, 10, 17, 87, 60, 69]","[98, 69, 87, 94, 65, 101, 83, 43, 54, 32]",0.2596401028277635,74.03598971722364,0.6833855799373041,0.6123595505617978,109.0,179.0,69.0,32.0,"[0.3968253968253968, 0.3076923076923077, 0.46296296296296297, 0.384, 0.4807692307692308, 0.384, 0.4948453608247423, 0.632258064516129, 0.5303867403314917, 0.5303867403314917]","[47.22222222222222, 50.0, 59.72222222222222, 46.52777777777778, 62.5, 46.52777777777778, 65.97222222222221, 60.416666666666664, 40.97222222222222, 40.97222222222222]","[0.35714285714285715, 0.3333333333333333, 0.4807692307692308, 0.34782608695652173, 0.5208333333333334, 0.34782608695652173, 0.5853658536585366, 0.494949494949495, 0.384, 0.384]","[25, 16, 25, 24, 25, 24, 24, 49, 48, 48]","[43, 56, 61, 43, 65, 43, 71, 38, 11, 11]","[45, 32, 27, 45, 23, 45, 17, 50, 77, 77]","[31, 40, 31, 32, 31, 32, 32, 7, 8, 8]",0.5902777777777778,40.97222222222222,0.5303867403314917,0.384,48.0,11.0,77.0,8.0
Decision tree,dropout,"[0.26804123711340205, 0.25, 0.2570694087403599, 0.2416452442159383, 0.2596401028277635, 0.23393316195372751, 0.2493573264781491, 0.2236503856041131, 0.2519280205655527, 0.2467866323907455]","[0.4756944444444444, 0.5069444444444444, 0.6770833333333333, 0.7083333333333334, 0.3541666666666667, 0.6770833333333333, 0.6493055555555556, 0.5104166666666666, 0.6527777777777778, 0.6041666666666667]",Models\DecisionTrees\20260816_16\dropout.pkl,7.0,"[0.6090225563909775, 0.6881028938906752, 0.6296296296296297, 0.678082191780822, 0.6480836236933798, 0.689419795221843, 0.657243816254417, 0.6903914590747331, 0.6549295774647887, 0.6571428571428571]","[68.04123711340206, 72.9381443298969, 67.09511568123393, 75.83547557840618, 74.03598971722364, 73.26478149100257, 72.75064267352185, 75.06426735218508, 71.46529562982005, 71.97943444730078]","[0.6923076923076923, 0.6815286624203821, 0.7142857142857143, 0.7122302158273381, 0.7099236641221374, 0.7112676056338029, 0.7099236641221374, 0.7238805970149254, 0.7153846153846154, 0.7301587301587301]","[81, 107, 85, 99, 93, 101, 93, 97, 93, 92]","[203, 184, 204, 196, 195, 197, 199, 205, 198, 201]","[36, 50, 34, 40, 38, 41, 38, 37, 37, 34]","[68, 47, 66, 54, 63, 50, 59, 50, 61, 62]",0.2236503856041131,75.06426735218508,0.6903914590747331,0.7238805970149254,97.0,205.0,37.0,50.0,"[0.32989690721649484, 0.27722772277227725, 0.17543859649122806, 0.16393442622950818, 0.37037037037037035, 0.21311475409836064, 0.2809917355371901, 0.1797752808988764, 0.2033898305084746, 0.21359223300970873]","[49.30555555555556, 49.30555555555556, 29.166666666666668, 29.166666666666668, 64.58333333333334, 27.77777777777778, 28.47222222222222, 48.61111111111111, 34.72222222222222, 34.72222222222222]","[0.25806451612903225, 0.21212121212121213, 0.12658227848101267, 0.11494252873563218, 0.32608695652173914, 0.14942528735632185, 0.19767441860465115, 0.14814814814814814, 0.14457831325301204, 0.16176470588235295]","[16, 14, 10, 10, 15, 13, 17, 8, 12, 11]","[63, 57, 40, 32, 78, 35, 40, 63, 38, 52]","[46, 52, 69, 77, 31, 74, 69, 46, 71, 57]","[19, 21, 25, 25, 20, 22, 18, 27, 23, 24]",0.5104166666666666,48.61111111111111,0.1797752808988764,0.14814814814814814,8.0,63.0,46.0,27.0
Decision tree,layer normalisation,"[0.18298969072164947, 0.17783505154639176, 0.18508997429305912, 0.16452442159383032, 0.16452442159383032, 0.17480719794344474, 0.18508997429305912, 0.17737789203084833, 0.2133676092544987, 0.19023136246786632]","[0.7222222222222222, 0.4722222222222222, 0.39583333333333337, 0.3263888888888889, 0.3819444444444444, 0.6111111111111112, 0.3472222222222222, 0.4722222222222222, 0.3402777777777778, 0.3611111111111111]",Models\DecisionTrees\20260816_16\layer_normalisation.pkl,3.0,"[0.8086253369272237, 0.8130081300813008, 0.7966101694915254, 0.8350515463917526, 0.827027027027027, 0.807909604519774, 0.8125, 0.7915407854984894, 0.7844155844155845, 0.7873563218390804]","[78.6082474226804, 82.21649484536083, 78.1491002570694, 83.54755784061697, 83.54755784061697, 80.46272493573264, 81.49100257069408, 82.26221079691517, 78.66323907455013, 80.97686375321337]","[0.8379888268156425, 0.8426966292134831, 0.8597560975609756, 0.8393782383419689, 0.8547486033519553, 0.89937106918239, 0.8210526315789474, 0.916083916083916, 0.7864583333333334, 0.85625]","[150, 150, 141, 162, 153, 143, 156, 131, 151, 137]","[167, 169, 176, 163, 172, 178, 161, 189, 155, 178]","[29, 28, 23, 31, 26, 16, 34, 12, 41, 23]","[42, 41, 49, 33, 38, 52, 38, 57, 42, 51]",0.16452442159383032,83.54755784061697,0.8350515463917526,0.8393782383419689,162.0,163.0,31.0,33.0,"[0.3333333333333333, 0.5072463768115942, 0.5585585585585585, 0.43373493975903615, 0.40860215053763443, 0.30158730158730157, 0.5833333333333334, 0.3333333333333333, 0.6016260162601627, 0.5185185185185185]","[27.77777777777778, 52.77777777777778, 52.083333333333336, 67.36111111111111, 61.80555555555556, 38.88888888888889, 65.27777777777779, 52.77777777777778, 65.97222222222221, 63.888888888888886]","[0.26804123711340205, 0.4430379746835443, 0.5961538461538461, 0.75, 0.5588235294117647, 0.2835820895522388, 0.5737704918032787, 0.3953488372093023, 0.578125, 0.5714285714285714]","[26, 35, 31, 18, 19, 19, 35, 17, 37, 28]","[14, 41, 64, 79, 70, 37, 59, 59, 58, 64]","[71, 44, 21, 6, 15, 48, 26, 26, 27, 21]","[33, 24, 28, 41, 40, 40, 24, 42, 22, 31]",0.3263888888888889,67.36111111111111,0.43373493975903615,0.75,18.0,79.0,6.0,41.0
Decision tree,prune,"[0.32216494845360827, 0.2654639175257732, 0.2827763496143959, 0.32904884318766064, 0.3033419023136247, 0.2853470437017995, 0.2622107969151671, 0.2622107969151671, 0.2210796915167095, 0.2467866323907455]","[0.4652777777777778, 0.4236111111111111, 0.4166666666666667, 0.4166666666666667, 0.3888888888888889, 0.4166666666666667, 0.5, 0.4166666666666667, 0.4583333333333333, 0.4583333333333333]",Models\DecisionTrees\20260816_16\prune.pkl,8.0,"[0.7771836007130125, 0.8130671506352087, 0.7977941176470589, 0.7714285714285715, 0.7885304659498208, 0.7970749542961609, 0.7984189723320159, 0.8104089219330854, 0.8326848249027238, 0.8153846153846154]","[67.78350515463917, 73.4536082474227, 71.72236503856041, 67.09511568123393, 69.66580976863753, 71.46529562982005, 73.7789203084833, 73.7789203084833, 77.89203084832906, 75.32133676092545]","[0.662613981762918, 0.7111111111111111, 0.6955128205128205, 0.6486486486486487, 0.6707317073170732, 0.692063492063492, 0.7318840579710145, 0.7194719471947195, 0.7535211267605634, 0.7285223367697594]","[218, 224, 217, 216, 220, 218, 202, 218, 214, 212]","[45, 61, 62, 45, 51, 60, 85, 69, 89, 81]","[111, 91, 95, 117, 108, 97, 74, 85, 70, 79]","[14, 12, 15, 11, 10, 14, 28, 17, 16, 17]",0.2210796915167095,77.89203084832906,0.8326848249027238,0.7535211267605634,214.0,89.0,70.0,16.0,"[0.6699507389162561, 0.6473988439306358, 0.6808510638297872, 0.6808510638297872, 0.7083333333333334, 0.6808510638297872, 0.52, 0.6808510638297872, 0.6373626373626373, 0.6373626373626373]","[53.47222222222222, 57.638888888888886, 58.333333333333336, 58.333333333333336, 61.111111111111114, 58.333333333333336, 50.0, 58.333333333333336, 54.166666666666664, 54.166666666666664]","[0.6238532110091743, 0.7088607594936709, 0.6808510638297872, 0.6808510638297872, 0.6938775510204082, 0.6808510638297872, 0.6964285714285714, 0.6808510638297872, 0.6590909090909091, 0.6590909090909091]","[68, 56, 64, 64, 68, 64, 39, 64, 58, 58]","[9, 27, 20, 20, 20, 20, 33, 20, 20, 20]","[41, 23, 30, 30, 30, 30, 17, 30, 30, 30]","[26, 38, 30, 30, 26, 30, 55, 30, 36, 36]",0.4583333333333333,54.166666666666664,0.6373626373626373,0.6590909090909091,58.0,20.0,30.0,36.0
Decision tree,weight normalisation,"[0.25773195876288657, 0.2706185567010309, 0.2493573264781491, 0.2596401028277635, 0.2802056555269923, 0.2544987146529563, 0.2647814910025707, 0.2570694087403599, 0.2544987146529563, 0.27249357326478146]","[0.4583333333333333, 0.4166666666666667, 0.5069444444444444, 0.48263888888888884, 0.4930555555555556, 0.4513888888888889, 0.4791666666666667, 0.4583333333333333, 0.4583333333333333, 0.4270833333333333]",Models\DecisionTrees\20260816_16\weight_normalisation.pkl,0.0,"[0.8098859315589354, 0.7895791583166333, 0.7922912205567452, 0.7645687645687645, 0.7665952890792291, 0.7804878048780488, 0.7867494824016563, 0.806949806949807, 0.7765237020316027, 0.7601809954751131]","[74.22680412371135, 72.9381443298969, 75.06426735218508, 63.239074550128535, 71.97943444730078, 69.66580976863753, 73.52185089974293, 74.293059125964, 74.55012853470437, 65.55269922879178]","[0.7344827586206897, 0.7269372693726938, 0.7905982905982906, 0.8282828282828283, 0.7682403433476395, 0.822429906542056, 0.7569721115537849, 0.7307692307692307, 0.8113207547169812, 0.7850467289719626]","[213, 197, 185, 164, 179, 176, 190, 209, 172, 168]","[75, 86, 107, 124, 101, 114, 96, 80, 118, 115]","[77, 74, 49, 34, 54, 38, 61, 77, 40, 46]","[23, 31, 48, 67, 55, 61, 42, 23, 59, 60]",0.25773195876288657,74.22680412371135,0.8098859315589354,0.7344827586206897,213.0,75.0,77.0,23.0,"[0.6413043478260869, 0.7142857142857143, 0.5034013605442177, 0.5521472392638037, 0.5534591194968553, 0.5070422535211268, 0.6270270270270271, 0.6666666666666666, 0.6597938144329897, 0.68]","[54.166666666666664, 58.333333333333336, 49.30555555555556, 44.44444444444444, 50.69444444444444, 42.36111111111111, 52.083333333333336, 54.166666666666664, 54.166666666666664, 53.47222222222222]","[0.6704545454545454, 0.6578947368421053, 0.7254901960784313, 0.6716417910447762, 0.6984126984126984, 0.782608695652174, 0.651685393258427, 0.6470588235294118, 0.6530612244897959, 0.6538461538461539]","[59, 75, 37, 45, 44, 36, 58, 66, 64, 68]","[19, 9, 34, 26, 29, 38, 17, 12, 14, 12]","[29, 39, 14, 22, 19, 10, 31, 36, 34, 36]","[37, 21, 59, 51, 52, 60, 38, 30, 32, 28]",0.4583333333333333,54.166666666666664,0.6413043478260869,0.6704545454545454,59.0,19.0,29.0,37.0
Decision tree,weight decay,"[0.211340206185567, 0.21391752577319587, 0.2236503856041131, 0.20822622107969152, 0.21079691516709512, 0.20565552699228792, 0.2262210796915167, 0.2185089974293059, 0.20565552699228792, 0.20565552699228792]","[0.4652777777777778, 0.4791666666666667, 0.3402777777777778, 0.4722222222222222, 0.4791666666666667, 0.4722222222222222, 0.4791666666666667, 0.4791666666666667, 0.4722222222222222, 0.4166666666666667]",Models\DecisionTrees\20260816_16\weight_decay.pkl,8.0,"[0.8614864864864865, 0.8605042016806723, 0.8542713567839196, 0.8620102214650767, 0.8619528619528619, 0.863481228668942, 0.8508474576271187, 0.8551959114139693, 0.8648648648648649, 0.864406779661017]","[78.8659793814433, 78.6082474226804, 77.6349614395887, 79.17737789203085, 78.9203084832905, 79.43444730077121, 77.37789203084833, 78.1491002570694, 79.43444730077121, 79.43444730077121]","[0.7657657657657657, 0.7619047619047619, 0.7589285714285714, 0.7689969604863222, 0.764179104477612, 0.7713414634146342, 0.7492537313432835, 0.7537537537537538, 0.7734138972809668, 0.770392749244713]","[255, 256, 255, 253, 256, 253, 251, 251, 256, 255]","[51, 49, 47, 55, 51, 56, 50, 53, 53, 54]","[78, 80, 81, 76, 79, 75, 84, 82, 75, 76]","[4, 3, 6, 5, 3, 5, 4, 3, 5, 4]",0.20565552699228792,79.43444730077121,0.8648648648648649,0.7734138972809668,256.0,53.0,75.0,5.0,"[0.6528497409326425, 0.6461538461538462, 0.7841409691629956, 0.6494845360824743, 0.6461538461538462, 0.6494845360824743, 0.6461538461538462, 0.6461538461538462, 0.6494845360824743, 0.6907216494845361]","[53.47222222222222, 52.083333333333336, 65.97222222222221, 52.77777777777778, 52.083333333333336, 52.77777777777778, 52.083333333333336, 52.083333333333336, 52.77777777777778, 58.333333333333336]","[0.63, 0.6176470588235294, 0.664179104477612, 0.6237623762376238, 0.6176470588235294, 0.6237623762376238, 0.6176470588235294, 0.6176470588235294, 0.6237623762376238, 0.6633663366336634]","[63, 63, 89, 63, 63, 63, 63, 63, 63, 67]","[14, 12, 6, 13, 12, 13, 12, 12, 13, 17]","[37, 39, 45, 38, 39, 38, 39, 39, 38, 34]","[30, 30, 4, 30, 30, 30, 30, 30, 30, 26]",0.4722222222222222,52.77777777777778,0.6494845360824743,0.6237623762376238,63.0,13.0,38.0,30.0
Decision tree,weight perturbation,"[0.22938144329896906, 0.21649484536082475, 0.2390745501285347, 0.2416452442159383, 0.23393316195372751, 0.22879177377892032, 0.23393316195372751, 0.2442159383033419, 0.2185089974293059, 0.2262210796915167]","[0.4722222222222222, 0.4375, 0.4652777777777778, 0.5416666666666667, 0.5590277777777778, 0.46875, 0.53125, 0.4305555555555556, 0.375, 0.4861111111111111]",Models\DecisionTrees\20260816_16\weight_perturbation.pkl,8.0,"[0.7478753541076487, 0.732484076433121, 0.7190332326283988, 0.718562874251497, 0.736231884057971, 0.72782874617737, 0.6996699669966997, 0.7112462006079028, 0.7803617571059431, 0.751412429378531]","[77.0618556701031, 78.35051546391753, 76.09254498714652, 70.95115681233933, 74.293059125964, 71.72236503856041, 71.97943444730078, 73.00771208226222, 78.1491002570694, 77.37789203084833]","[0.717391304347826, 0.7931034482758621, 0.7677419354838709, 0.7643312101910829, 0.7383720930232558, 0.7933333333333333, 0.8091603053435115, 0.75, 0.7259615384615384, 0.7307692307692307]","[132, 115, 119, 120, 127, 119, 106, 117, 151, 133]","[167, 189, 177, 175, 171, 181, 192, 177, 153, 168]","[52, 30, 36, 37, 45, 31, 25, 39, 57, 49]","[37, 54, 57, 57, 46, 58, 66, 56, 28, 39]",0.2185089974293059,78.1491002570694,0.7803617571059431,0.7259615384615384,151.0,153.0,57.0,28.0,"[0.2765957446808511, 0.5333333333333333, 0.5179856115107914, 0.31932773109243695, 0.3333333333333333, 0.47761194029850745, 0.31932773109243695, 0.4878048780487805, 0.6086956521739131, 0.4262295081967213]","[52.77777777777778, 56.25, 53.47222222222222, 40.97222222222222, 43.75, 50.69444444444444, 38.88888888888889, 52.083333333333336, 62.5, 51.388888888888886]","[0.4642857142857143, 0.5217391304347826, 0.4931506849315068, 0.3584905660377358, 0.37037037037037035, 0.47058823529411764, 0.3584905660377358, 0.5263157894736842, 0.5833333333333334, 0.4642857142857143]","[13, 36, 36, 19, 20, 32, 19, 30, 42, 26]","[63, 45, 41, 44, 44, 42, 44, 51, 48, 48]","[15, 33, 37, 34, 34, 36, 34, 27, 30, 30]","[53, 30, 30, 47, 46, 34, 47, 36, 24, 40]",0.375,62.5,0.6086956521739131,0.5833333333333334,42.0,48.0,30.0,24.0
KNN,baseline,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5625, 0.5069444444444444, 0.5277777777777778, 0.5277777777777778, 0.5, 0.5069444444444444, 0.5347222222222222, 0.5, 0.4652777777777778, 0.4930555555555556]",Models\KNN\20260816_16\baseline.pkl,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[169, 164, 171, 169, 171, 168, 165, 168, 167, 162]","[219, 224, 218, 220, 218, 221, 224, 221, 222, 227]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,100.0,1.0,1.0,169.0,219.0,0.0,0.0,"[0.4413793103448276, 0.4748201438848921, 0.4794520547945205, 0.5128205128205128, 0.52, 0.5034013605442177, 0.48322147651006714, 0.4857142857142857, 0.5503355704697986, 0.5103448275862069]","[43.75, 49.30555555555556, 47.22222222222222, 47.22222222222222, 50.0, 49.30555555555556, 46.52777777777778, 50.0, 53.47222222222222, 50.69444444444444]","[0.4155844155844156, 0.4647887323943662, 0.44871794871794873, 0.45454545454545453, 0.47560975609756095, 0.46835443037974683, 0.4444444444444444, 0.4722222222222222, 0.5061728395061729, 0.4805194805194805]","[32, 33, 35, 40, 39, 37, 36, 34, 41, 37]","[31, 38, 33, 28, 33, 34, 31, 38, 36, 36]","[45, 38, 43, 48, 43, 42, 45, 38, 40, 40]","[36, 35, 33, 28, 29, 31, 32, 34, 27, 31]",0.5625,43.75,0.4413793103448276,0.4155844155844156,32.0,31.0,45.0,36.0
KNN,batch normalisation,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4305555555555556, 0.4305555555555556, 0.4375, 0.4444444444444444, 0.4930555555555556, 0.4513888888888889, 0.4652777777777778, 0.4652777777777778, 0.4444444444444444, 0.4305555555555556]",Models\KNN\20260816_16\batch_normalisation.pkl,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[145, 145, 142, 143, 137, 144, 143, 136, 146, 141]","[243, 243, 247, 246, 252, 245, 246, 253, 243, 248]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,100.0,1.0,1.0,145.0,243.0,0.0,0.0,"[0.5441176470588235, 0.5303030303030303, 0.5263157894736842, 0.5223880597014925, 0.49645390070921985, 0.5185185185185185, 0.49624060150375937, 0.524822695035461, 0.5428571428571428, 0.5079365079365079]","[56.94444444444444, 56.94444444444444, 56.25, 55.55555555555556, 50.69444444444444, 54.861111111111114, 53.47222222222222, 53.47222222222222, 55.55555555555556, 56.94444444444444]","[0.4625, 0.4605263157894737, 0.45454545454545453, 0.44871794871794873, 0.4117647058823529, 0.4430379746835443, 0.42857142857142855, 0.43529411764705883, 0.4523809523809524, 0.45714285714285713]","[37, 35, 35, 35, 35, 35, 33, 37, 38, 32]","[45, 47, 46, 45, 38, 44, 44, 40, 42, 50]","[43, 41, 42, 43, 50, 44, 44, 48, 46, 38]","[19, 21, 21, 21, 21, 21, 23, 19, 18, 24]",0.4305555555555556,56.94444444444444,0.5441176470588235,0.4625,37.0,45.0,43.0,19.0
