model type,technique,training loses,testing loses,training accuracies,training f1,testing accuracies,testing f1,testing true positives,testing true negatives,testing false positives,testing false negatives
Decision tree,baseline,0.21096518181658558,0.37777777777777777,78.10229487472127,0.3585049273909773,62.22222222222222,0.19047619047619047,6.0,78.0,27.0,24.0
Decision tree,batch normalisation,0.17481256474636983,0.3925925925925926,81.15586536266747,0.5687394522154123,60.74074074074074,0.208955223880597,7.0,75.0,26.0,27.0
Decision tree,dropout,0.12889312239917122,0.2962962962962963,86.54785524906502,0.38302394491583575,70.37037037037037,0.23076923076923078,6.0,89.0,14.0,26.0
Decision tree,layer normalisation,0.11761628009060103,0.5666666666666667,87.46843888820607,0.8131839511011882,41.48148148148148,0.2549019607843137,13.0,46.0,54.0,22.0
Decision tree,prune,0.2672668691728267,0.3111111111111111,73.27331308271732,0.5100872374616952,68.88888888888889,0.34375,11.0,82.0,16.0,26.0
Decision tree,weight normalisation,0.3155654662616544,0.47777777777777775,66.93010025810757,0.42348655357529513,50.37037037037037,0.1111111111111111,4.0,67.0,25.0,39.0
Decision tree,weight decay,0.23081400453005108,0.362962962962963,75.73332396888664,0.5700545305552602,61.48148148148148,0.4842105263157895,23.0,63.0,16.0,33.0
Decision tree,weight perturbation,0.19347707759029373,0.34444444444444444,80.00008779168787,0.45313546004242405,63.70370370370371,0.21428571428571427,6.0,85.0,22.0,22.0
KNN,baseline,0.14548223974154126,0.4444444444444444,85.45177602584587,0.5901243118919878,55.55555555555556,0.21052631578947367,8.0,67.0,38.0,22.0
KNN,batch normalisation,0.17570628412901865,0.5185185185185185,82.42937158709813,0.5508176211019609,48.148148148148145,0.18604651162790697,8.0,57.0,44.0,26.0
KNN,dropout,0.01866539076080277,0.34814814814814815,97.45228521763559,0.9400118243605011,65.18518518518519,0.29850746268656714,10.0,78.0,25.0,22.0
KNN,layer normalisation,0.15095780731480346,0.5407407407407407,80.97843836145594,0.756516519664699,39.25925925925926,0.21739130434782608,10.0,53.0,47.0,25.0
KNN,prune,0.21511333906905689,0.362962962962963,78.4886660930943,0.6923203771024559,63.70370370370371,0.3466666666666667,13.0,73.0,25.0,24.0
KNN,weight normalisation,0.029628816743630715,0.4740740740740741,95.55598475936299,0.9565305440889403,52.59259259259259,0.1794871794871795,7.0,64.0,28.0,36.0
KNN,weight decay,0.207401717205415,0.3925925925925926,79.25982827945849,0.6238843491315358,60.74074074074074,0.2535211267605634,9.0,73.0,6.0,47.0
KNN,weight perturbation,0.021330746404930382,0.45185185185185184,97.86692535950695,0.9551839371055107,54.81481481481482,0.26506024096385544,11.0,63.0,44.0,17.0
Neural Network,baseline,0.15933333333333333,0.4074074074074074,84.06666666666666,0.40923204702274474,59.25925925925925,0.15384615384615385,5.0,75.0,30.0,25.0
Neural Network,batch normalisation,0.12266666666666666,0.3851851851851852,87.73333333333332,0.6335036703333982,61.48148148148148,0.037037037037037035,1.0,82.0,19.0,33.0
Neural Network,dropout,0.15733333333333335,0.23703703703703705,84.26666666666668,0.0,76.29629629629629,0.0,0.0,103.0,0.0,32.0
Neural Network,layer normalisation,0.21733333333333332,0.48148148148148145,78.26666666666665,0.5150100661992036,51.85185185185185,0.3010752688172043,14.0,56.0,44.0,21.0
Neural Network,prune,0.10999999999999999,0.31851851851851853,89.0,0.8422497031309382,68.14814814814815,0.39436619718309857,14.0,78.0,20.0,23.0
Neural Network,weight normalisation,0.15466666666666667,0.5703703703703704,84.53333333333333,0.7502406300260361,42.96296296296296,0.2222222222222222,11.0,47.0,45.0,32.0
Neural Network,weight decay,0.20400000000000001,0.43703703703703706,79.6,0.5067519089837544,56.2962962962963,0.2891566265060241,12.0,64.0,15.0,44.0
Neural Network,weight perturbation,0.15733333333333333,0.21481481481481482,84.26666666666668,0.5034213829461976,78.51851851851852,0.12121212121212122,2.0,104.0,3.0,26.0
Random forest,baseline,0.2213342580724457,0.2222222222222222,77.86657419275544,0.0,77.77777777777779,0.0,0.0,105.0,0.0,30.0
Random forest,batch normalisation,0.23999789299949081,0.2518518518518518,76.00021070005091,0.0,74.81481481481481,0.0,0.0,101.0,0.0,34.0
Random forest,dropout,0.12266254631011538,0.28888888888888886,87.73374536898847,0.3759469507445236,71.11111111111111,0.23529411764705882,6.0,90.0,13.0,26.0
Random forest,layer normalisation,0.10400417888434324,0.34814814814814815,89.59958211156568,0.8269115110016358,65.18518518518519,0.0784313725490196,2.0,86.0,14.0,33.0
Random forest,prune,0.06015047495303144,0.3333333333333333,93.98495250469685,0.9193486038126046,66.66666666666666,0.4,15.0,75.0,23.0,22.0
Random forest,weight normalisation,0.05451600442470107,0.5185185185185185,94.51872596702545,0.9187003795361027,47.40740740740741,0.10256410256410256,4.0,61.0,31.0,39.0
Random forest,weight decay,0.23792513124857334,0.4148148148148148,76.20748687514266,0.4401537213434361,58.51851851851851,0.0,0.0,79.0,0.0,56.0
Random forest,weight perturbation,0.20325707162045897,0.28888888888888886,79.6742928379541,0.26533338134346857,71.11111111111111,0.04878048780487805,1.0,95.0,12.0,27.0
svm,baseline,0.13482169508190964,0.3925925925925926,86.51783049180904,0.5992570077625089,60.74074074074074,0.1016949152542373,3.0,79.0,26.0,27.0
svm,batch normalisation,0.16029181957052305,0.5185185185185185,83.9708180429477,0.5628693778139665,48.148148148148145,0.07894736842105263,3.0,62.0,39.0,31.0
svm,dropout,0.050076378768458205,0.3037037037037037,94.99236212315418,0.8189043094989849,69.62962962962963,0.3050847457627119,9.0,85.0,18.0,23.0
svm,layer normalisation,0.0770336944498095,0.3851851851851852,92.29663055501905,0.8762143977722383,61.48148148148148,0.2571428571428571,9.0,74.0,26.0,26.0
svm,prune,0.11110389268344074,0.37037037037037035,88.88961073165592,0.8398537868064467,62.96296296296296,0.4318181818181818,19.0,66.0,32.0,18.0
svm,weight normalisation,0.1525880989587906,0.4740740740740741,84.74119010412093,0.7728236133618087,52.59259259259259,0.39622641509433965,21.0,50.0,42.0,22.0
svm,weight decay,0.08474180464593611,0.45925925925925926,91.52581953540638,0.8646355298796007,54.074074074074076,0.42592592592592593,23.0,50.0,29.0,33.0
svm,weight perturbation,0.2838542306814391,0.32592592592592595,71.6145769318561,0.35692398888132837,67.4074074074074,0.21428571428571427,6.0,85.0,22.0,22.0
