model type,technique,training loses,testing loses,training accuracies,training f1,testing f1,testing accuracies,testing true positive,testing true negative,testing false positive,testing false negative
Decision tree,baseline,"[0.21, 0.22333333333333333, 0.24, 0.24, 0.23333333333333334]","[0.2814814814814815, 0.31851851851851853, 0.337037037037037, 0.362962962962963, 0.362962962962963]","[79.0, 73.0, 72.0, 76.0, 76.66666666666667]","[0.7624242424242424, 0.7288590341833967, 0.7117880369329587, 0.7376250753465943, 0.75016835016835]",0.794215729673897,85.92592592592592,0.0,116.0,0.0,19.0
Decision tree,batch normalisation,"[0.013333333333333334, 0.016666666666666666, 0.016666666666666666, 0.01, 0.006666666666666667]","[0.4666666666666667, 0.4740740740740741, 0.43333333333333335, 0.362962962962963, 0.4148148148148148]","[98.33333333333333, 98.0, 96.66666666666667, 99.0, 99.33333333333333]","[0.9865024154589372, 0.9831093705624728, 0.9829592090378283, 0.9899193379594595, 0.9933002070393375]",0.7609514429820634,78.51851851851852,11.0,95.0,7.0,22.0
Decision tree,dropout,"[0.15, 0.14333333333333334, 0.15333333333333332, 0.15333333333333332, 0.12666666666666668]","[0.23703703703703705, 0.362962962962963, 0.24444444444444444, 0.22962962962962963, 0.25925925925925924]","[85.0, 85.66666666666667, 84.66666666666667, 84.66666666666667, 87.33333333333333]","[0.8335902376364803, 0.8378285714285715, 0.8191331269349845, 0.7998365679264555, 0.8593905472636815]",0.6805555555555556,77.77777777777779,0.0,105.0,0.0,30.0
Decision tree,layer normalisation,"[0.16333333333333333, 0.17, 0.16333333333333333, 0.16666666666666666, 0.18333333333333332]","[0.6296296296296297, 0.6222222222222222, 0.6296296296296297, 0.6296296296296297, 0.6296296296296297]","[83.66666666666667, 83.0, 83.66666666666667, 83.33333333333334, 81.66666666666667]","[0.8096385432335111, 0.8345438599013674, 0.8076452575117231, 0.8257415254237288, 0.7802616988245731]",0.35078077678795666,37.03703703703704,12.0,38.0,32.0,53.0
Decision tree,prune,"[0.056666666666666664, 0.056666666666666664, 0.07666666666666666, 0.07333333333333333, 0.08]","[0.39629629629629626, 0.4222222222222222, 0.29259259259259257, 0.4037037037037037, 0.3592592592592593]","[92.66666666666666, 93.33333333333333, 88.33333333333333, 89.66666666666666, 88.33333333333333]","[0.9424125111750262, 0.9428269913253229, 0.9193756550580432, 0.9245819521178636, 0.9172815734989649]",0.5951621724817601,60.0,10.0,71.0,24.0,30.0
Decision tree,weight normalisation,"[0.25333333333333335, 0.2866666666666667, 0.32666666666666666, 0.31, 0.25666666666666665]","[0.4148148148148148, 0.4444444444444444, 0.3666666666666667, 0.43703703703703706, 0.45185185185185184]","[74.66666666666667, 67.66666666666666, 60.0, 69.0, 74.33333333333333]","[0.7439235055724417, 0.6969662162162162, 0.6153467202141901, 0.6857339950022876, 0.7435147988888761]",0.6833183728160896,67.4074074074074,3.0,99.0,11.0,22.0
Decision tree,weight decay,"[0.26666666666666666, 0.25, 0.23, 0.26, 0.23666666666666666]","[0.42962962962962964, 0.4222222222222222, 0.3074074074074074, 0.5037037037037037, 0.3333333333333333]","[73.33333333333333, 75.0, 72.33333333333334, 69.33333333333334, 76.33333333333333]","[0.7248502375542244, 0.7404175020639227, 0.7502577252379503, 0.7141750073163593, 0.7388847913574391]",0.530383777442601,63.70370370370371,0.0,92.0,0.0,43.0
Decision tree,weight perturbation,"[0.25, 0.24, 0.24666666666666667, 0.21666666666666667, 0.23333333333333334]","[0.3925925925925926, 0.25925925925925924, 0.15555555555555556, 0.2814814814814815, 0.3851851851851852]","[75.0, 76.0, 75.33333333333333, 78.33333333333333, 76.66666666666667]","[0.7537815126050419, 0.7323524861101343, 0.6473510773130545, 0.7838201957370396, 0.7453003178087204]",0.697584541062802,70.37037037037037,0.0,95.0,19.0,21.0
KNN,baseline,"[0.0033333333333333335, 0.0033333333333333335, 0.0033333333333333335, 0.0033333333333333335, 0.0]","[0.16296296296296298, 0.14074074074074075, 0.14814814814814814, 0.14074074074074075, 0.14814814814814814]","[99.66666666666667, 99.66666666666667, 99.66666666666667, 99.66666666666667, 100.0]","[0.99665934109156, 0.9966598131826525, 0.99665934109156, 0.996657905217045, 1.0]",0.7941433303221921,83.7037037037037,1.0,112.0,4.0,18.0
KNN,batch normalisation,"[0.15666666666666668, 0.13333333333333333, 0.15333333333333332, 0.15, 0.13666666666666666]","[0.4148148148148148, 0.4740740740740741, 0.4222222222222222, 0.4444444444444444, 0.45185185185185184]","[84.33333333333334, 86.66666666666667, 84.66666666666667, 85.0, 86.33333333333333]","[0.8341402255617477, 0.859989088925259, 0.8368387917755006, 0.8362445185974597, 0.8525292195880432]",0.5640058479532164,54.074074074074076,9.0,64.0,38.0,24.0
