model type,technique,training loses,testing loses,model path,training accuracies,training f1,training true positives,training true negatives,training false positives,training false negatives,testing accuracies,testing f1,testing true positives,testing true negatives,testing false positives,testing false negatives
Decision tree,baseline,"[0.14540059347181009, 0.18397626112759644, 0.18694362017804153, 0.17507418397626112, 0.17507418397626112, 0.16568047337278108, 0.1834319526627219, 0.15976331360946747, 0.16568047337278108, 0.17455621301775148]",0.2962962962962963,Models\DecisionTrees\20260415_Apr\baseline.pkl,"[85.16320474777447, 80.1186943620178, 79.22848664688428, 82.19584569732937, 82.19584569732937, 83.13609467455622, 77.2189349112426, 80.76923076923077, 83.13609467455622, 77.2189349112426]","[0.6697108066971081, 0.5581395348837209, 0.6090373280943026, 0.5958132045088568, 0.6517311608961304, 0.6072351421188631, 0.6377551020408163, 0.6666666666666667, 0.6157635467980296, 0.6451612903225806]",38.0,276.0,17.0,44.0,70.37037037037037,0.07692307692307693,1.0,94.0,10.0,30.0
Decision tree,batch normalisation,"[0.228486646884273, 0.2195845697329377, 0.21364985163204747, 0.19584569732937684, 0.2195845697329377, 0.21597633136094674, 0.21893491124260356, 0.21301775147928995, 0.21005917159763313, 0.21893491124260356]",0.28888888888888886,Models\DecisionTrees\20260415_Apr\batch_normalisation.pkl,"[77.1513353115727, 78.04154302670622, 78.63501483679525, 80.41543026706232, 78.04154302670622, 78.40236686390533, 78.10650887573965, 78.69822485207101, 78.99408284023669, 78.10650887573965]","[0.5059021922428331, 0.0, 0.5, 0.5527638190954774, 0.5061349693251534, 0.49586776859504134, 0.5043859649122807, 0.5326460481099655, 0.5352798053527982, 0.5084745762711864]",0.0,290.0,0.0,85.0,71.11111111111111,0.0,0.0,96.0,0.0,39.0
Decision tree,dropout,"[0.1513353115727003, 0.12166172106824925, 0.142433234421365, 0.1394658753709199, 0.1513353115727003, 0.15088757396449703, 0.13609467455621302, 0.14201183431952663, 0.14497041420118342, 0.1390532544378698]",0.31851851851851853,Models\DecisionTrees\20260415_Apr\dropout.pkl,"[84.86646884272997, 87.83382789317507, 83.67952522255193, 86.05341246290801, 83.67952522255193, 82.84023668639054, 84.61538461538461, 84.61538461538461, 85.50295857988166, 84.02366863905326]","[0.5398457583547559, 0.6233766233766234, 0.5737704918032788, 0.556792873051225, 0.5501618122977346, 0.0, 0.5803571428571429, 0.5789473684210527, 0.5524861878453039, 0.5594405594405595]",25.0,295.0,20.0,35.0,65.18518518518519,0.2072538860103627,4.0,90.0,14.0,27.0
Decision tree,layer normalisation,"[0.18397626112759644, 0.19287833827893175, 0.17210682492581603, 0.19584569732937684, 0.16023738872403562, 0.1893491124260355, 0.1834319526627219, 0.1804733727810651, 0.16272189349112426, 0.1952662721893491]",0.4962962962962963,Models\DecisionTrees\20260415_Apr\layer_normalisation.pkl,"[81.60237388724035, 80.71216617210682, 82.7893175074184, 80.41543026706232, 83.97626112759644, 81.06508875739645, 81.65680473372781, 81.95266272189349, 83.72781065088756, 80.4733727810651]","[0.5904522613065326, 0.5973715651135006, 0.6005221932114883, 0.58679706601467, 0.6724137931034483, 0.6097560975609756, 0.5626598465473146, 0.6083650190114068, 0.6675938803894298, 0.5707196029776676]",53.0,252.0,37.0,33.0,50.37037037037037,0.5052631578947369,24.0,44.0,21.0,46.0
Decision tree,prune,"[0.2344213649851632, 0.23738872403560832, 0.22551928783382788, 0.2314540059347181, 0.26112759643916916, 0.24260355029585798, 0.26331360946745563, 0.23964497041420119, 0.23372781065088757, 0.23372781065088757]",0.6370370370370371,Models\DecisionTrees\20260415_Apr\prune.pkl,"[76.55786350148368, 76.26112759643917, 77.44807121661721, 76.8545994065282, 66.17210682492582, 75.7396449704142, 73.66863905325444, 76.03550295857988, 76.62721893491124, 76.62721893491124]","[0.6311111111111111, 0.6350626118067978, 0.6666666666666667, 0.6469500924214419, 0.6476683937823835, 0.6417112299465241, 0.6138306138306139, 0.6311992786293958, 0.6465899025686449, 0.6369426751592357]",79.0,206.0,45.0,45.0,36.2962962962963,0.1495726495726496,7.0,42.0,39.0,47.0
Decision tree,weight normalisation,"[0.2551928783382789, 0.258160237388724, 0.26409495548961426, 0.26409495548961426, 0.24925816023738873, 0.24260355029585798, 0.27218934911242604, 0.2455621301775148, 0.23964497041420119, 0.23668639053254437]",0.34074074074074073,Models\DecisionTrees\20260415_Apr\weight_normalisation.pkl,"[68.24925816023739, 69.43620178041543, 68.84272997032642, 71.51335311572701, 70.32640949554896, 75.7396449704142, 64.49704142011834, 75.44378698224851, 76.03550295857988, 76.33136094674556]","[0.6535947712418301, 0.6396989651928504, 0.6574394463667821, 0.6173994387277831, 0.6659619450317125, 0.6765327695560254, 0.6637168141592921, 0.7050528789659225, 0.682068206820682, 0.6862745098039216]",95.0,189.0,55.0,36.0,65.92592592592592,0.4611650485436893,19.0,70.0,22.0,24.0
Decision tree,weight decay,"[0.24925816023738873, 0.26112759643916916, 0.2551928783382789, 0.24925816023738873, 0.27002967359050445, 0.2692307692307692, 0.257396449704142, 0.27514792899408286, 0.23964497041420119, 0.2514792899408284]",0.4148148148148148,Models\DecisionTrees\20260415_Apr\weight_decay.pkl,"[75.07418397626114, 73.88724035608308, 74.4807121661721, 75.07418397626114, 72.99703264094956, 73.07692307692307, 74.2603550295858, 72.48520710059172, 76.03550295857988, 71.30177514792899]","[0.685785536159601, 0.6260434056761269, 0.6639839034205233, 0.6560283687943264, 0.5966587112171838, 0.6537282941777325, 0.6658446362515413, 0.6382978723404255, 0.6770356816102471, 0.6687565308254964]",73.0,207.0,35.0,60.0,58.51851851851851,0.19480519480519481,6.0,73.0,24.0,32.0
Decision tree,weight perturbation,"[0.16023738872403562, 0.12759643916913946, 0.18991097922848665, 0.18100890207715134, 0.18397626112759644, 0.15384615384615385, 0.1804733727810651, 0.17751479289940827, 0.1804733727810651, 0.1804733727810651]",0.35185185185185186,Models\DecisionTrees\20260415_Apr\weight_perturbation.pkl,"[83.97626112759644, 87.24035608308606, 73.88724035608308, 81.89910979228486, 81.60237388724035, 84.61538461538461, 78.69822485207101, 80.4733727810651, 78.40236686390533, 81.95266272189349]","[0.7058823529411765, 0.6826801517067004, 0.6074766355140186, 0.6216696269982238, 0.5916030534351144, 0.6880733944954128, 0.5970149253731344, 0.6119402985074627, 0.6095238095238096, 0.6022584692597239]",45.0,261.0,30.0,39.0,58.51851851851851,0.21505376344086022,4.0,89.0,13.0,29.0
KNN,baseline,"[0.026706231454005934, 0.02373887240356083, 0.002967359050445104, 0.002967359050445104, 0.002967359050445104, 0.023668639053254437, 0.0029585798816568047, 0.0, 0.0029585798816568047, 0.0029585798816568047]",0.3851851851851852,Models\KNN\20260415_Apr\baseline.pkl,"[97.3293768545994, 97.62611275964392, 99.70326409495549, 99.70326409495549, 99.70326409495549, 97.63313609467455, 99.70414201183432, 100.0, 99.70414201183432, 99.70414201183432]","[0.898876404494382, 0.9134615384615384, 0.9986859395532194, 0.9985315712187959, 0.9986684420772305, 0.9144893111638955, 0.9986320109439124, 1.0, 0.9985935302390998, 0.9986130374479889]",82.0,284.0,9.0,0.0,61.48148148148148,0.20231213872832374,7.0,76.0,28.0,24.0
KNN,batch normalisation,"[0.11869436201780416, 0.13056379821958458, 0.13056379821958458, 0.12462908011869436, 0.12759643916913946, 0.12130177514792899, 0.1390532544378698, 0.1242603550295858, 0.11242603550295859, 0.13609467455621302]",0.37777777777777777,Models\KNN\20260415_Apr\batch_normalisation.pkl,"[88.13056379821958, 86.94362017804154, 86.94362017804154, 87.53709198813057, 87.24035608308606, 87.86982248520711, 86.09467455621301, 87.57396449704143, 88.75739644970415, 86.3905325443787]","[0.7575757575757577, 0.7401812688821753, 0.7278481012658228, 0.7589285714285714, 0.7424960505529227, 0.7358738501971092, 0.6998654104979811, 0.7416879795396419, 0.7540983606557379, 0.7544378698224853]",55.0,273.0,17.0,30.0,62.22222222222222,0.2109704641350211,5.0,79.0,17.0,34.0
