model type,technique,training loses,testing loses,model path,training accuracies,training f1,training true positives,training true negatives,training false positives,training false negatives,testing accuracies,testing f1,testing true positives,testing true negatives,testing false positives,testing false negatives
Decision tree,baseline,"[0.2166172106824926, 0.22255192878338279, 0.21364985163204747, 0.2166172106824926, 0.21364985163204747, 0.22189349112426035, 0.22189349112426035, 0.22189349112426035, 0.21893491124260356, 0.21893491124260356]",0.22962962962962963,Models\DecisionTrees\20260415_Apr\baseline.pkl,"[78.33827893175074, 77.74480712166172, 78.63501483679525, 78.33827893175074, 78.63501483679525, 77.81065088757396, 77.81065088757396, 77.81065088757396, 78.10650887573965, 78.10650887573965]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,293.0,0.0,82.0,77.03703703703704,0.0,0.0,104.0,0.0,31.0
Decision tree,batch normalisation,"[0.20771513353115728, 0.19287833827893175, 0.2314540059347181, 0.19881305637982197, 0.20771513353115728, 0.21597633136094674, 0.21893491124260356, 0.1863905325443787, 0.19230769230769232, 0.1952662721893491]",0.45185185185185184,Models\DecisionTrees\20260415_Apr\batch_normalisation.pkl,"[79.22848664688428, 80.71216617210682, 76.8545994065282, 80.1186943620178, 79.22848664688428, 78.40236686390533, 78.10650887573965, 81.36094674556213, 80.76923076923077, 80.4733727810651]","[0.3480791618160652, 0.3846153846153846, 0.4586693548387097, 0.3787878787878788, 0.0, 0.18333333333333332, 0.4880083420229406, 0.390625, 0.2947103274559194, 0.33163265306122447]",33.0,271.0,19.0,52.0,54.81481481481482,0.2504816955684007,10.0,64.0,32.0,29.0
Decision tree,dropout,"[0.16913946587537093, 0.1543026706231454, 0.1572700296735905, 0.1543026706231454, 0.17210682492581603, 0.15680473372781065, 0.16568047337278108, 0.15680473372781065, 0.15384615384615385, 0.15976331360946747]",0.22962962962962963,Models\DecisionTrees\20260415_Apr\dropout.pkl,"[83.08605341246292, 84.56973293768546, 84.27299703264094, 84.56973293768546, 82.7893175074184, 84.31952662721893, 83.4319526627219, 84.31952662721893, 84.61538461538461, 84.02366863905326]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,315.0,0.0,60.0,77.03703703703704,0.0,0.0,104.0,0.0,31.0
Decision tree,layer normalisation,"[0.1632047477744807, 0.18100890207715134, 0.17804154302670624, 0.17804154302670624, 0.1543026706231454, 0.19230769230769232, 0.1893491124260355, 0.1834319526627219, 0.1804733727810651, 0.21005917159763313]",0.5333333333333333,Models\DecisionTrees\20260415_Apr\layer_normalisation.pkl,"[83.67952522255193, 81.89910979228486, 82.19584569732937, 82.19584569732937, 84.56973293768546, 80.76923076923077, 81.06508875739645, 81.65680473372781, 81.95266272189349, 75.14792899408283]","[0.5321637426900585, 0.5075921908893709, 0.4262295081967213, 0.4508670520231214, 0.40519480519480516, 0.489247311827957, 0.5119170984455959, 0.5068493150684932, 0.45179372197309414, 0.45217391304347826]",38.0,268.0,21.0,48.0,46.666666666666664,0.13112391930835735,7.0,56.0,9.0,63.0
Decision tree,prune,"[0.22255192878338279, 0.2166172106824926, 0.2314540059347181, 0.22551928783382788, 0.228486646884273, 0.22781065088757396, 0.22485207100591717, 0.22781065088757396, 0.22781065088757396, 0.21893491124260356]",0.34074074074074073,Models\DecisionTrees\20260415_Apr\prune.pkl,"[77.74480712166172, 78.33827893175074, 76.8545994065282, 77.44807121661721, 77.1513353115727, 75.44378698224851, 77.51479289940828, 77.2189349112426, 77.2189349112426, 78.10650887573965]","[0.6776406035665296, 0.6546099290780142, 0.5806916426512968, 0.4822934232715008, 0.6596752368064953, 0.6013215859030837, 0.5548780487804879, 0.6491108071135431, 0.6626425217974514, 0.5777777777777778]",72.0,217.0,34.0,52.0,65.92592592592592,0.391304347826087,18.0,71.0,10.0,36.0
Decision tree,weight normalisation,"[0.22255192878338279, 0.22551928783382788, 0.2314540059347181, 0.19287833827893175, 0.20771513353115728, 0.21893491124260356, 0.22781065088757396, 0.21597633136094674, 0.23964497041420119, 0.21893491124260356]",0.38888888888888884,Models\DecisionTrees\20260415_Apr\weight_normalisation.pkl,"[77.74480712166172, 77.44807121661721, 76.8545994065282, 80.71216617210682, 79.22848664688428, 78.10650887573965, 77.2189349112426, 78.40236686390533, 69.23076923076923, 78.10650887573965]","[0.6675444371296906, 0.5779883381924198, 0.6269256530475553, 0.7926829268292682, 0.7595861229458307, 0.7417177914110429, 0.6109191430545957, 0.7326236693800876, 0.65, 0.5732436472346787]",99.0,196.0,48.0,32.0,59.25925925925925,0.4991652754590984,23.0,62.0,30.0,20.0
Decision tree,weight decay,"[0.20771513353115728, 0.19881305637982197, 0.18100890207715134, 0.18991097922848665, 0.17804154302670624, 0.1834319526627219, 0.17751479289940827, 0.1804733727810651, 0.1863905325443787, 0.20710059171597633]",0.45925925925925926,Models\DecisionTrees\20260415_Apr\weight_decay.pkl,"[75.07418397626114, 75.07418397626114, 81.30563798219585, 81.00890207715133, 82.19584569732937, 79.58579881656804, 81.65680473372781, 80.4733727810651, 80.4733727810651, 76.33136094674556]","[0.6917585983127839, 0.6773547094188377, 0.6972477064220184, 0.6657681940700809, 0.736328125, 0.7325129533678756, 0.6546762589928058, 0.7250996015936254, 0.6490727532097005, 0.7266584766584766]",102.0,205.0,37.0,31.0,54.074074074074076,0.3309090909090909,14.0,59.0,38.0,24.0
Decision tree,weight perturbation,"[0.0830860534124629, 0.10682492581602374, 0.11572700296735905, 0.08902077151335312, 0.11275964391691394, 0.10650887573964497, 0.10650887573964497, 0.08875739644970414, 0.10355029585798817, 0.1301775147928994]",0.45925925925925926,Models\DecisionTrees\20260415_Apr\weight_perturbation.pkl,"[91.3946587537092, 86.94362017804154, 85.45994065281899, 91.0979228486647, 88.4272997032641, 85.20710059171599, 87.27810650887574, 90.53254437869822, 87.86982248520711, 82.54437869822485]","[0.7857900318133616, 0.7190889370932755, 0.6871035940803383, 0.7526315789473684, 0.688063063063063, 0.7153439153439153, 0.7267080745341614, 0.757975797579758, 0.6674445740956826, 0.5869074492099322]",49.0,282.0,9.0,35.0,52.59259259259259,0.14476614699331847,5.0,69.0,33.0,28.0
KNN,baseline,"[0.002967359050445104, 0.002967359050445104, 0.002967359050445104, 0.002967359050445104, 0.002967359050445104, 0.0, 0.0029585798816568047, 0.0029585798816568047, 0.0029585798816568047, 0.0029585798816568047]",0.37037037037037035,Models\KNN\20260415_Apr\baseline.pkl,"[99.70326409495549, 99.70326409495549, 99.70326409495549, 99.70326409495549, 99.70326409495549, 100.0, 99.70414201183432, 99.70414201183432, 99.70414201183432, 99.70414201183432]","[0.9902067464635473, 0.9907312049433573, 0.9906054279749478, 0.9908536585365854, 0.9906054279749478, 1.0, 0.9906054279749478, 0.9904761904761905, 0.990343347639485, 0.9906054279749478]",81.0,293.0,0.0,1.0,62.96296296296296,0.03581267217630854,1.0,84.0,20.0,30.0
KNN,batch normalisation,"[0.01483679525222552, 0.017804154302670624, 0.017804154302670624, 0.017804154302670624, 0.02373887240356083, 0.011834319526627219, 0.011834319526627219, 0.014792899408284023, 0.01775147928994083, 0.01775147928994083]",0.3111111111111111,Models\KNN\20260415_Apr\batch_normalisation.pkl,"[98.51632047477746, 98.21958456973294, 98.21958456973294, 98.21958456973294, 97.62611275964392, 98.81656804733728, 98.81656804733728, 98.5207100591716, 98.22485207100591, 98.22485207100591]","[0.954728370221328, 0.970736629667003, 0.9454545454545454, 0.9439834024896265, 0.9587020648967551, 0.96484375, 0.9639278557114228, 0.9541284403669724, 0.9416216216216217, 0.9416216216216217]",83.0,284.0,6.0,2.0,68.88888888888889,0.2689655172413793,9.0,84.0,12.0,30.0
