model type,technique,training loses,testing loses,model path,training accuracies,training f1,training true positives,training true negatives,training false positives,training false negatives,testing accuracies,testing f1,testing true positives,testing true negatives,testing false positives,testing false negatives
Decision tree,baseline,"[0.1419753086419753, 0.1388888888888889, 0.13271604938271606, 0.14814814814814814, 0.14814814814814814, 0.15432098765432098, 0.14814814814814814, 0.1419753086419753, 0.15432098765432098, 0.13580246913580246]",0.17777777777777778,Models\DecisionTrees\20260505_May\baseline.pkl,"[85.80246913580247, 86.11111111111111, 86.72839506172839, 85.18518518518519, 85.18518518518519, 84.5679012345679, 85.18518518518519, 85.80246913580247, 84.5679012345679, 86.41975308641975]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,308.0,0.0,52.0,82.22222222222221,0.0,0.0,111.0,0.0,24.0
Decision tree,batch normalisation,"[0.1882716049382716, 0.19444444444444445, 0.2006172839506173, 0.19753086419753085, 0.19444444444444445, 0.19135802469135801, 0.18518518518518517, 0.17901234567901234, 0.19135802469135801, 0.19444444444444445]",0.08888888888888889,Models\DecisionTrees\20260505_May\batch_normalisation.pkl,"[79.01234567901234, 76.5432098765432, 77.77777777777779, 76.23456790123457, 80.55555555555556, 80.8641975308642, 81.48148148148148, 82.09876543209876, 78.70370370370371, 80.55555555555556]","[0.6114649681528662, 0.46153846153846156, 0.5751633986928104, 0.5, 0.5771812080536913, 0.5441176470588235, 0.6153846153846154, 0.5735294117647058, 0.5633802816901409, 0.5771812080536913]",35.0,256.0,10.0,59.0,91.11111111111111,0.0,0.0,123.0,0.0,12.0
Decision tree,dropout,"[0.1111111111111111, 0.11728395061728394, 0.12345679012345678, 0.11728395061728394, 0.12037037037037036, 0.11728395061728394, 0.11728395061728394, 0.12345679012345678, 0.10493827160493827, 0.11419753086419752]",0.08148148148148149,Models\DecisionTrees\20260505_May\dropout.pkl,"[88.88888888888889, 88.27160493827161, 87.65432098765432, 88.27160493827161, 87.96296296296296, 88.27160493827161, 88.27160493827161, 87.65432098765432, 89.50617283950618, 88.58024691358025]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,318.0,0.0,42.0,91.85185185185185,0.0,0.0,124.0,0.0,11.0
Decision tree,layer normalisation,"[0.22530864197530864, 0.23148148148148148, 0.2037037037037037, 0.22530864197530864, 0.1574074074074074, 0.2222222222222222, 0.2037037037037037, 0.22530864197530864, 0.2037037037037037, 0.2222222222222222]",0.5259259259259259,Models\DecisionTrees\20260505_May\layer_normalisation.pkl,"[77.46913580246914, 76.85185185185185, 79.62962962962963, 77.46913580246914, 84.25925925925925, 77.77777777777779, 79.62962962962963, 77.46913580246914, 79.62962962962963, 77.77777777777779]","[0.546583850931677, 0.5714285714285714, 0.5875, 0.5875706214689266, 0.6046511627906976, 0.5555555555555556, 0.5975609756097561, 0.5875706214689266, 0.5925925925925926, 0.5443037974683544]",51.0,232.0,39.0,38.0,47.40740740740741,0.07792207792207792,3.0,61.0,27.0,44.0
Decision tree,prune,"[0.24074074074074073, 0.22839506172839505, 0.23148148148148148, 0.21296296296296297, 0.22530864197530864, 0.20679012345679013, 0.22530864197530864, 0.2191358024691358, 0.23148148148148148, 0.24382716049382716]",0.31851851851851853,Models\DecisionTrees\20260505_May\prune.pkl,"[75.92592592592592, 77.1604938271605, 76.85185185185185, 78.70370370370371, 77.46913580246914, 79.32098765432099, 77.46913580246914, 78.08641975308642, 72.8395061728395, 75.61728395061729]","[0.6176470588235294, 0.5978260869565217, 0.5614035087719298, 0.5605095541401274, 0.6294416243654822, 0.6455026455026455, 0.6178010471204188, 0.5696969696969697, 0.5098039215686274, 0.6183574879227053]",51.0,227.0,25.0,57.0,68.14814814814815,0.31746031746031744,10.0,82.0,5.0,38.0
Decision tree,weight normalisation,"[0.24691358024691357, 0.23148148148148148, 0.2222222222222222, 0.25617283950617287, 0.24382716049382716, 0.24382716049382716, 0.22839506172839505, 0.24691358024691357, 0.24382716049382716, 0.24382716049382716]",0.26666666666666666,Models\DecisionTrees\20260505_May\weight_normalisation.pkl,"[75.30864197530865, 76.85185185185185, 77.77777777777779, 74.38271604938271, 75.61728395061729, 71.29629629629629, 77.1604938271605, 75.30864197530865, 75.61728395061729, 75.61728395061729]","[0.4444444444444444, 0.4897959183673469, 0.5555555555555556, 0.4503311258278146, 0.5212121212121212, 0.4697986577181208, 0.5542168674698795, 0.5454545454545454, 0.5153374233128835, 0.4697986577181208]",54.0,219.0,36.0,51.0,73.33333333333333,0.28,7.0,92.0,8.0,28.0
Decision tree,weight decay,"[0.25, 0.28703703703703703, 0.28703703703703703, 0.27469135802469136, 0.2839506172839506, 0.24691358024691357, 0.25, 0.2654320987654321, 0.24074074074074073, 0.25308641975308643]",0.3333333333333333,Models\DecisionTrees\20260505_May\weight_decay.pkl,"[75.0, 71.29629629629629, 61.111111111111114, 72.53086419753086, 71.60493827160494, 75.30864197530865, 75.0, 73.4567901234568, 75.92592592592592, 74.69135802469135]","[0.5317919075144508, 0.5938864628820961, 0.33093525179856115, 0.5527638190954773, 0.6229508196721312, 0.5294117647058824, 0.4172661870503597, 0.5113636363636364, 0.5806451612903226, 0.6238532110091743]",67.0,205.0,38.0,50.0,66.66666666666666,0.5631067961165048,29.0,61.0,31.0,14.0
Decision tree,weight perturbation,"[0.16358024691358025, 0.16358024691358025, 0.16666666666666666, 0.16666666666666666, 0.1728395061728395, 0.16358024691358025, 0.16049382716049382, 0.17592592592592593, 0.1697530864197531, 0.16358024691358025]",0.1925925925925926,Models\DecisionTrees\20260505_May\weight_perturbation.pkl,"[83.64197530864197, 83.64197530864197, 83.33333333333334, 83.33333333333334, 82.71604938271605, 83.64197530864197, 83.9506172839506, 82.4074074074074, 83.0246913580247, 83.64197530864197]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,300.0,0.0,60.0,80.74074074074075,0.0,0.0,109.0,0.0,26.0
KNN,baseline,"[0.13271604938271606, 0.13580246913580246, 0.1388888888888889, 0.13271604938271606, 0.12962962962962962, 0.13580246913580246, 0.12962962962962962, 0.11419753086419752, 0.13580246913580246, 0.12037037037037036]",0.17777777777777778,Models\KNN\20260505_May\baseline.pkl,"[86.72839506172839, 84.25925925925925, 86.11111111111111, 82.71604938271605, 87.03703703703704, 84.5679012345679, 87.03703703703704, 86.72839506172839, 86.41975308641975, 87.96296296296296]","[0.2711864406779661, 0.3125, 0.26229508196721313, 0.2711864406779661, 0.3, 0.3125, 0.27586206896551724, 0.3508771929824561, 0.2903225806451613, 0.3389830508474576]",10.0,303.0,5.0,42.0,82.22222222222221,0.0,0.0,111.0,0.0,24.0
KNN,batch normalisation,"[0.24382716049382716, 0.23765432098765432, 0.22839506172839505, 0.24074074074074073, 0.24382716049382716, 0.24382716049382716, 0.2345679012345679, 0.2716049382716049, 0.24382716049382716, 0.21604938271604937]",0.4148148148148148,Models\KNN\20260505_May\batch_normalisation.pkl,"[75.61728395061729, 76.23456790123457, 77.1604938271605, 75.92592592592592, 75.61728395061729, 75.61728395061729, 76.5432098765432, 72.8395061728395, 75.61728395061729, 78.39506172839506]","[0.6146341463414634, 0.6051282051282051, 0.5888888888888889, 0.59375, 0.5948717948717949, 0.572972972972973, 0.5824175824175825, 0.5769230769230769, 0.5948717948717949, 0.6067415730337079]",63.0,209.0,57.0,31.0,58.51851851851851,0.2222222222222222,8.0,71.0,52.0,4.0
